Revenus fiscaux localisés des ménages - Année 2008,,,,,,,,,,,,,,,,,,,
"Indicateurs de distribution par Unité de Consommation - Seuil 50 ménages pour médiane, 2 000 habitants pour autres indicateurs",,,,,,,,,,,,,,,,,,,
Zones d'emploi,,,,,,,,,,,,,,,,,,,
© Insee     Source : Insee-DGFiP Revenus fiscaux localisés des ménages ,,,,,,,,,,,,,,,,,,,
Sommaire,,,,,,,,,,,,,,,,,,,
,,,Nombre d'UC,1er quartile (€),Médiane (€),3ème quartile (€),Intervalle interquartile (€),1er décile (€),2ème décile (€),3ème décile (€),4ème décile (€),6ème décile (€),7ème décile (€),8ème décile (€),9ème décile (€),Rapport interdécile,Ecart-type (€),Moyenne (€),Indice de Gini
ZE1990,REG,LIBGEO,NBUC08,RFUCQ108,RFUCQ208,RFUCQ308,RFUCIQ08,RFUCD108,RFUCD208,RFUCD308,RFUCD408,RFUCD608,RFUCD708,RFUCD808,RFUCD908,RFUCRD08,RFUCET08,RFUCMO08,RFUCGI08
1131,11,Paris,1539543.3,12497,24298,40755,28258,5797,10199,14838,19527,29710,36443,46253,65886,11.4,69977.12,35441.16,0.5048
1132,11,Nanterre,1196793.1,13565,22882,35511,21946,7229,11573,15494,19177,27011,32217,39615,53582,7.4,42745.78,29649.78,0.4275
1133,11,Boulogne-Billancourt,585245.1,15673,24992,37523,21850,8833,13624,17602,21259,29232,34321,41342,54005,6.1,34612.71,30427.98,0.3827
1134,11,Vitry-sur-Seine,204034.3,10294,17819,26368,16074,5420,8817,11836,14828,20861,24292,28743,36136,6.7,15164.19,20025.89,0.3638
1135,11,Créteil,600146.1,13347,21286,30487,17140,7399,11536,15092,18252,24472,28209,33281,42427,5.7,22269.48,24493.46,0.3590
1136,11,Montreuil,687194.8,11084,19348,28937,17853,5616,9364,12790,16123,22694,26573,31769,40963,7.3,22553.06,22699.09,0.3902
1137,11,Saint-Denis,767918.2,8188,14513,22546,14358,4221,6989,9368,11847,17421,20669,24699,31097,7.4,13495.55,16765.27,0.3802
1138,11,Cergy,202341.8,13393,20693,28844,15451,7633,11668,14996,17918,23551,26856,31217,38727,5.1,17604.91,23018.64,0.3320
1139,11,Poissy,89480.4,14740,23068,33789,19049,8608,12894,16440,19757,26725,31094,37183,48080,5.6,27480.13,27630.49,0.3690
1140,11,Les Mureaux,77627.8,13153,20407,28823,15670,7542,11428,14733,17628,23449,26781,31183,39033,5.2,17257.13,22968.66,0.3365
1141,11,Mantes-la-Jolie,92671.0,11473,18435,26005,14532,6423,9901,12925,15712,21179,24260,28129,34930,5.4,16483.18,20495.23,0.3431
1142,11,Versailles,431323.5,17386,25827,36862,19476,10598,15471,19126,22477,29525,34071,40315,51734,4.9,34503.27,30627.82,0.3510
1143,11,Orsay,81839.2,17975,26533,37160,19185,11101,16093,19830,23129,30227,34539,40377,50454,4.5,22455.38,30055.70,0.3217
1144,11,Orly,308628.4,12961,20688,29109,16148,7146,11203,14655,17779,23662,27080,31528,39072,5.5,16852.30,22804.35,0.3359
1145,11,Dourdan,71833.9,16477,23331,31278,14801,10223,14833,17989,20713,26094,29362,33596,41386,4.0,18380.02,25671.88,0.2998
1146,11,Étampes,32129.9,12883,19611,27232,14349,7264,11281,14291,17081,22319,25383,29436,36621,5.0,18190.33,21928.68,0.3359
1147,11,Évry,192629.4,13105,20666,28912,15807,7212,11311,14773,17834,23584,26911,31431,39305,5.4,18358.04,23034.54,0.3412
1148,11,Melun,164854.8,13067,20001,27684,14617,7584,11420,14589,17370,22653,25773,29942,37290,4.9,19818.26,22431.84,0.3362
1149,11,Fontainebleau,56239.9,15357,22328,31155,15798,9742,13833,16846,19610,25170,28808,34152,44119,4.5,35215.46,26303.60,0.3427
1150,11,Nemours,32008.1,12649,18568,25406,12758,7512,11212,13956,16280,20996,23735,27465,34002,4.5,17273.94,20792.41,0.3265
1151,11,Montereau-Fault-Yonne,28909.6,10863,17015,23960,13097,5863,9290,12144,14698,19510,22405,25990,32113,5.5,14060.22,18869.68,0.3404
1152,11,Provins,30898.9,12252,17902,24513,12261,7554,10864,13404,15680,20232,22864,26654,33371,4.4,16096.29,20258.68,0.3299
1153,11,Coulommiers,42933.0,13647,19390,26170,12523,8740,12311,14912,17160,21648,24400,28278,35464,4.1,18000.04,21909.24,0.3174
