Fichier Localisé Social et Fiscal (FiLoSoFi) - Année 2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Distribution des revenus disponibles par unité de consommation et composition du revenu disponible - Ensemble,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mise en ligne le 25/04/2019      Découpage géographique au 01/01/2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"©Insee       Sources : Insee-DGFIP-Cnaf-Cnav-CCMSA, Fichier localisé social et fiscal.",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Code géographique,Libellé géographique,Nombre de ménages fiscaux,Nombre de personnes dans les ménages fiscaux,Nbre d'unités de consommation dans les ménages fiscaux,1er quartile,Médiane,3e quartile,Ecart interquartile,1er décile,2e décile,3e décile,4e décile,6e décile,7e décile,8e décile,9e décile,Rapport inter-décile 9e décile/1er decile,S80/20,Indice de Gini,"Part des salaires, traitements ou chômage",Part des revenus d'activités non salariées,"Part des pensions, retraites et rentes",Part des revenus du patrimoine et autres revenus,Part de l'ensemble des prestations sociales ,dont part des prestations familiales,dont part des minima sociaux,dont part des prestations logement,Part des impôts
CODGEO,LIBGEO,NBMEN13,NBPERS13,NBUC13,Q113,Q213,Q313,Q3_Q1,D113,D213,D313,D413,D613,D713,D813,D913,RD,S80S2013,GI13,PTSAC13,PBEN13,PPEN13,PPAT13,PPSOC13,PPFAM13,PPMINI13,PPLOGT13,PIMPOT13
0050,Mont-de-Marsan,69101,156340.5,108021.8,14946.0,19599.0,25052.6,10106.6,11162.5,13871.0,15900.0,17760.0,21449.3,23690.0,26826.2,32785.5,2.9,3.6,0.2,57.9,7.3,33.2,11.7,4.8,2.0,1.6,1.3,-14.9
0051,Alençon,51619,116210.0,80026.3,14479.6,18967.8,24200.5,9720.9,10655.4,13392.0,15456.0,17226.3,20725.9,22855.3,25892.7,31758.3,3.0,3.6,0.3,58.3,6.5,33.8,10.0,5.8,2.6,1.6,1.6,-14.4
0052,Cosne - Clamecy,34507,71215.0,50931.1,14652.7,19283.3,24954.0,10301.3,10695.6,13517.5,15600.4,17487.8,21118.7,23480.0,26841.0,32931.3,3.1,3.8,0.3,49.2,9.2,40.3,11.8,4.9,1.8,1.8,1.2,-15.4
0053,Mâcon,61407,142186.0,96888.1,15537.0,20263.3,26284.0,10747.0,11816.0,14490.0,16538.2,18451.7,22232.0,24740.0,28313.5,34830.0,2.9,3.6,0.3,64.0,6.6,29.9,11.1,4.7,2.4,1.1,1.2,-16.3
0054,Nogent-le-Rotrou,20463,45714.5,31664.1,14926.2,19356.7,24560.7,9634.5,11117.1,13846.0,15942.0,17701.2,21155.7,23206.0,26260.7,32002.0,2.9,3.6,0.2,55.4,7.8,35.4,11.8,4.7,2.2,1.3,1.2,-15.1
0055,La Vallée de la Bresle - Vimeu,42086,97336.5,66653.1,14170.0,18512.0,23453.3,9283.3,10589.3,13150.0,15142.6,16860.7,20159.0,22171.9,25020.0,30404.2,2.9,3.5,0.2,58.8,6.3,33.5,10.2,5.6,2.3,1.9,1.4,-14.4
0056,Roissy - Sud Picardie,614562,1704766.5,1085166.8,13610.7,19568.9,26942.9,13332.2,9572.4,12365.7,14822.0,17186.7,22124.0,25115.3,29084.0,35797.1,3.7,4.5,0.3,76.4,4.0,22.5,8.3,6.4,3.1,1.7,1.6,-17.6
0057,Brive-la-Gaillarde,84817,183677.0,128902.0,14667.0,19322.0,25202.7,10535.7,10932.1,13566.0,15631.7,17478.6,21226.4,23634.8,27100.0,33282.8,3.0,3.7,0.3,57.1,6.8,35.5,11.4,4.4,1.9,1.3,1.2,-15.2
0059,Avignon,212253,502863.5,340211.6,13275.0,18596.5,25116.8,11841.8,9362.5,12157.0,14386.7,16467.0,20755.3,23462.0,27180.7,33869.5,3.6,4.5,0.3,62.3,6.9,29.0,12.1,6.2,2.5,1.9,1.9,-16.5
