Fichier Localisé Social et Fiscal (FiLoSoFi) - Année 2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Distribution des revenus disponibles par unité de consommation et composition du revenu disponible - Ensemble,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mise en ligne le 23/01/2020       Géographie au 01/01/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"©Insee       Source(s) : Insee-DGFIP-Cnaf-Cnav-CCMSA, Fichier localisé social et fiscal.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Code géographique,Libellé géographique,Nbre de ménages fiscaux,Nbre de personnes dans les ménages fiscaux,Nbre d'unités de consommation dans les ménages fiscaux,1er quartile (€),Médiane (€),3e quartile (€),Écart interquartile (€),1er décile (€),2e décile (€),3e décile (€),4e décile (€),6e décile (€),7e décile (€),8e décile (€),9e décile (€),Rapport interdécile 9e décile/1er decile,S80/20,Indice de Gini,Part des revenus d’activité (%),dont part des salaires et traitements(%),dont part des indemnités de chômage (%),dont part des revenus des activités non salariées (%),"Part des pensions, retraites et rentes (%)",Part des revenus du patrimoine et autres revenus (%),Part de l'ensemble des prestations sociales (%),dont part des prestations familiales (%),dont part des minima sociaux (%),dont part des prestations logement (%),Part des impôts (%)
CODGEO,LIBGEO,NBMEN17,NBPERS17,NBUC17,Q117,Q217,Q317,Q3_Q1,D117,D217,D317,D417,D617,D717,D817,D917,RD,S80S2017,GI17,PACT17,PTSA17,PCHO17,PBEN17,PPEN17,PPAT17,PPSOC17,PPFAM17,PPMINI17,PPLOGT17,PIMPOT17
0050,Mont-de-Marsan,70766,156863,109300.7,15550,20270,25740,10190,11750,14470,16600,18480,22170,24420,27440,33070,2.8,3.432,0.242,64.6,55.2,2.9,6.4,35.3,9.4,5.2,2.0,2.0,1.2,-14.5
0051,Alençon,51646,113709,79083.5,15060,19820,25110,10050,11130,13910,16080,17970,21610,23820,26780,32270,2.9,3.535,0.246,63.2,55.0,2.7,5.4,35.9,8.7,6.1,2.4,2.2,1.5,-13.9
0052,Cosne - Clamecy,33803,68535,49398.9,15140,20060,25790,10650,11210,14020,16160,18130,22000,24340,27540,33640,3.0,3.745,0.259,57.9,47.0,2.7,8.2,41.8,9.9,5.2,1.7,2.3,1.2,-14.8
0053,Mâcon,62880,143366,98323.6,16190,21230,27330,11130,12230,15070,17270,19290,23320,25770,29350,35840,2.9,3.602,0.253,70.7,60.9,2.8,7.0,31.1,9.5,4.7,2.2,1.4,1.1,-16.0
0054,Nogent-le-Rotrou,20295,44113,30933.5,15360,20080,25400,10030,11530,14260,16420,18280,21900,24050,26970,32480,2.8,3.547,0.249,61.3,51.6,3.1,6.6,38.1,9.8,5.1,2.1,1.8,1.2,-14.3
0055,La Vallée de la Bresle - Vimeu,42019,93952,65262.4,14790,19270,24340,9550,11280,13780,15710,17530,21010,23090,25900,31110,2.8,3.388,0.241,63.2,55.1,3.0,5.0,35.9,8.8,6.0,2.2,2.5,1.4,-13.9
0056,Roissy - Sud Picardie,629687,1730410,1105632.2,14110,20180,27540,13440,10100,12880,15300,17710,22800,25770,29690,36380,3.6,4.371,0.286,80.4,73.4,3.5,3.5,22.8,6.8,7.1,3.2,2.2,1.7,-17.1
0057,Brive-la-Gaillarde,85748,182094,128863.7,15450,20400,26360,10910,11730,14360,16500,18490,22460,24900,28190,34310,2.9,3.590,0.252,63.6,54.2,2.8,6.6,36.9,9.8,4.7,1.8,1.7,1.1,-15.0
0059,Avignon,220601,512507,349201.2,14040,19620,26420,12380,10150,12870,15160,17390,21980,24750,28510,35410,3.5,4.346,0.288,68.7,58.0,3.9,6.8,29.5,11.4,6.7,2.4,2.5,1.8,-16.3
