Emploi non salarié par zone d'emploi en France (hors Mayotte),,,,,,,,,,,,,,,,,,,,,
"Source : Insee, Estimations d'emploi",,,,,,,,,,,,,,,,,,,,,
"NB : Lors du passage au nouveau découpage régional au 1er janvier 2016, les zones d'emploi de Saint-Étienne et Toulouse auparavant interrégionales deviennent mono-régionales",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Zone_emploi,Region,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998
0050_Mont-de-Marsan,INT-INTERREGIONAL,"8,899","8,960","8,942","9,084","9,225","9,095","8,921","8,879","8,648","8,546","8,721","8,714","8,863","8,921","8,900","9,022","9,117","9,162","9,664","9,903"
0051_Alençon,INT-INTERREGIONAL,"5,537","5,878","5,493","5,553","5,604","5,537","5,496","5,404","5,292","5,316","5,354","5,517","5,575","5,593","5,578","5,610","5,737","5,770","5,814","6,002"
0052_Cosne-Clamecy,INT-INTERREGIONAL,"3,760","3,797","3,892","3,936","3,993","3,965","3,942","3,948","3,808","3,855","3,874","3,881","3,897","3,917","3,831","3,855","3,894","3,917","3,935","3,936"
0053_Mâcon,INT-INTERREGIONAL,"7,382","7,338","7,330","7,367","7,495","7,305","7,167","6,970","6,768","6,721","6,768","6,767","6,716","6,732","6,754","6,658","6,629","6,569","6,702","6,710"
0054_Nogent-le-Rotrou,INT-INTERREGIONAL,"2,399","2,310","2,440","2,474","2,535","2,499","2,457","2,449","2,401","2,390","2,413","2,504","2,517","2,560","2,558","2,620","2,605","2,688","2,580","2,650"
0055_Vallée de la Bresle-Vimeu,INT-INTERREGIONAL,"3,565","3,570","3,633","3,669","3,729","3,655","3,631","3,507","3,413","3,342","3,368","3,378","3,422","3,430","3,308","3,330","3,404","3,445","3,426","3,480"
0056_Roissy - Sud Picardie,INT-INTERREGIONAL,"41,644","41,118","41,041","40,716","41,200","38,798","37,251","35,781","33,747","34,043","32,466","32,042","29,099","28,280","27,295","27,007","26,984","27,212","26,813","26,382"
0057_Brive-la-Gaillarde,INT-INTERREGIONAL,"11,096","11,255","11,243","11,332","11,517","11,380","11,152","10,998","10,737","10,774","10,949","11,016","11,015","11,060","11,061","11,170","11,258","11,449","11,623","11,601"
0059_Avignon,INT-INTERREGIONAL,"28,521","28,538","28,823","28,671","28,858","28,052","27,071","26,281","24,960","24,764","24,315","23,992","23,581","23,615","23,321","23,159","22,755","22,583","23,245","22,860"
0060_Saint-Étienne,84_AUVERGNE-RHONE-ALPES,"27,345","27,443","27,507","27,754","28,056","27,377","26,498","25,921","25,027","24,823","25,446","25,157","24,832","24,355","24,242","24,162","24,093","24,315","24,822","24,793"
0061_Toulouse,76_OCCITANIE,"69,286","68,212","67,460","66,690","66,720","64,248","60,075","59,003","55,487","54,411","54,787","53,918","52,689","51,572","51,098","50,606","50,677","50,253","51,266","50,353"
0101_Pointe à Pitre,01_GUADELOUPE,"7,850","7,925","8,068","6,677","6,692","5,739","5,331","6,220","5,577","6,058","6,855","6,575","6,447","6,362","6,296","7,155","7,036","6,955","6,690","6,455"
0102_Basse-Terre,01_GUADELOUPE,"1,635","1,666","1,699","1,484","1,536","1,339","1,245","1,398","1,255","1,355","1,622","1,555","1,525","1,505","1,489","1,692","1,664","1,645","1,582","1,526"
0103_Marie-Galante,01_GUADELOUPE,315,313,320,"1,009","1,050",910,853,996,901,970,"1,104","1,058","1,037","1,024","1,012","1,152","1,133","1,120","1,076","1,038"
0106_Est - Grande-Terre,01_GUADELOUPE,"2,717","2,732","2,792","3,324","3,387","2,892","2,675","3,046","2,765","2,954","3,251","3,117","3,057","3,016","2,984","3,394","3,337","3,299","3,173","3,061"
0201_Centre agglomération,02_MARTINIQUE,"5,576","5,611","5,603","4,667","4,746","3,853","3,550","4,180","3,815","4,170","3,969","3,793","3,715","3,686","3,630","3,844","3,887","4,020","5,161","4,977"
0202_Sud-Caraibe,02_MARTINIQUE,"2,239","2,192","2,170","2,064","2,065","1,730","1,567","1,845","1,662","1,828","1,781","1,703","1,668","1,654","1,629","1,726","1,744","1,805","2,318","2,236"
0203_Sud,02_MARTINIQUE,"1,645","1,570","1,585","1,647","1,665","1,428","1,355","1,586","1,407","1,572","1,566","1,496","1,466","1,454","1,432","1,517","1,534","1,586","2,038","1,966"
0204_Centre-Atlantique,02_MARTINIQUE,"1,631","1,612","1,608","1,838","1,893","1,559","1,487","1,733","1,547","1,659","1,687","1,612","1,578","1,566","1,541","1,634","1,652","1,709","2,197","2,118"
0205_Nord-Caraibe,02_MARTINIQUE,634,636,631,976,990,812,797,921,823,923,870,831,814,808,794,842,852,882,"1,134","1,094"
0206_Nord-Atlantique,02_MARTINIQUE,395,399,400,635,652,537,537,641,566,621,629,600,588,584,575,609,616,637,819,790
0301_Cayenne,03_GUYANE,"3,638","3,584","3,550","3,188","3,155","2,717","2,519","2,777","2,625","2,805","2,705","2,572","2,521","2,516","2,434","2,654","2,603","2,616","2,817","2,566"
0302_Kourou,03_GUYANE,606,634,621,636,647,579,556,592,571,594,586,557,546,545,527,575,563,566,610,555
0303_Saint-Laurent,03_GUYANE,525,528,516,749,778,646,598,681,632,695,657,625,612,611,591,645,632,636,684,623
0401_Est,04_LA REUNION,"3,999","3,943","3,925","4,528","4,592","4,374","4,045","3,947","3,535","3,598","3,454","3,122","3,058","2,977","2,880","2,797","2,810","2,758","2,735","2,743"
0402_Nord,04_LA REUNION,"8,497","8,700","8,512","7,323","7,081","6,796","6,261","6,199","5,622","5,666","5,440","4,920","4,821","4,693","4,542","4,413","4,434","4,352","4,316","4,329"
