Revenus fiscaux des ménages - Année 2003,,,,,,,,,,,,,,,,,,,,,
"Indicateurs de distribution par Unité de Consommation - Seuil 50 ménages pour médiane, 2000 habitants pour autres indicateurs",,,,,,,,,,,,,,,,,,,,,
Zones d'emploi,,,,,,,,,,,,,,,,,,,,,
"© Insee     Source : Insee-DGI, Revenus fiscaux des ménages",,,,,,,,,,,,,,,,,,,,,
Sommaire,,,,,,,,,,,,,,,,,,,,,
,,,"Nb de ménages
au RP 1999",PSDC99,Nombre d'UC,1er quartile (€),Médiane (€),3ème quartile (€),"Intervalle
inter-quartiles (€)",1er décile (€),2ème décile (€),3ème décile (€),4ème décile (€),6ème décile (€),7ème décile (€),8ème décile (€),9ème décile (€),"Rapport
inter-déciles",Ecart-type (€),Moyenne (€),Indice de Gini
ZE1990,REG,LIBGEO,MEN99,PSDC99,NBUC03,RFUCQ103,RFUCQ203,RFUCQ303,RFUCIQ03,RFUCD103,RFUCD203,RFUCD303,RFUCD403,RFUCD603,RFUCD703,RFUCD803,RFUCD903,RFUCRD03,RFUCET03,RFUCMO03,RFUCGI03
1131,11,Paris,1110912,2125246,1492471.7,10856,20869,34301,23445,4978,8790,12903,16868,25335,30817,38618,53137,10.7,46872.91,28324.02,0.4727
1132,11,Nanterre,682260,1669222,1139239.4,11789,19913,30269,18480,6130,9976,13510,16743,23352,27603,33579,44496,7.3,29651.11,24567.07,0.4049
1133,11,Boulogne-Billancourt,352403,820003,552891.6,13811,21701,31993,18182,7662,11996,15461,18587,25190,29395,35131,45053,5.9,27547.71,25570.99,0.3636
1134,11,Vitry-sur-Seine,115704,287129,187962.6,9336,15990,23327,13991,4910,7885,10743,13386,18668,21601,25358,31784,6.5,15761.28,17818.50,0.3578
1135,11,Créteil,329670,852425,564720.7,11917,18748,26697,14780,6646,10327,13415,16140,21498,24691,29064,36793,5.5,18256.47,21242.61,0.3460
1136,11,Montreuil,379206,964364,647076.1,9828,17053,25185,15357,5000,8267,11350,14234,19917,23190,27561,35225,7.0,18654.16,19572.18,0.3770
1137,11,Saint-Denis,401853,1112453,723572.4,7146,12964,20057,12911,3834,6098,8218,10506,15576,18440,21931,27461,7.2,11608.00,14832.73,0.3766
1138,11,Cergy,103937,302176,189787.4,11580,17997,25100,13520,6590,10067,12997,15566,20524,23394,27186,33693,5.1,15756.61,19883.88,0.3287
1139,11,Poissy,48009,131249,83536.3,12637,19862,28949,16312,7438,11019,14134,16989,22919,26624,31667,40634,5.5,20962.53,23291.33,0.3574
1140,11,Les Mureaux,40089,115070,74321.6,11256,17795,24999,13743,6267,9672,12676,15302,20371,23290,27132,33661,5.4,13867.61,19663.80,0.3321
1141,11,Mantes-la-Jolie,47941,139266,86741.6,9651,15779,22325,12674,5391,8338,10891,13347,18199,20807,24118,29810,5.5,13372.59,17431.13,0.3401
1142,11,Versailles,238323,638265,412578.4,15199,22395,31693,16494,9389,13543,16754,19561,25543,29353,34608,43777,4.7,23704.13,25938.07,0.3339
1143,11,Orsay,45241,125975,78740.4,15746,23146,32419,16673,9677,14041,17289,20279,26396,30141,35126,43581,4.5,17230.44,25877.46,0.3128
1144,11,Orly,167411,446024,290135.5,11827,18381,25591,13764,6532,10215,13284,15903,20923,23838,27665,34109,5.2,14279.55,20087.97,0.3248
1145,11,Dourdan,36942,101378,67450.9,14283,20235,27214,12931,8912,12802,15581,17952,22607,25411,29204,35768,4.0,14071.47,22107.93,0.2948
1146,11,Etampes,17183,45705,29798.4,11228,17078,23387,12159,6344,9643,12569,14845,19301,21815,25168,31391,4.9,12851.67,18658.11,0.3238
1147,11,Evry,97989,271329,179128.9,11474,18253,25577,14103,6150,9839,13001,15726,20835,23776,27717,34583,5.6,15180.42,20175.62,0.3387
1148,11,Melun,85347,237525,154235.3,11459,17464,24155,12696,6734,10049,12756,15157,19806,22495,26140,32388,4.8,14153.08,19337.34,0.3248
1149,11,Fontainebleau,32875,82567,53480.2,13305,19123,26662,13357,8589,11953,14556,16825,21610,24754,29061,37270,4.3,22083.55,22230.74,0.3295
1150,11,Nemours,17737,47044,30375.4,10944,16190,22175,11231,6896,9770,12057,14122,18350,20743,23773,29473,4.3,14429.59,18080.08,0.3187
1151,11,Montereau-Fault-Yonne,15899,42961,26987.7,9021,14725,20611,11590,4728,7751,10221,12539,16757,19169,22250,27525,5.8,11178.28,15949.27,0.3385
1152,11,Provins,16576,43670,28708.6,10375,15287,20969,10594,6322,9166,11439,13394,17289,19512,22667,28354,4.5,14907.43,17198.61,0.3286
1153,11,Coulommiers,22084,59073,39601.3,11198,16242,22273,11075,7123,10007,12275,14266,18326,20832,24095,29901,4.2,13547.89,18234.43,0.3164
1154,11,Lagny-sur-Marne,31251,85755,63391.5,14373,20700,28116,13743,9032,12887,15763,18295,23229,26232,30409,37740,4.2,18904.22,23240.91,0.3121
1155,11,Meaux,56784,156557,101648.6,11136,17086,23436,12300,6317,9720,12469,14803,19326,21913,25285,31373,5.0,16336.54,18848.75,0.3309
1156,11,Roissy-en-France,16743,49580,31900.7,14428,19687,25738,11310,9828,13056,15645,17804,21819,24258,27533,33549,3.4,12814.12,21385.46,0.2695
2101,21,Vallée de la Meuse,100417,256707,164450.3,8466,13139,18756,10290,4746,7406,9471,11330,15130,17404,20336,25503,5.4,12116.95,14838.81,0.3480
2102,21,Reims,132260,321417,200062.7,10172,15656,22308,12136,5833,8860,11363,13537,17956,20650,24407,31393,5.4,15158.70,18188.20,0.3577
2103,21,Châlons-en-Champagne,41573,107983,68586.3,10562,15332,21063,10501,6703,9394,11601,13474,17339,19666,22862,28327,4.2,12181.83,17198.85,0.3169
2104,21,Epernay,37085,92137,59755.0,11339,16533,23312,11973,6987,10123,12436,14422,18687,21517,25635,34401,4.9,17777.57,19966.77,0.3595
2105,21,Marne moyenne,48519,123845,78353.5,8934,13433,18654,9720,5323,7870,9919,11685,15254,17367,20156,25042,4.7,11564.08,15018.83,0.3314
2106,21,Sud-ouest Champenois,29301,73210,47942.5,10019,14472,19630,9611,6106,8910,10992,12766,16231,18352,21214,26402,4.3,12800.35,16259.78,0.3232
2107,21,Troyes,102561,250158,164360.2,9907,14785,20454,10547,5577,8685,11003,12938,16708,18983,22234,28411,5.1,13605.40,16857.20,0.3461
2108,21,Haute vallée de la Marne,48308,116906,76441.8,9866,14127,19280,9414,6389,8908,10775,12461,15952,18031,20839,26010,4.1,12411.58,15900.33,0.3138
2202,22,Amiens,132778,342110,214147.1,9341,14569,20725,11385,5143,8116,10472,12541,16735,19225,22542,28596,5.6,14564.18,16659.66,0.3561
