Revenus fiscaux localisés des ménages - Année 2006,,,,,,,,,,,,,,,,,,,,,
"Indicateurs de distribution par Unité de Consommation - Seuil 50 ménages pour médiane, 2000 habitants pour autres indicateurs",,,,,,,,,,,,,,,,,,,,,
Zones d'emploi,,,,,,,,,,,,,,,,,,,,,
"© Insee     Source : Insee-DGI, Revenus fiscaux localisés des ménages",,,,,,,,,,,,,,,,,,,,,
Sommaire,,,,,,,,,,,,,,,,,,,,,
,,,"Nb de ménages
au RP 1999",PSDC99,Nombre d'UC,1er quartile (€),Médiane (€),3ème quartile (€),"Intervalle
inter-quartiles (€)",1er décile (€),2ème décile (€),3ème décile (€),4ème décile (€),6ème décile (€),7ème décile (€),8ème décile (€),9ème décile (€),"Rapport
inter-déciles",Ecart-type (€),Moyenne (€),Indice de Gini
ZE1990,REG,LIBGEO,MEN99,PSDC99,NBUC06,RFUCQ106,RFUCQ206,RFUCQ306,RFUCIQ06,RFUCD106,RFUCD206,RFUCD306,RFUCD406,RFUCD606,RFUCD706,RFUCD806,RFUCD906,RFUCRD06,RFUCET06,RFUCMO06,RFUCGI06
1131,11,Paris,1110912,2125246,1488686.7,11608,22535,37677,26069,5346,9427,13807,18141,27547,33722,42642,59970,11.2,62464.49,32194.40,0.4959
1132,11,Nanterre,682260,1669222,1152196.9,12724,21435,33039,20315,6714,10814,14532,17971,25261,30010,36738,49458,7.4,40055.35,27367.95,0.4211
1133,11,Boulogne-Billancourt,352403,820003,560590.1,14691,23357,34929,20238,8185,12742,16470,19895,27236,32000,38484,49962,6.1,29329.70,28130.02,0.3770
1134,11,Vitry-sur-Seine,115704,287129,193036.0,9791,16924,24887,15097,5144,8331,11265,14166,19795,22961,27157,34087,6.6,14288.45,18951.34,0.3627
1135,11,Créteil,329670,852425,575110.2,12700,20084,28709,16009,7068,10977,14309,17265,23035,26541,31304,39775,5.6,21437.97,22990.37,0.3541
1136,11,Montreuil,379206,964364,658964.6,10503,18233,27181,16678,5341,8860,12111,15214,21366,24988,29834,38326,7.2,21345.93,21254.64,0.3856
1137,11,Saint-Denis,401853,1112453,736179.8,7688,13748,21300,13612,4013,6575,8807,11200,16481,19546,23318,29316,7.3,12769.13,15825.11,0.3793
1138,11,Cergy,103937,302176,193285.4,12629,19419,27033,14404,7253,11040,14145,16869,22112,25186,29285,36319,5.0,15884.21,21574.92,0.3288
1139,11,Poissy,48009,131249,84658.2,13908,21726,31739,17831,8228,12179,15485,18666,25163,29283,34828,44795,5.4,26377.93,25822.30,0.3628
1140,11,Les Mureaux,40089,115070,75254.5,12462,19289,27076,14614,7027,10824,13955,16700,22020,25142,29396,36618,5.2,15374.18,21501.64,0.3317
1141,11,Mantes-la-Jolie,47941,139266,88846.9,10740,17290,24306,13566,6094,9280,12119,14779,19867,22719,26285,32584,5.3,15284.64,19172.08,0.3400
1142,11,Versailles,238323,638265,415784.3,16376,24229,34479,18103,10069,14602,18033,21118,27728,31874,37692,48097,4.8,27410.02,28493.74,0.3440
1143,11,Orsay,45241,125975,79169.0,17036,25007,34892,17856,10457,15183,18645,21861,28388,32442,37852,47463,4.5,19797.15,28191.64,0.3183
1144,11,Orly,167411,446024,296374.7,12373,19568,27490,15117,6812,10689,13946,16854,22383,25553,29741,36739,5.4,18446.05,21554.55,0.3336
1145,11,Dourdan,36942,101378,69223.7,15432,21843,29306,13874,9749,13899,16801,19377,24433,27533,31542,38648,4.0,17002.36,23977.21,0.2968
1146,11,Etampes,17183,45705,30700.7,11955,18297,25344,13389,6757,10392,13390,15977,20782,23643,27396,33984,5.0,16609.73,20353.69,0.3337
1147,11,Evry,97989,271329,183936.1,12350,19552,27395,15045,6784,10662,13959,16825,22367,25499,29723,37147,5.5,16824.47,21755.21,0.3403
1148,11,Melun,85347,237525,158049.9,12240,18765,25923,13683,7226,10730,13650,16233,21270,24149,28038,34910,4.8,16986.34,20904.57,0.3313
1149,11,Fontainebleau,32875,82567,54138.6,14445,20930,29058,14613,9242,13032,15786,18381,23588,26941,31765,40985,4.4,23401.65,24460.02,0.3365
1150,11,Nemours,17737,47044,30825.0,11873,17457,23871,11998,7232,10549,13099,15295,19711,22353,25739,31825,4.4,15494.80,19433.62,0.3192
1151,11,Montereau-Fault-Yonne,15899,42961,27681.6,10054,15937,22360,12306,5281,8688,11368,13765,18191,20794,24175,29866,5.7,13967.76,17507.59,0.3382
1152,11,Provins,16576,43670,29435.5,11303,16730,22870,11567,6949,10019,12495,14641,18835,21408,24728,30489,4.4,13595.96,18611.14,0.3226
1153,11,Coulommiers,22084,59073,40710.5,12585,17962,24335,11750,8052,11326,13757,15929,20109,22822,26423,32863,4.1,26282.07,20349.14,0.3188
1154,11,Lagny-sur-Marne,31251,85755,70574.8,15341,22261,30357,15016,9597,13727,16820,19575,24959,28271,32845,41015,4.3,21743.71,25147.87,0.3196
1155,11,Meaux,56784,156557,104975.9,12214,18441,25307,13093,6831,10619,13572,16060,20887,23644,27355,33870,5.0,22635.31,20533.21,0.3338
1156,11,Roissy-en-France,16743,49580,33259.8,15760,21369,27861,12101,10821,14327,17014,19230,23630,26273,29731,35949,3.3,13735.76,23140.77,0.2656
2101,21,Vallée de la Meuse,100417,256707,163973.3,9326,14509,20478,11152,5032,8136,10448,12513,16619,19048,22190,27651,5.5,13597.95,16285.95,0.3508
2102,21,Reims,132260,321417,201402.6,11211,17151,24370,13159,6303,9755,12503,14850,19582,22513,26730,34737,5.5,18274.06,20142.63,0.3660
2103,21,Châlons-en-Champagne,41573,107983,68811.9,11648,16860,22989,11341,7334,10335,12785,14834,18971,21484,24873,31054,4.2,13801.67,18888.78,0.3189
2104,21,Epernay,37085,92137,60127.8,12724,18396,26149,13425,7925,11397,13943,16137,20892,24069,28947,39840,5.0,24345.92,23036.26,0.3762
2105,21,Marne moyenne,48519,123845,77613.5,9955,14820,20439,10484,5947,8774,11019,12948,16800,19081,22007,27430,4.6,12506.86,16505.21,0.3284
2106,21,Sud-ouest Champenois,29301,73210,49311.7,10933,15899,21559,10627,6647,9679,12046,14050,17849,20117,23318,29368,4.4,14606.35,17970.38,0.3304
2107,21,Troyes,102561,250158,167532.5,10870,16156,22352,11483,6040,9531,12076,14195,18223,20747,24334,31439,5.2,15851.52,18622.82,0.3530
2108,21,Haute vallée de la Marne,48308,116906,76307.4,10969,15576,21089,10120,7025,9841,11970,13758,17511,19764,22711,28344,4.0,14513.85,17460.53,0.3139
2202,22,Amiens,132778,342110,216594.4,10398,16018,22574,12176,5741,9024,11643,13868,18285,20929,24550,31367,5.5,21025.93,18359.69,0.3567
2205,22,Château-Thierry,26210,68570,45848.9,11250,16414,22527,11277,6992,9999,12378,14419,18538,21056,24492,31073,4.4,16107.23,18920.50,0.3373
2206,22,Sud Oise,133957,371611,237464.9,12116,18218,25354,13238,7063,10630,13446,15883,20702,23602,27548,34917,4.9,18913.21,20798.30,0.3420
2207,22,Soissons,38191,100627,65837.2,10297,15512,21613,11316,6106,9033,11431,13506,17635,20126,23619,29807,4.9,14016.63,17680.28,0.3419
2208,22,Beauvais,68419,185405,122583.9,11402,17004,23275,11873,6603,10033,12654,14878,19221,21788,25214,31157,4.7,16572.16,18951.11,0.3298
2209,22,Compiègne,65121,173943,112869.1,11702,17332,24132,12430,7070,10353,12880,15102,19681,22449,26207,33240,4.7,17723.59,19837.34,0.3377
2210,22,Santerre-Oise,12759,35482,23833.5,10530,15495,21090,10560,6657,9348,11596,13644,17465,19750,22649,27885,4.2,13076.13,17057.85,0.3110
2211,22,Abbeville-Ponthieu,24534,62804,41279.2,9533,14726,20753,11220,5246,8242,10666,12768,16906,19281,22615,29329,5.6,15207.51,17027.38,0.3617
2212,22,Vimeu,23828,61360,40722.4,10613,15187,20419,9806,6733,9467,11619,13436,16980,19089,21955,27013,4.0,15789.14,16968.98,0.3153
