Revenus fiscaux localisés des ménages - Année 2010,,,,,,,,,,,,,,,,,,,
"Indicateurs de distribution par Unité de Consommation - Seuil 50 ménages pour médiane, 2 000 habitants pour autres indicateurs",,,,,,,,,,,,,,,,,,,
Zones d'emploi 2010,,,,,,,,,,,,,,,,,,,
© Insee     Source : Insee-DGFiP Revenus fiscaux localisés des ménages ,,,,,,,,,,,,,,,,,,,
Sommaire,,,,,,,,,,,,,,,,,,,
,,,Nombre d'UC,1er quartile (€),Médiane (€),3ème quartile (€),Écart interquartile (€),1er décile (€),2ème décile (€),3ème décile (€),4ème décile (€),6ème décile (€),7ème décile (€),8ème décile (€),9ème décile (€),Rapport interdécile,Ecart-type (€),Moyenne (€),Indice de Gini
ZE2010,REG,LIBGEO,NBUC10,RFUCQ110,RFUCQ210,RFUCQ310,RFUCIQ10,RFUCD110,RFUCD210,RFUCD310,RFUCD410,RFUCD610,RFUCD710,RFUCD810,RFUCD910,RFUCRD10,RFUCET10,RFUCMO10,RFUCGI10
0050,73,Mont-de-Marsan,107367.3,12471,17890,24236,11765,7661,11179,13619,15811,20080,22657,26103,32319,4.2,14647.92,19896.75,0.3168
0051,52,Alençon,81493.7,11868,17194,23322,11454,6502,10418,13084,15217,19331,21764,25302,31688,4.9,19209.48,19172.39,0.3327
0052,24,Cosne - Clamecy,52597.6,11982,17405,23853,11871,6951,10548,13150,15318,19605,22258,25808,32165,4.6,15188.85,19517.82,0.3309
0053,82,Mâcon,96200.4,13251,18869,25606,12355,8270,11907,14464,16727,21178,23878,27751,34771,4.2,18306.87,21389.79,0.3204
0054,24,Nogent-le-Rotrou,32738.7,12527,17524,23538,11011,7625,11281,13581,15621,19550,22055,25285,31277,4.1,14642.99,19556.60,0.3130
0055,23,Vallée de la Bresle - Vimeu,67922.2,11441,16692,22440,10999,6848,10170,12637,14766,18688,21014,24190,30173,4.4,17104.85,18680.95,0.3278
0056,22,Roissy - Sud Picardie,1080999.7,10868,18493,27067,16199,5683,9245,12435,15501,21576,25024,29486,37142,6.5,20772.12,21059.16,0.3700
0057,74,Brive-la-Gaillarde,128508.4,12335,17875,24582,12247,7834,11029,13535,15776,20155,22838,26668,33577,4.3,17704.01,20373.66,0.3269
0059,93,Avignon,335758.6,10635,17191,24883,14248,5267,9081,12040,14681,19869,22996,27163,34785,6.6,19940.84,19908.99,0.3759
0060,82,Saint-Étienne,423980.7,11855,17525,24124,12269,6826,10458,13122,15394,19800,22484,26139,32709,4.8,17718.95,19745.14,0.3358
0061,73,Toulouse,897707.5,13317,20260,28667,15350,7475,11657,14817,17573,23135,26577,31197,39380,5.3,23544.71,23167.09,0.3497
1101,11,Paris,4010529.6,12429,22712,36645,24216,6069,10350,14492,18571,27320,33045,41119,56401,9.3,50117.30,30463.42,0.4594
1102,11,Marne-la-Vallée,211996.3,13790,21929,30890,17100,7631,11958,15546,18801,25112,28755,33454,41617,5.5,19987.63,24399.49,0.3413
1103,11,Coulommiers,42469.3,13862,19852,26632,12770,8515,12387,15234,17615,22205,24923,28679,35619,4.2,17464.68,22027.36,0.3147
1104,11,Meaux,95279.9,12677,19721,27098,14421,6883,10972,14231,17154,22374,25328,29239,36038,5.2,18396.23,21680.48,0.3357
1105,11,Melun,250980.9,14133,21320,29530,15397,8116,12433,15700,18564,24142,27515,32068,40145,4.9,28515.60,24159.04,0.3403
1106,11,Montereau-Fault-Yonne,27534.2,10739,17346,24370,13631,5538,9232,12239,14883,19885,22629,26341,32517,5.9,12800.33,18827.48,0.3377
1107,11,Nemours,32676.9,12986,19179,26276,13290,7646,11481,14333,16808,21666,24567,28309,34865,4.6,15924.31,21187.36,0.3214
1108,11,Provins,28335.9,12313,18288,25262,12949,7380,10944,13673,16068,20704,23451,27319,34033,4.6,16635.53,20578.71,0.3321
1109,11,Houdan,24338.8,19815,28138,38611,18796,13670,18110,21495,24782,31700,35950,42077,54662,4.0,37061.33,33855.43,0.3406
1110,11,Mantes-la-Jolie,108977.3,12176,19541,27390,15214,6720,10557,13782,16704,22296,25522,29536,36387,5.4,16667.40,21508.73,0.3389
1111,11,Poissy,161037.4,13861,22155,32153,18293,7811,12001,15564,18900,25619,29704,35208,44806,5.7,23882.65,25627.25,0.3584
1112,11,Rambouillet,47548.9,18765,26171,35616,16851,12464,17020,20332,23154,29323,33239,38659,48192,3.9,25674.17,30020.49,0.3124
1113,11,Plaisir,34719.9,16948,24966,34097,17149,10167,14925,18676,21936,28178,31819,36786,45798,4.5,23699.10,27794.31,0.3173
1114,11,Étampes,39553.6,13801,20792,28559,14758,7890,12167,15469,18267,23542,26611,30697,37647,4.8,17046.36,22891.30,0.3237
1115,11,Évry,213538.8,11934,20161,28741,16807,6233,10109,13724,17046,23270,26726,31184,38755,6.2,18033.30,22237.64,0.3524
1116,11,Saclay,756462.1,16916,25516,36310,19394,9921,14889,18759,22158,29200,33616,39644,50603,5.1,28078.93,29809.02,0.3500
1117,11,Créteil,359825.1,14190,22069,30908,16718,8004,12311,15940,19063,25162,28758,33504,41725,5.2,19477.60,24630.80,0.3371
1118,11,Orly,322912.6,10505,18156,26921,16416,5513,8956,12063,15125,21304,24834,29352,36702,6.7,15332.44,20390.55,0.3636
1119,11,Cergy,250981.8,13910,21719,30230,16320,7796,12115,15625,18801,24736,28144,32671,40262,5.2,18713.87,23873.73,0.3295
2101,21,Charleville-Mézières,156550.7,10124,16081,22732,12608,4973,8727,11435,13781,18435,21157,24605,30641,6.2,16592.91,17975.04,0.3599
2102,21,Troyes,208432.2,11833,17742,24498,12665,6352,10255,13173,15569,19986,22753,26622,34054,5.4,20453.84,20275.16,0.3552
2103,21,Châlons-en-Champagne,69274.9,12717,18660,25471,12754,7585,11272,14091,16470,21054,23829,27623,34551,4.6,22406.40,20972.01,0.3288
2104,21,Épernay,75001.5,13419,19498,27380,13961,8256,11962,14736,17123,22037,25285,30000,40207,4.9,21555.74,23591.23,0.3623
2105,21,Reims,226352.0,12229,18777,26655,14426,6606,10614,13672,16260,21471,24639,29162,37876,5.7,24366.10,22059.63,0.3707
2106,21,Chaumont - Langres,77236.6,12205,17446,23645,11440,7610,10977,13348,15416,19621,22164,25494,31674,4.2,20978.90,19474.04,0.3172
2107,21,Vitry-le-François - Saint-Dizier,78758.3,10874,16328,22434,11560,6093,9535,12133,14301,18458,20916,24229,30108,4.9,13853.48,18101.69,0.3343
2201,22,Château-Thierry,44578.3,12380,18120,25129,12749,7412,10966,13664,15940,20496,23380,27129,34362,4.6,18730.92,20816.59,0.3381
2202,22,Tergnier,38007.8,9886,15831,22107,12221,5001,8573,11217,13593,18086,20647,23909,29643,5.9,13326.25,17418.68,0.3487
2203,22,Thiérache,40016.9,8885,14468,20621,11736,3689,7566,10120,12338,16648,19121,22261,27594,7.5,14041.69,16019.43,0.3664
2204,22,Laon,66309.8,10777,16775,23385,12608,5830,9337,12160,14559,19153,21852,25368,32044,5.5,15409.84,18868.34,0.3504
2205,22,Saint-Quentin,93483.3,9767,16056,22817,13050,4615,8275,11147,13714,18404,21157,24811,31473,6.8,17662.44,18239.59,0.3760
2206,22,Soissons,62873.6,11221,16987,23688,12467,6297,9809,12491,14797,19384,22048,25752,32417,5.1,15471.34,19227.13,0.3444
2207,22,Beauvais,161140.2,12545,18718,25566,13021,7260,11013,13940,16387,21099,23846,27519,33767,4.7,15933.99,20603.01,0.3244
2208,22,Compiègne,132121.6,12907,19168,26489,13582,7666,11411,14222,16725,21684,24681,28721,36121,4.7,18555.90,21717.30,0.3350
2209,22,Abbeville,47165.7,10514,16305,23004,12490,5502,9056,11787,14093,18706,21349,25120,32100,5.8,17353.17,18705.25,0.3639
2210,22,Amiens,250183.0,11432,17705,24820,13388,6016,9876,12811,15337,20212,23066,26987,34250,5.7,20604.05,20137.07,0.3581
2211,22,Péronne,38013.0,10639,16162,22274,11635,5958,9327,11854,14039,18289,20794,24188,30232,5.1,14816.08,18149.00,0.3444
