Fichier Localisé Social et Fiscal (FiLoSoFi) - Année 2013,,,,,,,,,,,,,,,,,,,,,,,,,
Distribution des revenus déclarés par unité de consommation et composition du revenu déclaré - Ensemble,,,,,,,,,,,,,,,,,,,,,,,,,
Mise en ligne le 25/04/2019      Découpage géographique au 01/01/2014,,,,,,,,,,,,,,,,,,,,,,,,,
"©Insee       Source(s) : Insee-DGFIP-Cnaf-Cnav-CCMSA, Fichier localisé social et fiscal.",,,,,,,,,,,,,,,,,,,,,,,,,
Code géographique,Libellé géographique,Nombre de ménages fiscaux,Nombre de personnes dans les ménages fiscaux,Nbre d'unités de consommation dans les ménages fiscaux,Part des ménages fiscaux imposés,1er quartile,Médiane,3e quartile,Ecart interquartile,1er décile,2e décile,3e décile ,4e décile ,6e décile,7e décile,8e décile ,9e décile,Rapport interdécile D9/D1,S80/S20,Indice de Gini,Part des salaires et traitements hors chômage,Part des indemnités chômage,Part des revenus d'activités non salariées,"Part des pensions, retraites et rentes",Part des autres revenus
CODGEO,LIBGEO,NBMEN13,NBPERS13,NBUC13,PMIMP13,Q113,Q213,Q313,Q3_Q1,D113,D213,D313,D413,D613,D713,D813,D913,RD,S80S2013,GI13,PTSA13,PCHO13,PBEN13,PPEN13,PAUT13
0050,Mont-de-Marsan,69072,156268.5,107974.9,53.2,13462.0,19160.0,25796.0,12334.0,8270.0,12058.0,14706.0,17016.0,21462.0,24196.0,27748.0,34388.0,4.2,5.5,0.3,52.5,2.7,6.8,32.7,5.3
0051,Alençon,51606,116160.5,79999.4,52.7,12838.0,18580.0,24960.0,12122.0,7068.0,11356.0,14130.0,16402.0,20774.0,23388.0,26848.0,33520.0,4.7,6.2,0.3,52.7,3.0,6.1,33.2,5.0
0052,Cosne - Clamecy,34484,71156.0,50893.1,54.3,13212.0,18986.0,25840.0,12628.0,7634.0,11708.0,14534.0,16802.0,21302.0,24074.0,27972.0,34796.0,4.6,6.2,0.3,43.9,2.7,8.7,39.3,5.4
0053,Mâcon,61389,142117.0,96849.4,59.8,14236.0,20176.0,27398.0,13162.0,8896.0,12742.0,15532.0,17886.0,22592.0,25554.0,29668.0,37052.0,4.2,5.5,0.3,57.0,2.9,6.1,28.7,5.3
0054,Nogent-le-Rotrou,20448,45684.5,31643.0,55.8,13552.0,19036.0,25306.0,11754.0,8146.0,12134.0,14830.0,17018.0,21186.0,23722.0,27270.0,33604.0,4.1,5.6,0.3,49.2,3.3,7.3,34.4,5.8
0055,La Vallée de la Bresle - Vimeu,42070,97288.5,66623.1,51.9,12594.0,18094.0,24182.0,11588.0,7364.0,11098.0,13842.0,16066.0,20234.0,22624.0,26064.0,32230.0,4.4,6.0,0.3,52.6,3.3,5.9,32.8,5.4
0056,Roissy - Sud Picardie,614558,1704548.0,1085083.6,61.5,11234.0,19348.0,28492.0,17258.0,5830.0,9548.0,12876.0,16136.0,22644.0,26318.0,31064.0,39180.0,6.7,8.7,0.4,67.8,3.3,3.6,21.5,3.8
0057,Brive-la-Gaillarde,84784,183590.0,128845.8,53.4,13286.0,19100.0,26156.0,12870.0,8320.0,11910.0,14530.0,16856.0,21486.0,24332.0,28324.0,35318.0,4.2,5.6,0.3,50.9,2.8,6.3,34.4,5.6
0059,Avignon,212186,502652.0,340084.2,52.2,11270.0,18334.0,26392.0,15122.0,5578.0,9568.0,12810.0,15634.0,21112.0,24410.0,28850.0,36814.0,6.6,8.7,0.4,54.5,3.8,6.4,28.0,7.3
0060,Saint-Étienne,269010,620169.5,422783.9,52.6,12760.0,18830.0,25676.0,12916.0,7164.0,11176.0,14152.0,16566.0,21200.0,23964.0,27774.0,34652.0,4.8,6.5,0.3,57.1,3.1,5.1,30.0,4.7
0061,Toulouse,595376,1363949.0,931691.4,60.8,14240.0,21668.0,30606.0,16366.0,7846.0,12452.0,15836.0,18782.0,24766.0,28394.0,33304.0,41938.0,5.3,7.1,0.3,64.3,3.1,5.3,21.9,5.4
0201,Centre agglomération,62828,146726.5,99587.6,44.8,7736.0,15870.0,26536.0,18800.0,1518.0,5870.0,9422.0,12602.0,19416.0,23874.0,29808.0,39634.0,26.1,23.0,0.5,65.8,3.6,4.7,22.0,3.9
0202,Sud-Caraibe,24868,60653.5,40594.8,42.1,7820.0,15824.0,26614.0,18794.0,1630.0,6014.0,9406.0,12532.0,19488.0,24040.0,29812.0,39052.0,24.0,21.2,0.4,65.4,3.8,5.8,20.9,4.1
