Analyse fonctionnelle des emplois,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Emplois dans les fonctions et emplois des cadres des fonctions métropolitaines dans les communes en 1999,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
"Source : Insee, Recensement de la population 1999 exploitation complémentaire au lieu de travail",,,,,,,,,,,,,,,,,,,,,,,,,
Champ : France (y compris les DOMs),,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,Emploi des cadres des fonctions métropolitaines,,,,,
Commune,,Code,,,Emploi dans la fonction :,,,,,,,,,,,,,,,Fonction,,,,,
Code,Libellé,Région,Département,Emploi total,Administration publique,Agriculture,Bâtiment-Travaux Publics,Commerce inter-entreprises,"Conception, Recherche","Culture, Loisirs",Distribution,"Education, Formation","Entretien, Réparation",Fabrication,Gestion,"Transports, Logistique",Prestations Intellectuelles,"Santé, Action Sociale",Services de Proximité,"Commerce 
inter-entreprises","Conception, Recherche","Culture, Loisirs",Gestion,Prestations Intellectuelles,Total
CODGEO,LIBGEO,REG,DEP,ELT99,ADMPUB99,AGRICU99,BTP99,COMINT99,CONREC99,CULLOI99,DISTRI99,EDUFOR99,ENTREP99,FABRIC99,GESTIO99,LOGIST99,PREINT99,SANSOC99,SERPRO99,COMINT_CAD99,CONREC_CAD99,CULLOI_CAD99,GESTIO_CAD99,PREINT_CAD99,CFM99
01001,L'Abergement-Clémenciat,84,01,84,0,20,12,0,0,0,0,12,0,4,8,0,0,4,24,0,0,0,0,0,0
01002,L'Abergement-de-Varey,84,01,8,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01004,Ambérieu-en-Bugey,84,01,"6,096","1,136",25,320,80,44,72,534,544,604,537,528,835,56,368,413,16,8,20,100,12,156
01005,Ambérieux-en-Dombes,84,01,320,20,32,60,12,0,0,16,16,16,28,16,20,0,8,76,4,0,0,4,0,8
01006,Ambléon,84,01,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0
01007,Ambronay,84,01,505,41,56,48,4,8,8,8,24,36,72,32,76,0,36,56,0,8,4,4,0,16
01008,Ambutrix,84,01,116,0,8,16,0,0,0,12,8,4,0,28,32,0,0,8,0,0,0,16,0,16
01009,Andert-et-Condon,84,01,28,0,16,4,0,0,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0
01010,Anglefort,84,01,185,12,8,8,12,0,0,0,4,20,77,8,8,0,4,24,4,0,0,0,0,4
01011,Apremont,84,01,36,4,12,0,0,0,0,0,0,4,4,0,0,8,0,4,0,0,0,0,8,8
01012,Aranc,84,01,44,0,4,12,0,0,0,4,0,0,16,0,4,0,0,4,0,0,0,0,0,0
01013,Arandas,84,01,28,4,12,0,4,0,0,0,0,0,0,0,4,0,0,4,0,0,0,0,0,0
