Analyse fonctionnelle des emplois,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Emplois dans les fonctions et emplois des cadres des fonctions métropolitaines dans les communes en 2011,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
"Source : Insee, Recensement de la population 2011 exploitation complémentaire au lieu de travail, recensement de la population 2012 - exploitation exhaustive (Mayotte)",,,,,,,,,,,,,,,,,,,,,,,,,
Champ : France (y compris les DOM),,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,Emploi des cadres des fonctions métropolitaines,,,,,
Commune,,Code,,,Emploi dans la fonction :,,,,,,,,,,,,,,,Fonction,,,,,
Code,Libellé,Région,Département,Emploi total,Administration publique,Agriculture,Bâtiment-Travaux Publics,Commerce inter-entreprises,"Conception, Recherche","Culture, Loisirs",Distribution,"Education, Formation","Entretien, Réparation",Fabrication,Gestion,"Transports, Logistique",Prestations Intellectuelles,"Santé, Action Sociale",Services de Proximité,"Commerce 
inter-entreprises","Conception, Recherche","Culture, Loisirs",Gestion,Prestations Intellectuelles,Total
CODGEO,LIBGEO,REG,DEP,ELT11,ADMPUB11,AGRICU11,BTP11,COMINT11,CONREC11,CULLOI11,DISTRI11,EDUFOR11,ENTREP11,FABRIC11,GESTIO11,LOGIST11,PREINT11,SANSOC11,SERPRO11,COMINT_CAD11,CONREC_CAD11,CULLOI_CAD11,GESTIO_CAD11,PREINT_CAD11,CFM11
01001,L'Abergement-Clémenciat,84,01,85,8,28,0,1,0,4,0,0,4,0,8,8,4,0,20,0,0,4,0,0,4
01002,L'Abergement-de-Varey,84,01,8,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
01004,Ambérieu-en-Bugey,84,01,"7,619",965,29,482,223,92,99,833,533,612,549,810,859,144,719,670,35,39,63,214,61,411
01005,Ambérieux-en-Dombes,84,01,268,13,4,44,0,0,15,21,8,24,16,12,8,12,16,75,0,0,4,0,4,8
01006,Ambléon,84,01,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01007,Ambronay,84,01,476,4,36,71,4,9,8,24,21,56,18,56,28,12,80,49,0,5,4,8,8,25
01008,Ambutrix,84,01,145,0,0,12,7,0,4,20,0,17,8,16,34,0,0,28,4,0,4,0,0,8
01009,Andert-et-Condon,84,01,24,0,0,0,4,0,0,0,0,0,4,0,12,0,0,4,0,0,0,0,0,0
01010,Anglefort,84,01,180,4,4,23,4,0,0,0,8,20,75,8,4,0,0,31,0,0,0,0,0,0
01011,Apremont,84,01,55,4,0,0,4,0,0,0,4,0,16,4,12,0,4,8,0,0,0,0,0,0
01012,Aranc,84,01,41,4,0,4,0,0,0,0,1,8,8,4,0,0,4,8,0,0,0,4,0,4
