Emploi salarié par zone d'emploi en France (hors Mayotte),,,,,,,,,,,,,,,,,,,,,,
"Source : Insee, Estimations d'emploi",,,,,,,,,,,,,,,,,,,,,,
"NB : Lors du passage au nouveau découpage régional au 1er janvier 2016, les zones d'emploi de Saint-Étienne et Toulouse auparavant interrégionales deviennent mono-régionales",,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Zone_emploi,Region,Activite,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998
0050_Mont-de-Marsan,INT-INTERREGIONAL,AZ-Agriculture,"2,558","2,583","2,615","2,628","2,573","2,317","2,433","2,178","2,628","2,420","2,434","2,569","2,600","2,688","2,709","2,641","2,588","2,709","2,763","2,847"
0050_Mont-de-Marsan,INT-INTERREGIONAL,BE-Industrie,"7,635","7,844","8,200","8,237","8,083","8,085","8,026","7,876","8,230","8,468","8,527","8,080","8,138","8,183","8,506","8,779","8,714","8,518","8,338","8,057"
0050_Mont-de-Marsan,INT-INTERREGIONAL,FZ-Construction,"2,619","2,612","2,746","2,830","2,919","3,049","3,119","3,292","3,286","3,346","3,358","3,302","3,118","3,011","2,931","2,888","2,898","2,777","2,713","2,630"
0050_Mont-de-Marsan,INT-INTERREGIONAL,GU-Tertiaire marchand,"19,391","19,132","18,778","18,558","18,317","18,196","18,229","18,370","18,738","18,481","18,641","17,874","17,996","17,059","16,956","17,254","16,869","16,441","17,298","17,255"
0050_Mont-de-Marsan,INT-INTERREGIONAL,OQ-Tertiaire non marchand,"26,074","25,890","25,601","25,820","25,225","24,861","24,727","24,249","23,992","23,880","23,755","22,854","22,433","22,390","22,047","21,813","21,339","21,268","20,997","21,200"
0050_Mont-de-Marsan,INT-INTERREGIONAL,TT-Total,"58,277","58,061","57,940","58,073","57,117","56,508","56,534","55,965","56,874","56,595","56,715","54,679","54,285","53,331","53,149","53,375","52,408","51,713","52,109","51,989"
0051_Alençon,INT-INTERREGIONAL,AZ-Agriculture,631,641,632,587,598,583,560,589,623,676,749,802,799,800,797,762,763,793,819,790
0051_Alençon,INT-INTERREGIONAL,BE-Industrie,"4,925","4,812","4,867","5,000","5,351","5,384","5,535","5,637","5,512","5,704","5,643","5,860","5,865","5,971","6,066","6,307","6,292","7,379","7,109","7,208"
0051_Alençon,INT-INTERREGIONAL,FZ-Construction,"2,434","2,382","2,438","2,640","2,816","2,961","3,117","3,286","3,313","3,400","3,539","3,469","3,434","3,353","3,365","3,422","3,329","3,228","2,898","2,843"
0051_Alençon,INT-INTERREGIONAL,GU-Tertiaire marchand,"13,723","13,692","13,756","14,000","14,314","14,542","15,220","15,315","15,321","15,427","15,878","15,879","15,711","15,454","15,114","15,209","15,363","15,051","14,689","13,999"
0051_Alençon,INT-INTERREGIONAL,OQ-Tertiaire non marchand,"17,032","17,045","16,930","16,824","16,765","16,404","16,087","17,389","17,594","17,564","17,501","17,565","17,971","17,823","17,905","17,719","17,352","16,980","16,864","16,362"
0051_Alençon,INT-INTERREGIONAL,TT-Total,"38,745","38,572","38,623","39,051","39,844","39,874","40,519","42,216","42,363","42,771","43,310","43,575","43,780","43,401","43,247","43,419","43,099","43,431","42,379","41,202"
0052_Cosne-Clamecy,INT-INTERREGIONAL,AZ-Agriculture,"1,558","1,522","1,615","1,739","1,562","1,531","1,685","1,440","1,303","1,295","1,297","1,376","1,410","1,436","1,412","1,424","1,493","1,567","1,590","1,656"
0052_Cosne-Clamecy,INT-INTERREGIONAL,BE-Industrie,"2,878","2,925","3,011","3,046","2,935","2,947","3,002","3,092","3,299","3,743","3,980","4,058","4,115","4,206","4,327","4,363","4,675","4,524","4,417","4,520"
0052_Cosne-Clamecy,INT-INTERREGIONAL,FZ-Construction,988,"1,042","1,134","1,191","1,228","1,333","1,390","1,377","1,471","1,444","1,475","1,333","1,304","1,309","1,310","1,305","1,237","1,223","1,163","1,128"
0052_Cosne-Clamecy,INT-INTERREGIONAL,GU-Tertiaire marchand,"7,194","7,118","7,311","7,396","6,952","7,074","7,068","7,104","7,081","7,460","7,348","7,190","7,159","7,180","6,847","6,989","6,860","6,731","6,338","5,995"
0052_Cosne-Clamecy,INT-INTERREGIONAL,OQ-Tertiaire non marchand,"7,082","7,082","7,156","7,230","7,202","7,193","7,455","7,472","7,570","7,425","7,552","7,699","7,566","7,597","7,389","7,095","6,992","6,698","6,713","6,541"
0052_Cosne-Clamecy,INT-INTERREGIONAL,TT-Total,"19,700","19,689","20,227","20,602","19,879","20,078","20,600","20,485","20,724","21,367","21,652","21,656","21,554","21,728","21,285","21,176","21,257","20,743","20,221","19,840"
0053_Mâcon,INT-INTERREGIONAL,AZ-Agriculture,"1,552","1,402","1,310","1,268","1,209","1,202","1,126","1,010","1,116","1,082","1,191","1,266","1,260","1,275","1,280","1,310","1,298","1,360","1,349","1,341"
0053_Mâcon,INT-INTERREGIONAL,BE-Industrie,"7,945","8,115","8,343","8,447","8,572","9,089","9,026","8,938","9,029","9,714","9,634","9,337","9,417","9,590","9,720","9,570","9,681","9,470","9,294","8,949"
0053_Mâcon,INT-INTERREGIONAL,FZ-Construction,"4,077","4,169","4,146","4,221","4,275","4,165","4,397","4,448","4,526","4,072","3,990","3,722","3,598","3,480","3,335","3,133","3,014","2,967","2,792","2,652"
0053_Mâcon,INT-INTERREGIONAL,GU-Tertiaire marchand,"22,436","21,757","21,602","21,476","21,412","20,951","21,308","21,447","21,398","21,205","21,435","21,480","21,053","21,170","21,385","20,738","19,723","18,711","18,670","18,012"
0053_Mâcon,INT-INTERREGIONAL,OQ-Tertiaire non marchand,"18,428","18,355","18,118","17,977","17,911","17,996","18,105","18,107","18,272","18,527","18,989","18,503","17,924","18,286","18,392","18,109","18,615","18,713","17,714","18,297"
0053_Mâcon,INT-INTERREGIONAL,TT-Total,"54,438","53,798","53,519","53,389","53,379","53,403","53,962","53,950","54,341","54,600","55,239","54,308","53,252","53,801","54,112","52,860","52,331","51,221","49,819","49,251"
0054_Nogent-le-Rotrou,INT-INTERREGIONAL,AZ-Agriculture,398,389,411,456,443,431,395,367,349,323,352,374,376,383,376,361,361,376,381,373
0054_Nogent-le-Rotrou,INT-INTERREGIONAL,BE-Industrie,"4,491","4,413","4,576","4,612","4,804","4,932","5,120","5,211","5,190","5,502","5,869","5,866","5,956","6,076","6,425","6,419","6,577","6,683","6,581","6,488"
0054_Nogent-le-Rotrou,INT-INTERREGIONAL,FZ-Construction,619,637,648,714,759,815,819,894,908,967,917,887,941,913,880,876,861,891,834,805
0054_Nogent-le-Rotrou,INT-INTERREGIONAL,GU-Tertiaire marchand,"4,931","5,159","4,897","4,746","4,579","4,558","4,836","4,890","4,756","4,640","4,906","5,216","4,926","5,149","5,226","5,623","5,248","5,396","4,343","4,175"
0054_Nogent-le-Rotrou,INT-INTERREGIONAL,OQ-Tertiaire non marchand,"3,541","3,568","3,559","3,609","3,572","3,600","3,543","3,501","3,502","3,622","4,015","4,013","4,133","3,943","4,071","3,928","3,835","3,950","3,862","3,777"
0054_Nogent-le-Rotrou,INT-INTERREGIONAL,TT-Total,"13,980","14,166","14,091","14,137","14,157","14,336","14,713","14,863","14,705","15,054","16,059","16,356","16,332","16,464","16,978","17,207","16,882","17,296","16,001","15,618"
0055_Vallée de la Bresle-Vimeu,INT-INTERREGIONAL,AZ-Agriculture,511,504,522,486,459,432,456,480,436,428,456,465,475,476,483,500,506,514,545,584
0055_Vallée de la Bresle-Vimeu,INT-INTERREGIONAL,BE-Industrie,"12,130","12,161","12,331","12,543","13,053","13,411","13,490","13,613","13,789","14,977","15,576","15,550","15,676","16,206","16,890","17,340","17,340","17,706","17,491","17,501"
0055_Vallée de la Bresle-Vimeu,INT-INTERREGIONAL,FZ-Construction,"1,195","1,231","1,247","1,335","1,415","1,446","1,523","1,589","1,615","1,740","1,685","1,631","1,621","1,594","1,413","1,475","1,405","1,427","1,352","1,337"
0055_Vallée de la Bresle-Vimeu,INT-INTERREGIONAL,GU-Tertiaire marchand,"9,424","9,397","9,181","9,480","9,098","9,487","9,635","9,536","9,335","9,511","10,591","10,253","10,383","10,374","9,611","9,566","9,820","9,554","8,686","8,537"
