Revenus fiscaux localisés des ménages - Année 2009,,,,,,,,,,,,,,,,,,,
"Indicateurs de distribution par Unité de Consommation - Seuil 50 ménages pour médiane, 2 000 habitants pour autres indicateurs",,,,,,,,,,,,,,,,,,,
Zones d'emploi 2010,,,,,,,,,,,,,,,,,,,
© Insee     Source : Insee-DGFiP Revenus fiscaux localisés des ménages ,,,,,,,,,,,,,,,,,,,
Sommaire,,,,,,,,,,,,,,,,,,,
,,,Nombre d'UC,1er quartile (€),Médiane (€),3ème quartile (€),Écart interquartile (€),1er décile (€),2ème décile (€),3ème décile (€),4ème décile (€),6ème décile (€),7ème décile (€),8ème décile (€),9ème décile (€),Rapport interdécile,Ecart-type (€),Moyenne (€),Indice de Gini
ZE2010,REG,LIBGEO,NBUC09,RFUCQ109,RFUCQ209,RFUCQ309,RFUCIQ09,RFUCD109,RFUCD209,RFUCD309,RFUCD409,RFUCD609,RFUCD709,RFUCD809,RFUCD909,RFUCRD09,RFUCET09,RFUCMO09,RFUCGI09
0050,73,Mont-de-Marsan,106893.6,12115,17465,23617,11502,7480,10828,13269,15450,19642,22111,25556,31770,4.2,14467.96,19411.69,0.3179
0051,52,Alençon,81404.2,11576,16841,22976,11400,6451,10177,12758,14860,18951,21439,24850,30997,4.8,19075.12,18758.73,0.3314
0052,24,Cosne - Clamecy,52628.0,11789,17125,23430,11641,6849,10419,12941,15069,19324,21905,25431,31889,4.7,14968.95,19274.13,0.3328
0053,82,Mâcon,95579.5,12935,18445,25162,12227,8123,11562,14099,16320,20694,23399,27275,34260,4.2,16444.17,20893.45,0.3201
0054,24,Nogent-le-Rotrou,32870.8,12080,17029,22820,10740,7282,10851,13167,15213,19050,21360,24530,30600,4.2,14476.31,18972.40,0.3169
0055,23,Vallée de la Bresle - Vimeu,67849.6,11171,16259,21849,10678,6662,9864,12304,14341,18234,20428,23628,29537,4.4,15399.57,18187.66,0.3278
0056,22,Roissy - Sud Picardie,1073394.1,10761,18238,26659,15898,5690,9171,12322,15317,21264,24651,29066,36606,6.4,19826.24,20761.28,0.3682
0057,74,Brive-la-Gaillarde,127816.7,12039,17471,24053,12014,7723,10805,13193,15379,19717,22353,26102,32887,4.3,17767.89,19845.66,0.3250
0059,93,Avignon,332225.8,10373,16803,24330,13957,5143,8865,11772,14328,19464,22483,26611,34061,6.6,18722.58,19433.10,0.3754
0060,82,Saint-Étienne,423179.7,11575,17182,23652,12077,6636,10168,12813,15044,19418,22049,25608,32084,4.8,17667.14,19355.42,0.3372
0061,73,Toulouse,882642.7,13060,19874,28135,15075,7348,11454,14522,17210,22707,26080,30613,38633,5.3,20716.25,22680.12,0.3479
1101,11,Paris,3992299.7,12266,22336,35916,23650,6013,10238,14288,18296,26834,32407,40289,55171,9.2,45165.67,29613.17,0.4530
1102,11,Marne-la-Vallée,209930.5,13563,21514,30377,16814,7536,11805,15274,18460,24629,28214,32899,40908,5.4,18096.09,23884.48,0.3376
1103,11,Coulommiers,41941.0,13618,19392,26019,12401,8517,12122,14933,17241,21747,24392,28165,34724,4.1,16972.19,21653.12,0.3152
1104,11,Meaux,93995.8,12466,19298,26574,14108,6814,10800,13979,16767,21885,24848,28728,35513,5.2,16959.23,21236.93,0.3341
1105,11,Melun,249037.0,13994,20980,29003,15009,8177,12310,15520,18254,23757,26976,31443,39564,4.8,21854.83,23713.63,0.3360
1106,11,Montereau-Fault-Yonne,27223.4,10519,16847,23800,13281,5452,8982,11979,14509,19424,22247,25693,31953,5.9,13131.88,18489.08,0.3418
1107,11,Nemours,32561.8,12738,18844,25873,13135,7494,11264,14098,16539,21315,24133,27970,34209,4.6,16069.27,20893.73,0.3229
1108,11,Provins,28227.5,12069,17958,24649,12580,7154,10624,13337,15730,20367,22995,26686,33447,4.7,15489.53,20164.39,0.3326
1109,11,Houdan,24021.9,19450,27414,37745,18295,13238,17709,21012,24160,30984,35256,41218,53291,4.0,32886.73,32951.59,0.3388
1110,11,Mantes-la-Jolie,107742.6,12013,19243,27019,15006,6581,10389,13565,16462,22016,25151,29139,35906,5.5,16025.51,21166.55,0.3376
1111,11,Poissy,159683.3,13780,21834,31589,17809,7847,12007,15498,18682,25185,29133,34433,43956,5.6,21303.70,25185.25,0.3545
1112,11,Rambouillet,47483.6,18366,25632,35057,16691,12360,16660,19952,22777,28782,32674,37998,47473,3.8,27040.80,29503.52,0.3127
1113,11,Plaisir,34829.5,16587,24480,33465,16878,10003,14737,18238,21440,27588,31168,36160,45064,4.5,20548.06,27153.94,0.3145
1114,11,Étampes,39171.0,13721,20529,28079,14358,7865,12046,15256,17890,23283,26339,30208,37367,4.8,16638.64,22621.80,0.3233
1115,11,Évry,211824.7,11855,19894,28340,16485,6277,10060,13595,16841,22949,26357,30705,38141,6.1,17245.06,21946.48,0.3503
1116,11,Saclay,751066.5,16673,25135,35722,19049,9826,14718,18472,21817,28733,33060,39039,49785,5.1,27256.71,29257.86,0.3473
1117,11,Créteil,356893.4,13980,21730,30391,16411,7953,12168,15688,18772,24758,28270,32946,41100,5.2,19405.10,24226.13,0.3356
1118,11,Orly,319865.9,10388,17932,26484,16096,5425,8865,11939,14933,21047,24494,28855,36071,6.6,15463.78,20074.06,0.3618
1119,11,Cergy,248229.8,13778,21381,29717,15939,7793,12039,15460,18503,24359,27691,32173,39578,5.1,17117.41,23479.31,0.3264
2101,21,Charleville-Mézières,156969.1,9897,15734,22263,12366,4969,8510,11185,13477,18055,20696,24170,30188,6.1,15791.53,17557.68,0.3575
2102,21,Troyes,207777.9,11646,17422,24170,12524,6311,10153,12978,15313,19674,22448,26260,33913,5.4,18085.24,20124.06,0.3586
2103,21,Châlons-en-Champagne,69210.8,12493,18335,25090,12597,7565,11055,13797,16131,20650,23396,27175,34141,4.5,16311.40,20625.29,0.3283
2104,21,Épernay,74508.7,13338,19351,27379,14041,8135,11906,14682,17007,21941,25268,30325,41482,5.1,23015.61,24025.27,0.3752
2105,21,Reims,226060.6,12054,18473,26307,14253,6571,10440,13474,16012,21064,24287,28815,37506,5.7,20663.18,21737.55,0.3700
2106,21,Chaumont - Langres,77722.9,11824,16937,22949,11125,7336,10610,12926,14971,19063,21510,24778,30791,4.2,15940.10,18886.76,0.3170
2107,21,Vitry-le-François - Saint-Dizier,79111.5,10594,15981,21925,11331,5826,9211,11797,13931,18061,20476,23695,29503,5.1,14034.04,17737.73,0.3378
2201,22,Château-Thierry,44306.0,12169,17928,24795,12626,7290,10845,13404,15665,20301,23099,26864,34212,4.7,17920.66,20640.29,0.3422
2202,22,Tergnier,37954.5,9907,15551,21787,11880,5008,8532,11174,13353,17762,20278,23476,29262,5.8,13549.30,17193.05,0.3482
2203,22,Thiérache,40030.6,8700,14141,20140,11441,3897,7452,9931,12067,16244,18649,21823,27123,7.0,13543.89,15695.64,0.3636
2204,22,Laon,65982.2,10635,16476,23108,12473,5905,9246,11961,14205,18783,21505,25048,31676,5.4,15601.83,18661.84,0.3517
2205,22,Saint-Quentin,93206.0,9653,15794,22481,12828,4626,8149,11005,13519,18129,20837,24473,30986,6.7,16046.83,17939.99,0.3742
2206,22,Soissons,62706.7,10952,16640,23297,12345,6264,9563,12213,14461,19035,21706,25281,32029,5.1,15644.03,18926.59,0.3462
2207,22,Beauvais,160020.9,12269,18376,25158,12889,7071,10771,13605,16092,20726,23459,27130,33307,4.7,15249.00,20221.91,0.3249
2208,22,Compiègne,131328.7,12708,18860,26111,13403,7587,11281,14015,16455,21344,24333,28268,35557,4.7,19062.52,21357.22,0.3334
2209,22,Abbeville,46850.7,10321,15969,22451,12130,5433,8866,11509,13806,18244,20831,24440,31515,5.8,15546.81,18241.47,0.3608
2210,22,Amiens,248701.2,11183,17344,24328,13145,5964,9698,12557,15028,19795,22611,26489,33678,5.6,18762.09,19732.63,0.3565
2211,22,Péronne,37966.8,10390,15773,21760,11370,5977,9099,11617,13757,17863,20284,23581,29639,5.0,13926.17,17711.13,0.3416
2301,23,Bernay,39597.8,11817,17338,23717,11900,6920,10480,13108,15253,19553,22114,25541,31921,4.6,15987.38,19441.60,0.3306
2302,23,Évreux,141697.7,12845,18746,25588,12743,7385,11357,14149,16532,21127,23909,27692,34507,4.7,17357.56,20953.17,0.3275
2303,23,Pont-Audemer,33662.9,11839,17345,23874,12035,7363,10562,13040,15233,19600,22280,25897,32717,4.4,15257.88,19630.00,0.3295
2304,23,Vernon - Gisors,80264.6,12808,18732,25703,12895,7618,11326,14095,16453,21096,23928,27821,34762,4.6,16746.34,21043.32,0.3259
2305,23,Dieppe - Caux maritime,83312.2,11484,16884,23294,11810,6662,10137,12650,14786,19103,21661,25379,32106,4.8,15448.59,19023.89,0.3348
2306,23,Le Havre,269636.1,11555,17620,24669,13114,6210,10048,12893,15300,20088,22921,26771,33460,5.4,16354.77,19795.72,0.3451
2307,23,Rouen,538046.5,12246,18389,25465,13219,6779,10688,13621,16059,20832,23713,27629,34640,5.1,17183.09,20650.39,0.3404
2401,24,Bourges,134296.4,12509,18273,24915,12406,7240,11086,13816,16090,20563,23249,26937,33510,4.6,16053.62,20209.53,0.3241
2402,24,Saint-Amand-Montrond,26480.4,10515,15824,21608,11093,5520,9196,11693,13787,17843,20175,23319,29193,5.3,13199.32,17337.78,0.3373
2403,24,Vierzon,32464.2,11327,16610,22423,11096,5742,9903,12547,14631,18667,21038,24137,30020,5.2,14387.06,18171.40,0.3315
2404,24,Chartres,163593.5,13903,19607,26461,12558,8787,12486,15181,17414,21958,24761,28586,35599,4.1,17694.59,22008.18,0.3122
2405,24,Châteaudun,25278.0,12167,17471,23389,11222,7350,10819,13417,15541,19532,21949,25199,31299,4.3,15608.50,19410.78,0.3183
2406,24,Dreux,73054.8,11804,18271,25138,13334,6464,10203,13282,15854,20663,23453,27269,34032,5.3,16134.76,20231.37,0.3398
2407,24,Le Blanc,15732.2,11085,15747,21382,10297,6600,9854,12097,13983,17785,19957,23149,28969,4.4,12409.27,17505.27,0.3186
2408,24,Issoudun,14560.3,12169,17367,22889,10720,7498,10844,13335,15395,19288,21404,24726,30651,4.1,13917.60,19096.81,0.3149
2409,24,Châteauroux,122111.6,11648,16835,22869,11221,7054,10403,12749,14861,18903,21345,24667,30804,4.4,15317.71,18768.65,0.3229
2410,24,Chinon,24031.0,12066,17603,24559,12493,7566,10829,13263,15399,19997,22821,26498,33195,4.4,14120.05,19827.31,0.3228
2411,24,Loches,16182.4,11643,16546,22661,11019,7438,10470,12689,14665,18613,21034,24538,30669,4.1,13822.48,18659.62,0.3192
2412,24,Tours,348655.3,13022,18715,25709,12687,7899,11649,14289,16534,21076,23921,27936,35163,4.5,19000.11,21248.15,0.3278
2413,24,Blois,118506.5,12968,18661,25357,12390,7600,11528,14222,16460,20977,23697,27434,34219,4.5,15897.20,20759.09,0.3211
2414,24,Romorantin-Lanthenay,39731.2,11719,16940,22854,11135,6921,10506,12930,15017,19041,21422,24675,30489,4.4,16103.84,18808.49,0.3212
2415,24,Vendôme,45857.4,12709,17549,23739,11030,7844,11476,13732,15683,19688,22213,25611,31967,4.1,18361.99,19927.99,0.3182
2416,24,Gien,52578.1,12009,17617,24039,12030,6810,10561,13310,15536,19824,22427,26042,32321,4.7,15500.49,19493.03,0.3265
2417,24,Montargis,85365.0,11876,17728,24261,12385,6666,10381,13233,15574,20010,22649,26285,32910,4.9,19531.43,19848.25,0.3376
2418,24,Orléans,314253.2,13566,19728,27223,13657,7850,11993,14943,17353,22285,25325,29487,36863,4.7,19453.44,22188.11,0.3271
2419,24,Pithiviers,34303.4,12864,18390,24842,11978,8062,11525,14091,16300,20565,23199,26746,33340,4.1,16524.16,20509.73,0.3115
2501,25,Bayeux,35201.0,11562,17069,23383,11821,7083,10290,12785,15021,19251,21877,25338,31791,4.5,16596.91,19171.09,0.3311
2502,25,Caen,305427.5,12721,18461,25347,12626,7562,11265,13985,16255,20819,23633,27479,34519,4.6,21366.81,20903.68,0.3313
2503,25,Honfleur,37021.3,12088,17793,25747,13659,7353,10767,13376,15597,20364,23635,28394,37893,5.2,24860.43,22138.64,0.3798
2504,25,Lisieux,47505.2,10942,16270,22528,11586,6123,9600,12131,14237,18528,20999,24363,30943,5.1,15899.23,18435.74,0.3455
