Revenus fiscaux localisés des ménages - Année 2009,,,,,,,,,,,,,,,,,,
"Indicateurs de distribution par Ménage - Seuil : 50 ménages pour médiane, 2 000 habitants pour autres indicateurs",,,,,,,,,,,,,,,,,,
Zones d'emploi 2010,,,,,,,,,,,,,,,,,,
© Insee     Source : Insee-DGFiP Revenus fiscaux localisés des ménages ,,,,,,,,,,,,,,,,,,
Sommaire,,,,,,,,,,,,,,,,,,
,,,Nb de ménages fiscaux,1er quartile (€),Médiane (€),3ème quartile (€),Écart interquartile (€),1er décile (€),2ème décile (€),3ème décile (€),4ème décile (€),6ème décile (€),7ème décile (€),8ème décile (€),9ème décile (€),Rapport interdécile,Ecart-type (€),Moyenne (€)
ZE2010,REG,LIBGEO,NBMEN09,RFMQ109,RFMQ209,RFMQ309,RFMIQ09,RFMD109,RFMD209,RFMD309,RFMD409,RFMD609,RFMD709,RFMD809,RFMD909,RFMRD09,RFMET09,RFMMO09
0050,73,Mont-de-Marsan,67481,16069,26217,39680,23611,9512,14314,17778,21616,31264,36508,43488,55012,5.8,26339.22,30941.15
0051,52,Alençon,51942,15628,24956,37995,22367,9223,13889,17282,20714,29858,35023,41552,52830,5.7,34737.76,29779.56
0052,24,Cosne - Clamecy,35246,15436,24084,36714,21278,9232,13748,16994,20210,28631,33772,40218,51477,5.6,25439.76,29039.28
0053,82,Mâcon,60134,17610,28092,42243,24633,11290,15835,19403,23333,33315,38925,46293,58922,5.2,29482.88,33569.06
0054,24,Nogent-le-Rotrou,21023,16322,25668,37779,21457,10488,14702,17909,21299,30369,35225,40977,52753,5.0,25210.04,30149.44
0055,23,Vallée de la Bresle - Vimeu,42268,16041,25057,37089,21048,10058,14365,17640,21107,29450,34272,40451,51390,5.1,27361.85,29659.51
0056,22,Roissy - Sud Picardie,603061,19306,31838,49221,29915,11636,17119,21485,26261,38020,45043,54167,69497,6.0,37698.70,38282.02
0057,74,Brive-la-Gaillarde,83453,15600,25303,38966,23366,9615,13895,17155,20809,30350,35765,42785,54776,5.7,30264.45,30539.25
0059,93,Avignon,205554,15189,25584,41005,25816,7874,13150,17013,20959,31013,37263,45441,59535,7.6,33703.76,31917.54
0060,82,Saint-Étienne,267060,15864,25314,39494,23630,9500,14157,17537,21082,30364,36131,43440,55793,5.9,31297.83,31013.26
0061,73,Toulouse,560788,17008,29049,46150,29142,9393,14917,19118,23713,35021,41977,51157,66777,7.1,36533.28,35813.54
1101,11,Paris,2568556,19025,32535,55344,36319,10030,16518,21432,26567,39801,49209,63045,89470,8.9,76994.75,46692.11
1102,11,Marne-la-Vallée,121000,21711,36080,54667,32956,13482,19178,24300,29951,42702,50260,59986,76485,5.7,34512.51,42361.48
1103,11,Coulommiers,24935,19720,32014,46884,27164,12321,17548,21869,26746,37543,43431,51087,64253,5.2,32175.42,37030.22
1104,11,Meaux,54545,19413,32305,48651,29238,11880,17194,21626,26649,38402,44917,53037,66732,5.6,32069.57,37563.38
1105,11,Melun,146431,20963,34838,52216,31253,13181,18604,23391,28874,41021,48098,57106,72716,5.5,40698.02,41174.04
1106,11,Montereau-Fault-Yonne,16008,17191,27986,42663,25472,10045,15376,19126,23108,33421,39337,46565,58283,5.8,24428.40,32449.56
1107,11,Nemours,19640,18671,30349,45616,26945,11319,16485,20654,25255,35736,41956,49946,62829,5.6,29545.58,35373.08
1108,11,Provins,16977,17847,29029,43485,25638,10935,15890,19974,24086,34274,40221,47332,60401,5.5,29012.20,34225.28
1109,11,Houdan,13912,27222,46248,69821,42599,16881,23789,30985,38449,54411,63809,76518,99823,5.9,61874.18,57098.53
1110,11,Mantes-la-Jolie,60722,20370,33550,50261,29891,12730,18071,22699,27813,39728,46281,54937,68846,5.4,30308.87,38780.78
1111,11,Poissy,91681,21907,36482,56723,34816,14241,19474,24479,30143,43395,51659,62699,81841,5.7,40936.96,44671.90
1112,11,Rambouillet,28123,25201,42033,63010,37809,16048,22006,28405,35168,49473,57833,69315,88591,5.5,51465.48,50127.22
1113,11,Plaisir,20001,25119,41375,61554,36435,16472,22226,28182,34760,48547,56588,67256,84034,5.1,39606.12,48093.52
1114,11,Étampes,23442,20145,33201,49639,29494,12763,17827,22386,27535,39225,45887,54357,68761,5.4,31227.26,38624.62
1115,11,Évry,120755,20390,34258,52115,31725,12518,18094,22786,28192,40708,47959,57073,71908,5.7,32606.59,39864.40
1116,11,Saclay,445499,24170,40415,62363,38193,15457,21364,27124,33546,47878,56886,69051,90767,5.9,52091.43,49922.42
1117,11,Créteil,206537,22068,36484,54876,32808,14044,19596,24570,30223,43036,50426,60255,76843,5.5,36536.96,42866.30
1118,11,Orly,189871,18143,29110,45983,27840,10168,16049,20087,24187,35009,41838,50823,65649,6.5,28689.04,35044.81
1119,11,Cergy,141853,21939,36481,54747,32808,13769,19472,24541,30243,42966,50349,59856,75197,5.5,32896.34,42083.06
2101,21,Charleville-Mézières,98261,14748,23488,37184,22436,7544,12848,16390,19689,28192,33893,40923,52424,6.9,27550.19,28569.36
2102,21,Troyes,132508,16004,25801,39676,23672,9366,14282,17667,21393,30748,36333,43696,57360,6.1,31692.46,31984.44
2103,21,Châlons-en-Champagne,43481,17501,27820,42043,24542,10886,15759,19289,23117,33063,38792,46083,59092,5.4,28981.69,33343.93
2104,21,Épernay,47144,18389,29836,45617,27228,11599,16437,20285,24764,35271,41605,50553,70116,6.0,39961.99,38555.56
2105,21,Reims,143767,16635,27348,42943,26308,9321,14740,18505,22552,32854,39156,47639,63322,6.8,36298.52,34574.06
2106,21,Chaumont - Langres,50138,15740,24569,37955,22215,9815,14085,17309,20653,29325,34696,41455,52407,5.3,27721.82,29546.40
2107,21,Vitry-le-François - Saint-Dizier,49728,15432,23959,36691,21259,9007,13691,17034,20279,28414,33575,40163,51125,5.7,24879.65,28740.51
2201,22,Château-Thierry,26988,17637,28695,42876,25240,11029,15737,19572,23776,33903,39407,47077,60619,5.5,33092.14,34517.70
2202,22,Tergnier,23611,15070,23787,36449,21379,8029,13246,16700,20093,28267,33508,40032,50666,6.3,24309.86,28301.50
2203,22,Thiérache,24837,13557,21536,33575,20018,6999,11747,15180,18217,25601,30695,36895,47288,6.8,24076.85,25968.46
2204,22,Laon,40495,16220,25689,39170,22950,9475,14401,17991,21533,30468,35913,43084,55227,5.8,28306.10,31038.91
2205,22,Saint-Quentin,57855,15060,23955,37322,22262,7890,13191,16630,20082,28535,34093,41237,53656,6.8,28523.64,29552.86
