Revenus fiscaux localisés des ménages - Année 2011,,,,,,,,,,,,,,,,,,
"Indicateurs de distribution par Ménage - Seuil : 50 ménages fiscaux pour médiane, 2 000 personnes pour autres indicateurs",,,,,,,,,,,,,,,,,,
Zones d'emploi 2010,,,,,,,,,,,,,,,,,,
© Insee     Source : Insee-DGFiP Revenus fiscaux localisés des ménages ,,,,,,,,,,,,,,,,,,
Sommaire,,,,,,,,,,,,,,,,,,
,,,Nb de ménages fiscaux,1er quartile (€),Médiane (€),3ème quartile (€),Écart interquartile (€),1er décile (€),2ème décile (€),3ème décile (€),4ème décile (€),6ème décile (€),7ème décile (€),8ème décile (€),9ème décile (€),Rapport interdécile,Ecart-type (€),Moyenne (€)
ZE2010,REG,LIBGEO,NBMEN11,RFMQ111,RFMQ211,RFMQ311,RFMIQ11,RFMD111,RFMD211,RFMD311,RFMD411,RFMD611,RFMD711,RFMD811,RFMD911,RFMRD11,RFMET11,RFMMO11
0050,73,Mont-de-Marsan,68904,16760,27411,41380,24620,9937,14918,18561,22666,32600,38139,45318,57428,5.8,28406.20,32305.00
0051,52,Alençon,52429,16248,25905,39544,23296,9499,14448,17943,21590,31040,36418,43273,54940,5.8,27961.33,30894.48
0052,24,Cosne - Clamecy,35221,15994,25004,38246,22252,9622,14336,17565,20942,29827,35063,41886,53574,5.6,26222.45,30148.50
0053,82,Mâcon,61166,18317,29361,43947,25630,11699,16415,20203,24349,34726,40549,48010,61353,5.2,51047.85,35211.05
0054,24,Nogent-le-Rotrou,20989,17205,27005,40024,22819,11019,15546,18871,22423,31880,36985,43518,55666,5.1,27956.14,32042.15
0055,23,Vallée de la Bresle - Vimeu,42633,16796,26258,38811,22015,10464,15081,18520,22155,30877,35888,42273,53820,5.1,32698.10,31194.33
0056,22,Roissy - Sud Picardie,613496,19736,32723,50893,31157,11600,17460,21998,26962,39150,46559,56040,72168,6.2,39043.12,39591.32
0057,74,Brive-la-Gaillarde,84701,16178,26329,40593,24415,10001,14376,17866,21689,31570,37297,44672,56928,5.7,34078.56,31987.36
0059,93,Avignon,211097,15734,26626,42672,26938,8205,13629,17634,21736,32293,38786,47305,62158,7.6,36053.61,33346.07
0060,82,Saint-Étienne,269673,16531,26417,41155,24624,9821,14714,18275,21993,31725,37729,45181,58124,5.9,33641.10,32421.49
0061,73,Toulouse,582752,17606,30178,48023,30417,9617,15400,19796,24603,36429,43658,53293,69801,7.3,43117.34,37478.71
1101,11,Paris,2582680,19711,33950,58103,38392,10265,17082,22253,27675,41603,51600,66279,94584,9.2,90654.25,49890.09
1102,11,Marne-la-Vallée,124249,22477,37255,56584,34107,13765,19842,25105,30959,44132,52004,62277,79795,5.8,37971.96,44129.46
1103,11,Coulommiers,25682,20565,33449,49038,28473,12932,18195,22798,28009,39062,45316,53363,67026,5.2,39927.08,38880.93
1104,11,Meaux,55865,20112,33582,50592,30480,12244,17809,22398,27675,39777,46541,55204,69491,5.7,41233.56,39326.69
1105,11,Melun,148943,21600,36017,54358,32758,13349,19101,24130,29844,42662,50010,59422,75717,5.7,46195.83,42886.58
1106,11,Montereau-Fault-Yonne,16411,17818,29124,44198,26380,10395,15819,19953,24118,34643,40756,48137,60468,5.8,26025.28,33707.56
1107,11,Nemours,19735,19399,31666,47383,27984,11843,17267,21663,26417,37358,43464,51973,65532,5.5,30968.91,36945.87
1108,11,Provins,17266,18445,30314,45310,26865,11278,16439,20591,24958,35838,41826,49547,62834,5.6,32304.74,35898.16
1109,11,Houdan,14198,28799,48373,73585,44786,17412,24832,32785,40435,56973,67301,81161,106778,6.1,69684.72,60355.57
1110,11,Mantes-la-Jolie,62500,20833,34449,51931,31098,12884,18396,23287,28558,40825,47833,56668,71127,5.5,32608.84,40071.92
1111,11,Poissy,93951,22496,37344,58617,36121,14388,19932,25028,30879,44621,53316,65059,85314,5.9,46901.64,46424.55
1112,11,Rambouillet,28517,26039,43503,65101,39062,16583,22827,29312,36202,51042,59743,71851,92449,5.6,86748.93,52554.56
1113,11,Plaisir,20316,26084,43161,64433,38349,16931,23153,29339,36053,50476,59081,70432,88259,5.2,45646.73,50458.91
1114,11,Étampes,24190,20918,34591,51213,30295,13331,18622,23412,28746,40674,47310,55853,70602,5.3,32914.11,40029.49
1115,11,Évry,123777,20746,34997,53631,32885,12532,18391,23214,28696,41656,49325,58628,74529,5.9,35868.61,41075.41
1116,11,Saclay,453464,24848,41616,64638,39790,15775,21927,27916,34509,49433,58829,71720,94599,6.0,61635.20,52124.32
1117,11,Créteil,210490,22638,37579,56936,34298,14191,20105,25311,31145,44487,52268,62524,79649,5.6,44490.85,44482.95
1118,11,Orly,194113,18560,29862,47456,28896,10166,16393,20567,24820,35995,43205,52530,68204,6.7,29721.32,36234.12
1119,11,Cergy,144961,22617,37621,56733,34116,14114,19999,25289,31195,44473,52193,62117,78283,5.5,36557.24,43738.43
2101,21,Charleville-Mézières,98557,15187,24549,38724,23537,7502,13177,16949,20445,29364,35238,42670,54826,7.3,33260.27,29908.07
2102,21,Troyes,134235,16528,26665,41151,24623,9431,14720,18244,22124,31799,37700,45388,59452,6.3,33215.58,33037.90
2103,21,Châlons-en-Champagne,44198,17963,28633,43441,25478,10999,16120,19771,23835,33996,40004,47638,61178,5.6,46357.56,34627.65
2104,21,Épernay,47862,18861,30628,47074,28213,11991,16874,20864,25387,36405,42903,52284,71190,5.9,42555.20,39381.24
2105,21,Reims,145548,17104,28179,44505,27401,9338,15108,19026,23212,33861,40459,49427,65864,7.1,37411.88,35748.95
2106,21,Chaumont - Langres,50033,16535,25901,39771,23236,10396,14814,18274,21759,30888,36643,43491,54849,5.3,32586.05,31231.57
2107,21,Vitry-le-François - Saint-Dizier,49934,16145,25040,38287,22142,9466,14372,17745,21192,29687,35194,41933,53618,5.7,28563.79,30116.81
2201,22,Château-Thierry,27393,18274,29640,44509,26235,11348,16275,20369,24793,34948,40917,48807,62094,5.5,42056.13,35687.35
2202,22,Tergnier,23744,15426,24465,37432,22006,7900,13416,17126,20580,29135,34444,41113,52369,6.6,24855.75,29056.66
2203,22,Thiérache,24899,14217,22508,35250,21033,7001,12138,15917,19072,26789,32178,38754,49457,7.1,32175.15,27229.33
2204,22,Laon,41209,16653,26464,40521,23868,9237,14675,18506,22251,31456,37106,44522,56650,6.1,28302.29,31893.05
2205,22,Saint-Quentin,58509,15415,24619,38606,23191,7615,13425,17067,20546,29413,35148,42569,55192,7.2,29769.96,30456.76
2206,22,Soissons,39012,16994,27117,41171,24177,9903,15188,18833,22647,32113,37793,45182,57353,5.8,30173.56,32609.97
2207,22,Beauvais,96699,19217,31515,46485,27268,11695,17076,21353,26168,37058,43041,50566,63365,5.4,32509.67,36331.11
2208,22,Compiègne,80358,19330,31168,46986,27656,12000,17191,21349,25982,36772,43229,51644,66243,5.5,34490.64,37479.51
2209,22,Abbeville,29505,15833,25522,39398,23565,8880,13854,17520,21219,30489,36150,43497,56726,6.4,29653.89,31355.45
2210,22,Amiens,156095,16900,27590,42667,25767,9250,14920,18861,22916,32967,39082,47000,60684,6.6,36902.22,33787.07
2211,22,Péronne,23229,16439,25837,38885,22446,9752,14738,18189,21786,30607,35833,42563,54455,5.6,28616.63,31224.04
2301,23,Bernay,25309,17465,28090,41668,24203,10520,15592,19404,23530,33036,38468,45353,57460,5.5,28367.90,32982.91
2302,23,Évreux,88457,18722,30863,45847,27125,11352,16642,20844,25540,36206,42288,50001,63426,5.6,34266.65,36087.45
2303,23,Pont-Audemer,21785,17315,28038,42416,25101,10386,15494,19200,23341,33462,39124,46249,59120,5.7,40817.13,33870.64
2304,23,Vernon - Gisors,49008,19668,31966,47128,27460,12449,17513,21827,26749,37423,43494,51418,65845,5.3,36864.58,37613.84
2305,23,Dieppe - Caux maritime,52660,16939,27145,41127,24188,10063,15035,18833,22704,32163,37758,45101,58079,5.8,30526.75,32445.75
2306,23,Le Havre,168917,17176,27865,43267,26091,9576,15152,19136,23168,33291,39534,47728,61167,6.4,33806.82,33732.51
2307,23,Rouen,341273,17648,28796,44332,26684,10138,15683,19635,23881,34328,40610,48773,62739,6.2,36285.57,34916.62
2401,24,Bourges,87720,17273,27745,41990,24717,10134,15466,19099,23091,33016,38686,46040,58733,5.8,36665.08,32978.42
2402,24,Saint-Amand-Montrond,17519,14544,22947,35258,20714,8357,12813,16125,19302,27246,32398,38697,49024,5.9,22982.21,27327.52
2403,24,Vierzon,21278,15755,24722,37702,21947,8893,13985,17390,20727,29367,34699,41247,52661,5.9,26932.70,29366.18
2404,24,Chartres,103255,19783,32122,47308,27525,12916,17687,21934,26724,37604,43665,51765,65793,5.1,39571.49,37706.25
2405,24,Châteaudun,16242,17430,26897,40255,22825,11415,15853,19089,22744,31660,37135,43764,55656,4.9,32743.96,32367.36
2406,24,Dreux,43603,19231,31740,47618,28387,11786,17072,21479,26353,37305,43854,52049,65513,5.6,34177.78,37098.92
2407,24,Le Blanc,10411,14924,23201,35957,21033,9168,13381,16426,19554,27750,32832,39251,49768,5.4,25272.44,28093.40
2408,24,Issoudun,9601,16335,25497,38864,22529,9634,14714,17982,21408,30172,35795,42347,53724,5.6,28967.85,30526.35
2409,24,Châteauroux,80742,15917,24932,38466,22549,9719,14131,17523,20913,29896,35345,42117,53293,5.5,28793.17,30155.65
2410,24,Chinon,15527,16834,27748,42504,25670,10208,15214,18684,22638,33046,38946,47031,60717,5.9,28944.60,33219.10
2411,24,Loches,10662,15980,25320,38573,22593,10257,14313,17668,21052,30226,35604,42425,54580,5.3,27016.62,30656.11
2412,24,Tours,228447,17538,28701,44037,26499,10515,15690,19448,23663,34217,40322,48540,62636,6.0,35380.55,34834.29
2413,24,Blois,76702,18187,29323,43763,25576,11542,16304,20113,24329,34652,40290,47914,60900,5.3,29202.05,34581.16
2414,24,Romorantin-Lanthenay,26077,16541,25799,38593,22052,10222,14924,18133,21676,30548,35694,42019,53315,5.2,29661.60,30530.43
2415,24,Vendôme,29613,17601,27464,41051,23450,11513,15877,19285,23014,32481,37891,44846,57403,5.0,33425.44,33121.58
2416,24,Gien,33852,17140,27248,41138,23999,10778,15419,18931,22634,32381,37885,45060,57102,5.3,30799.16,32436.28
2417,24,Montargis,54885,17575,27757,41710,24135,10602,15773,19432,23204,32929,38511,45583,57826,5.5,30494.26,32987.80
2418,24,Orléans,198201,19376,31668,47605,28229,12263,17304,21537,26304,37324,43758,52193,66796,5.4,37316.68,37689.72
2419,24,Pithiviers,21229,19270,30822,44710,25440,12583,17326,21280,25768,35876,41459,48661,60580,4.8,28859.70,35407.97
2501,25,Bayeux,22515,16939,27292,41048,24109,10349,15145,18701,22665,32558,37995,45095,57418,5.5,30560.78,32643.79
2502,25,Caen,195229,17918,29256,44330,26412,10673,15952,19921,24252,34685,40721,48674,62611,5.9,38281.66,35317.87
2503,25,Honfleur,24707,16915,27762,43613,26698,10388,15154,18686,22776,33240,39566,48510,65445,6.3,53486.77,36571.29
2504,25,Lisieux,30046,15771,25288,39416,23645,8915,13911,17437,20984,30510,36125,43357,56009,6.3,40563.06,31162.45
2505,25,Vire,17115,15837,24577,37482,21645,9800,14049,17322,20524,29505,34812,40710,51198,5.2,41186.94,29722.44
2506,25,Avranches,39688,15953,24911,38244,22291,10138,14258,17540,20875,30010,35431,41596,52107,5.1,26383.17,29989.34
2507,25,Cherbourg-Octeville,88914,16796,26932,41285,24489,9970,14925,18652,22478,32071,37831,45300,57839,5.8,30549.82,32122.80
2508,25,Coutances,26042,16213,25506,38810,22597,10126,14490,17835,21289,30402,35739,42404,54512,5.4,31332.34,31045.56
2509,25,Granville,23890,16564,26524,40467,23903,10412,14850,18256,22107,31420,37213,44707,58971,5.7,36694.72,33042.82
2510,25,Saint-Lô,36823,16911,26754,40412,23501,10456,15124,18665,22280,31780,37278,43928,55309,5.3,26846.61,31525.51
2511,25,Argentan,17895,15971,24970,38049,22078,9549,14168,17700,20899,29828,35075,41423,52566,5.5,27203.38,29775.53
2512,25,Flers,44171,16199,25115,37862,21663,9988,14481,17806,21045,29840,35037,41237,51863,5.2,38879.15,30043.56
2513,25,L'Aigle,14976,15874,24766,38595,22722,8986,14066,17489,20782,29535,35321,42318,53184,5.9,26232.37,29929.10
2601,26,Beaune,21695,18330,30034,46053,27723,11913,16454,20203,24688,35667,42005,50772,67141,5.6,43119.94,38105.68
2602,26,Chatillon,8300,15947,24476,37914,21968,9846,14299,17443,20706,29391,34844,41718,53675,5.5,24667.63,29981.77
2603,26,Dijon,179729,18339,29884,45727,27388,11416,16407,20294,24683,35613,41987,50320,64650,5.7,34939.83,36241.89
2604,26,Montbard,14384,16283,25710,39563,23280,9834,14597,17923,21433,30930,36430,43504,55265,5.6,27679.78,30752.74
2605,26,Morvan,17009,14432,22414,34558,20126,8626,12782,15924,19080,26464,31559,37987,48416,5.6,22798.18,26849.60
2606,26,Nevers,55788,15893,24996,38580,22687,8695,14047,17500,20954,29875,35378,42388,53741,6.2,29380.73,29990.54
2607,26,Autun,15386,15998,24371,37653,21655,9899,14300,17453,20718,29109,34637,41297,53017,5.4,29184.16,29788.19
2608,26,Chalon-sur-Saône,85192,17289,27646,42065,24776,10699,15504,19139,23067,32993,38737,46085,58888,5.5,30558.50,33289.79
2609,26,Louhans,16395,16269,25475,38394,22125,10300,14480,17810,21169,30395,35416,41764,52033,5.1,22997.72,29770.98
2610,26,Le Creusot - Montceau,46454,16093,24588,37538,21445,9812,14332,17685,20968,29088,34432,41214,52490,5.3,25796.50,29471.06
2611,26,Charolais,38240,16240,24823,37815,21575,10310,14509,17839,21131,29372,34797,41269,52502,5.1,25162.01,29784.39
2612,26,Auxerre,92557,16949,27170,40999,24050,10089,15140,18757,22567,32162,37751,44873,57359,5.7,32937.48,32514.94
2613,26,Avallon,10770,16137,25302,38845,22708,9459,14392,17698,21317,30369,35618,42635,54472,5.8,33681.82,30853.52
2614,26,Sens,46536,18227,29025,43166,24939,11155,16307,20109,24196,34180,39765,47092,59244,5.3,30208.42,33976.85
3110,31,Roubaix - Tourcoing,162747,15560,26348,42371,26811,7246,13438,17386,21452,32076,38558,47060,62231,8.6,41745.83,33768.13
3111,31,Lille,319754,16916,28501,46164,29248,8748,14811,18964,23386,34511,41704,51543,68717,7.9,46433.65,36709.12
3112,31,Dunkerque,103271,16735,26737,41221,24486,9304,14657,18652,22485,31729,37633,45291,57972,6.2,30393.22,32193.85
3113,31,Flandre - Lys,48250,18899,30218,44834,25935,12096,16886,20948,25364,35585,41496,48867,61866,5.1,32266.09,35622.21
3114,31,Douai,97840,15876,25911,41056,25180,8413,13818,17767,21538,31106,37427,45259,58224,6.9,32006.13,31606.67
3115,31,Valenciennes,138933,14578,23880,38449,23871,6792,12525,16444,19975,28817,34888,42617,55083,8.1,36360.24,29701.36
3116,31,Cambrai,73696,15751,25426,39499,23748,8593,13807,17561,21254,30310,36095,43460,55906,6.5,33136.85,31077.29
3117,31,Maubeuge,93433,14285,23812,38296,24011,6092,12178,16193,19816,28704,34743,42462,55061,9.0,28224.09,29176.43
3121,31,Arras,97906,17390,28324,43717,26327,10089,15360,19398,23510,33837,40074,48081,61877,6.1,34603.35,34630.87
3122,31,Lens - Hénin,144948,14313,22731,35827,21514,6843,12413,16024,19275,27125,32651,39507,50234,7.3,24303.20,27279.69
3123,31,Béthune - Bruay,117804,15777,25379,39899,24122,8851,13816,17604,21261,30461,36420,43871,56023,6.3,34372.97,30929.76
3124,31,Saint-Omer,46982,16215,25633,39350,23135,8805,14108,17941,21515,30629,36293,43115,55268,6.3,35992.78,31136.50
3125,31,Calais,65395,15388,25372,39358,23970,7291,13221,17334,21045,30207,35948,43417,55166,7.6,26447.09,30109.50
3126,31,Boulogne-sur-mer,66101,15102,24902,39341,24239,7800,13049,16931,20598,29962,35865,43529,56732,7.3,37602.22,31063.42
3127,31,Berck - Montreuil,45022,16331,26151,40299,23968,9523,14480,18118,21831,31267,36908,44496,57877,6.1,34470.44,32614.36
4101,41,Longwy,46171,16139,26381,42132,25993,8596,14033,18164,21934,31836,38318,46507,59511,6.9,26473.37,31748.21
4102,41,Lunéville,14215,15700,25269,39254,23554,8363,13846,17277,20945,30263,35957,43192,54629,6.5,28489.11,30353.44
4103,41,Nancy,214172,17279,28612,44861,27582,9397,15244,19272,23512,34363,40998,49531,64197,6.8,42947.66,35111.24
4104,41,Bar-le-Duc,26977,17032,27138,41686,24654,10190,15160,18822,22603,32569,38337,45354,57198,5.6,27229.68,32340.66
4105,41,Commercy,18629,16641,25943,39348,22707,10046,14828,18311,21918,30790,36335,43159,54625,5.4,24754.75,30720.11
4106,41,Verdun,26649,15608,25125,39709,24101,8673,13731,17381,20991,30289,36269,43686,55904,6.4,28692.27,30702.81
4107,41,Metz,210257,17377,28429,44862,27485,10030,15337,19430,23595,34120,40858,49544,63979,6.4,36998.43,35118.00
4108,41,Forbach,91075,16464,25883,40669,24205,9503,14463,18408,22033,30992,37117,44822,57692,6.1,29245.34,31685.06
4109,41,Sarrebourg,29734,17542,28084,42448,24906,11220,15689,19449,23467,33352,39161,46349,57817,5.2,31855.59,33253.95
4110,41,Sarreguemines,46401,17999,29020,44764,26765,10937,15822,20078,24179,34691,41119,49248,62768,5.7,32925.15,34972.12
4111,41,Thionville,90071,17491,28418,45161,27670,9981,15403,19597,23651,34180,41077,50025,65495,6.6,32665.26,34989.61
4112,41,Épinal,70294,16090,25815,40309,24219,9319,14296,17803,21517,31072,36922,44312,56282,6.0,32932.71,31454.65
4113,41,Remiremont,37489,16664,25933,39510,22846,10859,15034,18326,21881,30792,36272,43228,54633,5.0,57286.64,31402.31
4114,41,Saint-Dié-des-Vosges,38555,15664,24768,38097,22433,9010,13891,17282,20755,29469,34943,41776,52768,5.9,26399.24,29573.55
4115,41,Neufchâteau,22999,16243,25741,39495,23252,9947,14490,17903,21550,30769,36272,43497,55655,5.6,30214.02,31033.58
4201,42,Haguenau,79529,21128,34084,49872,28744,13626,18753,23551,28712,39897,46186,54137,67723,5.0,32095.49,39185.89
4202,42,Molsheim - Obernai,54263,20913,34001,50564,29651,13859,18692,23220,28366,39772,46574,55239,70528,5.1,40737.87,40373.23
4203,42,Saverne,31573,19353,31353,46792,27439,12419,17208,21548,26130,36997,43259,50925,63983,5.2,29691.66,36588.14
4204,42,Sélestat,34141,19416,31742,47545,28129,12587,17220,21534,26255,37666,43963,51918,65675,5.2,34654.67,37462.28
4205,42,Strasbourg,234501,17325,29119,46930,29605,8997,15206,19429,23900,35271,42569,52184,69349,7.7,44153.94,37250.03
4206,42,Wissembourg,16496,21128,34889,52163,31035,13094,18578,23618,29074,41166,48233,57011,71899,5.5,30934.12,40335.42
4207,42,Colmar,81987,18983,30974,47385,28402,11948,16944,21090,25700,36826,43489,52097,67795,5.7,44283.74,37921.48
4208,42,Mulhouse,176179,18208,29876,47346,29138,10524,16065,20335,24687,35935,43017,52467,68351,6.5,37186.03,36997.35
4209,42,Saint-Louis,49703,23121,42084,67458,44337,13565,19948,26573,34154,51029,61237,75120,98825,7.3,46741.49,51695.67
4301,43,Besançon,126728,17338,28346,44070,26732,10054,15431,19231,23360,34004,40348,48541,62344,6.2,32952.70,34463.99
4302,43,Belfort - Montbéliard - Héricourt,158071,17347,27506,42669,25322,10367,15509,19164,23006,32868,39059,46923,59985,5.8,31867.92,33227.49
4303,43,Morteau,19657,21963,39542,63530,41567,13815,19455,24914,32067,47636,57727,70254,87564,6.3,39048.79,46897.84
4304,43,Pontarlier,26081,19894,34719,55075,35181,12496,17543,22336,28207,41887,50024,60677,78446,6.3,34232.47,41573.04
4305,43,Dole,30369,17368,27670,41668,24300,10599,15583,19232,23180,32812,38374,45772,57747,5.4,30602.57,32685.57
4306,43,Lons-le-Saunier,53209,16649,26443,40714,24065,10523,14890,18324,21983,31650,37442,44724,56797,5.4,32739.64,32119.08
4307,43,Saint-Claude,22998,18363,30898,48227,29864,11759,16441,20406,25385,37114,43978,53473,70055,6.0,42308.90,37858.92
4308,43,Gray,12041,16182,25380,38965,22783,9866,14386,17928,21324,30390,36031,42677,54790,5.6,25974.73,30724.30
4309,43,Vesoul,51660,16385,25715,39235,22851,9778,14578,18089,21561,30729,36221,42801,54300,5.6,25849.14,30556.88
5201,52,Ancenis,18739,18206,28702,40801,22595,11877,16374,20007,24056,33477,38079,44055,54142,4.6,29784.13,32465.97
5202,52,Châteaubriant,15211,15690,24447,37470,21780,9604,13964,17251,20495,29253,34589,40557,50821,5.3,38136.63,29548.29
5203,52,Nantes,421974,18527,30308,46018,27491,11388,16511,20534,25000,36017,42248,50635,65425,5.7,51581.62,36844.38
5204,52,Saint-Nazaire,129761,18120,29006,43165,25045,11428,16215,20051,24117,34270,39864,47137,60119,5.3,47658.74,34689.82
5205,52,Angers,186736,17417,28482,42978,25561,10575,15590,19309,23470,33853,39588,47142,60527,5.7,36299.91,34202.30
5206,52,Cholet,77198,18547,28633,41049,22502,12557,16794,20287,24091,33459,38199,44344,56048,4.5,32751.29,33460.47
5207,52,Saumur,42146,16215,25622,38507,22292,9933,14435,17850,21364,30353,35439,42089,53959,5.4,27284.32,30503.64
5208,52,Segré,21520,16582,25574,38278,21696,10648,14839,18215,21382,30756,35724,41341,51016,4.8,27496.62,30015.68
5209,52,Laval,92151,17338,27621,41059,23721,11107,15622,19050,22801,32925,38132,44743,56390,5.1,36285.60,32812.01
5210,52,Mayenne,22630,16740,26392,39389,22649,10674,15141,18380,21814,31591,36669,42617,53324,5.0,31171.73,31218.98
5211,52,La Ferté-Bernard,15212,17716,27307,40129,22413,11224,15982,19389,22763,32304,37299,43338,53296,4.7,29783.81,31722.31
5212,52,La Flèche,24206,16397,25577,38062,21665,10189,14654,17956,21326,30140,35260,41299,52004,5.1,26726.48,30008.66
