Analyse fonctionnelle des emplois,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Emplois dans les fonctions et emplois des cadres des fonctions métropolitaines dans les communes en 2006,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
"Source : Insee, Recensement de la population 2006 exploitation complémentaire au lieu de travail",,,,,,,,,,,,,,,,,,,,,,,,,
Champ : France (y compris les DOM hors Mayotte),,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,Emploi des cadres des fonctions métropolitaines,,,,,
Commune,,Code,,,Emploi dans la fonction :,,,,,,,,,,,,,,,Fonction,,,,,
Code,Libellé,Région,Département,Emploi total,Administration publique,Agriculture,Bâtiment-Travaux Publics,Commerce inter-entreprises,"Conception, Recherche","Culture, Loisirs",Distribution,"Education, Formation","Entretien, Réparation",Fabrication,Gestion,"Transports, Logistique",Prestations Intellectuelles,"Santé, Action Sociale",Services de Proximité,"Commerce 
inter-entreprises","Conception, Recherche","Culture, Loisirs",Gestion,Prestations Intellectuelles,Total
CODGEO,LIBGEO,REG,DEP,ELT06,ADMPUB06,AGRICU06,BTP06,COMINT06,CONREC06,CULLOI06,DISTRI06,EDUFOR06,ENTREP06,FABRIC06,GESTIO06,LOGIST06,PREINT06,SANSOC06,SERPRO06,COMINT_CAD06,CONREC_CAD06,CULLOI_CAD06,GESTIO_CAD06,PREINT_CAD06,CFM06
01001,L'Abergement-Clémenciat,84,01,116,9,35,0,8,0,4,4,20,4,0,0,8,4,4,16,4,0,0,0,0,4
01002,L'Abergement-de-Varey,84,01,43,3,11,4,5,8,0,0,0,0,4,4,4,0,0,0,0,8,0,0,0,8
01004,Ambérieu-en-Bugey,84,01,"7,191","1,105",16,463,131,94,61,651,578,703,581,646,931,176,574,481,17,33,29,114,50,244
01005,Ambérieux-en-Dombes,84,01,271,4,16,55,8,0,8,20,8,21,19,19,8,4,16,65,0,0,0,0,0,0
01006,Ambléon,84,01,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
01007,Ambronay,84,01,572,41,53,54,12,8,0,33,20,70,62,46,51,8,76,37,4,4,0,8,4,20
01008,Ambutrix,84,01,115,4,0,16,4,0,0,7,0,15,8,13,29,8,0,12,0,0,0,4,0,4
01009,Andert-et-Condon,84,01,24,4,4,0,0,0,0,0,0,4,4,0,0,0,4,4,0,0,0,0,0,0
01010,Anglefort,84,01,163,8,12,8,0,4,4,12,4,15,61,4,4,0,0,28,0,0,0,0,0,0
01011,Apremont,84,01,40,4,8,0,0,0,0,0,0,0,12,4,0,0,4,8,0,0,0,0,0,0
01012,Aranc,84,01,62,0,12,12,4,4,5,0,0,4,4,1,0,4,4,8,4,0,4,0,0,8
01013,Arandas,84,01,20,4,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
