Fichier Localisé Social et Fiscal (FiLoSoFi) - Année 2014,,,,,,,,,,,,,,,,,,,,,,,,,
Distribution des revenus déclarés par unité de consommation et composition du revenu déclaré - Ensemble,,,,,,,,,,,,,,,,,,,,,,,,,
Mise en ligne le 25/04/2019      Géographie au 01/01/2015,,,,,,,,,,,,,,,,,,,,,,,,,
"©Insee       Source(s) : Insee-DGFIP-Cnaf-Cnav-CCMSA, Fichier localisé social et fiscal.",,,,,,,,,,,,,,,,,,,,,,,,,
Code géographique,Libellé géographique,Nombre de ménages fiscaux,Nombre de personnes dans les ménages fiscaux,Nbre d'unités de consommation dans les ménages fiscaux,Part des ménages fiscaux imposés (%),1er quartile (€),Médiane (€),3e quartile (€),Ecart interquartile (€),1er décile (€),2e décile (€),3e décile  (€),4e décile (€) ,6e décile (€),7e décile (€),8e décile (€) ,9e décile (€),Rapport interdécile D9/D1,S80/S20,Indice de Gini,Part des salaires et traitements hors chômage (%),Part des indemnités chômage (%),Part des revenus d'activités non salariées (%),"Part des pensions, retraites et rentes (%)",Part des autres revenus (%)
CODGEO,LIBGEO,NBMEN14,NBPERS14,NBUC14,PMIMP14,Q114,Q214,Q314,Q3_Q1,D114,D214,D314,D414,D614,D714,D814,D914,RD,S80S2014,GI14,PTSA14,PCHO14,PBEN14,PPEN14,PAUT14
0050,Mont-de-Marsan,69717,157014,108720.8,53.6,13692.0,19334.0,26012.0,12320.0,8264.0,12226.0,14946.0,17202.0,21668.0,24380.0,27998.0,34518.0,4.2,5.5,0.3,52.4,2.7,6.5,33.0,5.4
0051,Alençon,51623,115901,79928.5,52.7,12970.0,18744.0,25178.0,12208.0,6892.0,11388.0,14328.0,16590.0,21018.0,23574.0,27134.0,33826.0,4.9,6.4,0.3,52.3,3.1,5.8,33.8,5.0
0052,Cosne - Clamecy,34581,71172,50957.4,54.7,13306.0,19172.0,26003.0,12697.0,7582.0,11814.0,14620.0,16910.0,21576.0,24310.0,28140.0,35300.0,4.7,6.3,0.3,44.2,2.7,8.1,39.8,5.2
0053,Mâcon,61898,143215,97660.4,59.8,14472.0,20512.0,27706.0,13234.0,8908.0,12990.0,15796.0,18192.0,22944.0,25832.0,29954.0,37434.0,4.2,5.5,0.3,56.9,2.8,6.1,29.0,5.2
0054,Nogent-le-Rotrou,20344,45291,31429.7,55.8,13696.0,19222.0,25456.0,11760.0,8096.0,12292.0,14898.0,17082.0,21358.0,23942.0,27326.0,33500.0,4.1,5.6,0.3,49.3,3.2,6.5,35.2,5.8
0055,La Vallée de la Bresle - Vimeu,42260,97036,66641.7,52.0,12682.0,18292.0,24396.0,11714.0,7270.0,11170.0,14028.0,16224.0,20444.0,22848.0,26264.0,32496.0,4.5,6.1,0.3,52.5,3.3,5.5,33.5,5.2
0056,Roissy - Sud Picardie,620667,1726062,1098186.6,60.9,11236.0,19478.0,28672.0,17436.0,5802.0,9510.0,12938.0,16226.0,22782.0,26486.0,31272.0,39390.0,6.8,8.8,0.4,67.8,3.4,3.5,21.6,3.7
0057,Brive-la-Gaillarde,85105,184123,129287.0,54.2,13504.0,19374.0,26514.0,13010.0,8476.0,12132.0,14786.0,17106.0,21808.0,24684.0,28634.0,35698.0,4.2,5.6,0.3,50.8,2.8,6.3,34.6,5.5
0059,Avignon,214222,507870,343613.8,52.3,11344.0,18496.0,26700.0,15356.0,5536.0,9606.0,12940.0,15776.0,21336.0,24684.0,29204.0,37238.0,6.7,8.9,0.4,54.5,3.8,6.3,28.3,7.1
0060,Saint-Étienne,269899,623321,424797.3,52.9,12940.0,19064.0,25992.0,13052.0,7114.0,11294.0,14338.0,16782.0,21464.0,24270.0,28114.0,34980.0,4.9,6.6,0.3,57.0,3.1,5.0,30.2,4.7
0061,Toulouse,604163,1388304,947609.5,60.5,14326.0,21858.0,30836.0,16510.0,7736.0,12478.0,15978.0,18956.0,24978.0,28608.0,33576.0,42214.0,5.5,7.2,0.3,64.3,3.2,5.1,22.0,5.4
0201,Centre agglomération,62878,145470,99135.1,44.8,7966.0,16299.0,27118.0,19152.0,1576.0,5984.0,9670.0,12956.0,19978.0,24406.0,30400.0,40286.0,25.6,22.4,0.5,65.8,3.4,4.9,22.1,3.8
0202,Sud-Caraibe,25119,60930,40899.9,42.2,8214.0,16468.0,27152.0,18938.0,1844.0,6356.0,9940.0,13108.0,20050.0,24508.0,30310.0,39540.0,21.4,20.0,0.4,65.5,3.7,5.6,21.2,4.0
0203,Sud,20510,51020,34088.2,34.5,6224.0,13108.0,22210.0,15986.0,712.0,4648.0,7592.0,10422.0,16196.0,19854.0,24882.0,33464.0,47.0,29.6,0.5,60.3,4.5,5.5,23.0,6.7
0204,Centre-Atlantique,23880,56945,38552.3,33.7,5872.0,12655.0,21850.0,15978.0,610.0,4342.0,7210.0,9846.0,15732.0,19482.0,24617.0,33388.0,54.7,28.9,0.5,62.3,4.4,5.8,24.4,3.1
0205,Nord-Caraibe,9139,22253,14972.5,36.5,6858.0,14044.0,23402.0,16544.0,1898.0,5426.0,8258.0,11084.0,17082.0,20912.0,26348.0,35390.0,18.6,20.7,0.5,60.4,3.6,7.1,25.0,3.9
0206,Nord-Atlantique,7183,16987,11591.4,24.6,5732.0,11060.0,17606.0,11874.0,1130.0,4514.0,6716.0,8786.0,13432.0,16022.0,19542.0,25276.0,22.4,18.9,0.4,56.3,5.5,5.2,30.1,2.9
0401,L'Est,41916,126837,77983.8,25.3,2998.0,9440.0,18116.0,15118.0,0.0,1500.0,4298.0,6858.0,12324.0,15940.0,20826.0,29236.0,,202.5,0.5,65.4,6.2,8.9,14.8,4.7
0402,Le Nord,74556,201293,128916.5,40.8,5556.0,13792.0,26140.0,20584.0,0.0,3844.0,7098.0,10312.0,17858.0,22924.0,30046.0,41536.0,,54.1,0.5,67.2,4.2,7.4,15.3,5.9
0403,L'Ouest,71762,211901,132194.3,36.8,5206.0,12238.0,23458.0,18252.0,106.0,3734.0,6562.0,9244.0,15824.0,20426.0,27126.0,38646.0,364.6,45.5,0.5,66.1,5.3,8.4,14.4,5.8
0404,Le Sud,106830,300400,190160.4,30.1,4044.0,10668.0,20258.0,16214.0,0.0,2706.0,5408.0,7922.0,13848.0,17774.0,23384.0,33226.0,,70.8,0.5,60.9,5.7,8.7,18.5,6.2
1101,Paris,2568643,5880541,4008358.9,69.4,13198.0,24406.0,39526.0,26328.0,6418.0,10974.0,15422.0,19868.0,29444.0,35638.0,44356.0,60720.0,9.5,13.6,0.5,66.1,2.9,5.4,18.0,7.6
