Revenus fiscaux des ménages - Année 2004,,,,,,,,,,,,,,,,,,,,,
"Indicateurs de distribution par Unité de Consommation - Seuil 50 ménages pour médiane, 2000 habitants pour autres indicateurs",,,,,,,,,,,,,,,,,,,,,
Zones d'emploi,,,,,,,,,,,,,,,,,,,,,
"© Insee     Source : Insee-DGI, Revenus fiscaux des ménages",,,,,,,,,,,,,,,,,,,,,
Sommaire,,,,,,,,,,,,,,,,,,,,,
,,,"Nb de ménages
au RP 1999",PSDC99,Nombre d'UC,1er quartile (€),Médiane (€),3ème quartile (€),"Intervalle
inter-quartiles (€)",1er décile (€),2ème décile (€),3ème décile (€),4ème décile (€),6ème décile (€),7ème décile (€),8ème décile (€),9ème décile (€),"Rapport
inter-déciles",Ecart-type (€),Moyenne (€),Indice de Gini
ZE1990,REG,LIBGEO,MEN99,PSDC99,NBUC04,RFUCQ104,RFUCQ204,RFUCQ304,RFUCIQ04,RFUCD104,RFUCD204,RFUCD304,RFUCD404,RFUCD604,RFUCD704,RFUCD804,RFUCD904,RFUCRD04,RFUCET04,RFUCMO04,RFUCGI04
1131,11,Paris,1110912,2125246,1492976.1,10894,21183,35035,24141,4977,8814,12972,17074,25771,31425,39502,54710,11.0,49969.43,29065.52,0.4791
1132,11,Nanterre,682260,1669222,1146910.1,11920,20270,30968,19048,6169,10086,13677,17001,23812,28198,34369,45765,7.4,31068.44,25209.76,0.4105
1133,11,Boulogne-Billancourt,352403,820003,556570.3,13987,22121,32747,18760,7692,12097,15672,18889,25721,30090,36016,46318,6.0,25606.76,26204.61,0.3685
1134,11,Vitry-sur-Seine,115704,287129,189871.6,9313,16154,23662,14349,4855,7908,10727,13482,18860,21885,25761,32349,6.7,13663.55,18005.91,0.3609
1135,11,Créteil,329670,852425,570484.7,12047,19092,27231,15184,6623,10413,13601,16412,21915,25182,29661,37614,5.7,20234.43,21689.27,0.3503
1136,11,Montreuil,379206,964364,651678.1,9936,17347,25712,15776,5059,8362,11492,14445,20289,23666,28165,36056,7.1,19328.61,20010.69,0.3814
1137,11,Saint-Denis,401853,1112453,732022.9,7131,13011,20272,13141,3750,6078,8214,10517,15663,18611,22194,27857,7.4,11759.27,14958.29,0.3810
1138,11,Cergy,103937,302176,191020.5,11732,18313,25578,13846,6586,10179,13156,15812,20883,23826,27708,34346,5.2,14875.12,20254.73,0.3315
1139,11,Poissy,48009,131249,84052.0,12964,20368,29745,16781,7679,11379,14459,17448,23539,27444,32523,41725,5.4,21613.90,23903.44,0.3575
1140,11,Les Mureaux,40089,115070,74820.9,11472,18136,25568,14096,6291,9819,12912,15587,20746,23765,27730,34504,5.5,15101.75,20112.07,0.3361
1141,11,Mantes-la-Jolie,47941,139266,87323.1,9847,16149,22855,13009,5566,8477,11118,13664,18595,21277,24740,30513,5.5,14066.35,17839.85,0.3418
1142,11,Versailles,238323,638265,413708.6,15497,22888,32528,17031,9486,13813,17087,20009,26131,30053,35494,44983,4.7,23353.45,26621.09,0.3376
1143,11,Orsay,45241,125975,79469.7,15984,23616,33165,17182,9740,14220,17578,20607,26961,30863,35893,44632,4.6,17832.88,26480.58,0.3171
1144,11,Orly,167411,446024,292875.5,11849,18664,26073,14224,6495,10246,13339,16110,21280,24297,28234,34755,5.4,14708.00,20415.25,0.3290
1145,11,Dourdan,36942,101378,68484.0,14483,20616,27649,13166,9030,12939,15802,18256,23076,25918,29771,36453,4.0,15478.62,22509.96,0.2971
1146,11,Etampes,17183,45705,30195.9,11361,17391,24006,12645,6365,9854,12657,15146,19648,22323,25904,32004,5.0,13579.17,19075.27,0.3272
1147,11,Evry,97989,271329,181005.3,11608,18526,26073,14465,6155,9954,13132,15933,21184,24212,28262,35346,5.7,16035.43,20552.55,0.3426
1148,11,Melun,85347,237525,155451.2,11591,17752,24662,13071,6714,10048,12929,15408,20206,22991,26658,33064,4.9,14734.27,19693.21,0.3285
1149,11,Fontainebleau,32875,82567,53527.5,13641,19767,27498,13857,8789,12243,14898,17349,22277,25456,29947,38490,4.4,22700.24,22950.87,0.3319
1150,11,Nemours,17737,47044,30503.4,11154,16504,22661,11507,6927,9903,12332,14426,18633,21296,24331,29960,4.3,16504.31,18412.76,0.3194
1151,11,Montereau-Fault-Yonne,15899,42961,27169.9,9175,15029,21069,11894,4862,7759,10467,12785,17239,19692,22826,28199,5.8,11602.06,16354.90,0.3406
1152,11,Provins,16576,43670,28965.3,10605,15650,21563,10958,6403,9431,11692,13706,17716,20078,23257,29146,4.6,18247.03,17704.78,0.3327
1153,11,Coulommiers,22084,59073,40036.5,11564,16745,22897,11333,7389,10395,12726,14781,18861,21303,24648,30518,4.1,18199.55,18833.28,0.3174
1154,11,Lagny-sur-Marne,31251,85755,65425.1,14662,20966,28623,13961,9188,13115,16028,18589,23597,26703,30926,38671,4.2,18304.21,23648.40,0.3139
1155,11,Meaux,56784,156557,102842.7,11333,17396,23896,12563,6304,9880,12704,15122,19709,22351,25821,31902,5.1,15438.95,19222.96,0.3327
1156,11,Roissy-en-France,16743,49580,32417.0,14872,20153,26290,11418,10157,13547,16046,18115,22310,24735,28248,34208,3.4,12880.31,21907.18,0.2678
2101,21,Vallée de la Meuse,100417,256707,163929.0,8739,13545,19254,10515,4741,7598,9776,11654,15566,17905,20893,26192,5.5,12447.60,15265.10,0.3497
2102,21,Reims,132260,321417,199995.4,10448,16095,22960,12512,5895,9086,11696,13952,18445,21232,25093,32380,5.5,16404.13,18773.60,0.3616
2103,21,Châlons-en-Champagne,41573,107983,68507.5,10800,15746,21634,10834,6740,9577,11854,13855,17813,20251,23492,29120,4.3,12769.42,17660.52,0.3196
2104,21,Epernay,37085,92137,59919.6,11622,16927,23870,12248,7193,10427,12771,14837,19181,22048,26276,35369,4.9,18785.86,20542.63,0.3618
2105,21,Marne moyenne,48519,123845,77899.8,9237,13930,19242,10005,5504,8186,10218,12107,15778,17940,20800,25919,4.7,11548.76,15495.55,0.3302
2106,21,Sud-ouest Champenois,29301,73210,48390.6,10287,14903,20213,9926,6234,9125,11308,13127,16664,18885,21880,27420,4.4,13805.88,16840.62,0.3280
2107,21,Troyes,102561,250158,165651.6,10162,15165,20980,10818,5670,8916,11278,13289,17130,19466,22784,29123,5.1,14359.91,17301.57,0.3481
2108,21,Haute vallée de la Marne,48308,116906,76445.2,10112,14539,19792,9680,6549,9100,11062,12789,16368,18531,21411,26821,4.1,12390.37,16316.79,0.3143
2202,22,Amiens,132778,342110,215020.9,9557,14941,21281,11725,5218,8296,10725,12877,17152,19720,23119,29362,5.6,15483.62,17113.74,0.3584
2205,22,Château-Thierry,26210,68570,44878.9,10357,15319,21319,10962,6517,9199,11459,13427,17401,19895,23123,29183,4.5,15321.46,17611.55,0.3355
2206,22,Sud Oise,133957,371611,236926.2,11274,17168,23951,12677,6577,9899,12509,14899,19522,22245,26018,32884,5.0,16814.87,19472.93,0.3412
2207,22,Soissons,38191,100627,64916.2,9583,14485,20394,10811,5689,8440,10599,12561,16523,18941,22157,27859,4.9,13186.04,16572.74,0.3436
2208,22,Beauvais,68419,185405,120693.7,10542,15943,21985,11443,6113,9266,11773,13884,18067,20483,23760,29481,4.8,13578.95,17701.92,0.3300
2209,22,Compiègne,65121,173943,111486.3,10760,16188,22717,11957,6470,9533,11957,14058,18449,21113,24722,31256,4.8,15950.21,18509.89,0.3388
2210,22,Santerre-Oise,12759,35482,23404.2,9662,14503,19737,10075,6152,8582,10689,12618,16441,18502,21322,25975,4.2,11901.70,15946.55,0.3138
2211,22,Abbeville-Ponthieu,24534,62804,40929.2,8840,13755,19458,10618,4807,7642,9896,11843,15726,18064,21276,27275,5.7,13732.89,15845.70,0.3631
2212,22,Vimeu,23828,61360,40504.8,9831,14231,19125,9294,6131,8712,10768,12540,15920,17907,20644,25602,4.2,13098.99,15923.45,0.3201
2219,22,Santerre-Somme,33633,89277,57391.2,9299,13810,19144,9845,5580,8204,10256,12111,15667,17843,20759,26146,4.7,12378.78,15737.28,0.3368
2231,22,Saint-Quentin,52365,134597,85762.1,8474,13786,19639,11165,4331,7282,9645,11803,15791,18194,21374,27064,6.2,13695.78,15714.78,0.3703
2232,22,Chauny-Tergnier-La Fère,25614,65968,42283.7,8814,13561,19108,10294,4969,7674,9783,11693,15457,17743,20633,25662,5.2,15755.31,15189.96,0.3439
2241,22,Thiérache,26691,68822,43501.0,7716,12254,17479,9763,4059,6651,8673,10506,14088,16229,18920,23534,5.8,11058.37,13703.94,0.3537
2242,22,Laonnois,36871,96905,61875.4,9255,14286,20092,10837,5374,8159,10305,12306,16340,18689,21877,27598,5.1,12695.95,16172.33,0.3442
2307,23,Pays-de-Bray,14001,35025,23229.4,9810,14337,19699,9889,6089,8761,10778,12496,16284,18438,21206,26201,4.3,11658.86,15945.16,0.3192
2308,23,Vallée-de-la-Bresle,18646,47672,31263.5,9977,14334,19618,9641,6332,8944,10962,12637,16103,18239,21289,26556,4.2,13751.29,16286.95,0.3240
2311,23,Fécamp,15715,40081,26429.7,9712,14260,19816,10104,6055,8640,10697,12451,16204,18505,21529,26832,4.4,12985.59,16198.02,0.3295
2313,23,Pont-Audemer,16073,40450,27559.5,10145,14591,20488,10343,6438,9074,11099,12876,16639,19032,22196,27982,4.3,14145.70,16928.59,0.3319
2314,23,Bernay,24552,62183,41200.1,10338,15037,20751,10413,6476,9199,11353,13185,17029,19289,22545,28462,4.4,16359.14,17140.75,0.3290
2316,23,Verneuil-sur-Avre,11024,27318,17959.0,10146,14730,20081,9935,6284,9060,11169,12981,16664,18732,21708,27440,4.4,13799.47,16634.16,0.3243
2317,23,Vernon,32697,88767,57837.3,11061,16537,22886,11825,6558,9716,12293,14474,18747,21259,24837,31461,4.8,14354.33,18655.54,0.3313
2318,23,Gisors,10346,27529,18346.9,10843,15600,21153,10310,6965,9741,11844,13750,17608,19854,22964,28311,4.1,13632.46,17487.62,0.3135
2321,23,Rouen,288745,724721,464696.2,10473,15956,22289,11816,5750,9094,11692,13881,18156,20726,24178,30318,5.3,13948.13,17887.21,0.3415
2322,23,Dieppe,38794,98451,64745.4,9756,14479,20071,10315,5824,8651,10798,12659,16375,18672,21808,27617,4.7,13866.71,16467.94,0.3371
2323,23,Le Havre,141181,360488,228904.2,9616,14981,21236,11620,5130,8293,10818,12935,17159,19701,23081,28864,5.6,14138.47,16862.04,0.3496
2324,23,Lillebonne,22382,59573,38896.3,10513,15384,21221,10708,6766,9337,11582,13498,17414,19776,23034,28319,4.2,11889.64,17202.78,0.3122
2325,23,Evreux,64407,167934,110638.2,11225,16534,22693,11468,6570,9897,12401,14537,18663,21157,24553,30608,4.7,13676.09,18455.59,0.3251
2411,24,Bourges,74661,179699,118294.9,10706,15838,21820,11114,6194,9440,11838,13875,17883,20316,23610,29260,4.7,13180.24,17558.44,0.3260
