Fichier Localisé Social et Fiscal (FiLoSoFi) - Année 2016,,,,,,,,,,,,,,,,,,,,,,,,,,
Distribution des revenus déclarés par unité de consommation et composition du revenu déclaré - Ensemble,,,,,,,,,,,,,,,,,,,,,,,,,,
Mise en ligne le 26/07/2019       Géographie au 01/01/2017,,,,,,,,,,,,,,,,,,,,,,,,,,
"©Insee       Source(s) : Insee-DGFIP-Cnaf-Cnav-CCMSA, Fichier localisé social et fiscal.",,,,,,,,,,,,,,,,,,,,,,,,,,
Code géographique,Libellé géographique,Nbre de ménages fiscaux,Nbre de personnes dans les ménages fiscaux,Nbre d'unités de consommation dans les ménages fiscaux,Part des ménages fiscaux imposés (%),1er quartile (€),Médiane (€),3e quartile (€),Écart interquartile (€),1er décile (€),2e décile (€),3e décile  (€),4e décile (€) ,6e décile (€),7e décile (€),8e décile (€) ,9e décile (€),Rapport interdécile D9/D1,S80/S20,Indice de Gini,Part des revenus d’activité (%),dont part des salaires et traitements (%),dont part des indemnités chômage (%),dont part des revenus des activités non salariées (%),"Part des pensions, retraites et rentes (%)",Part des autres revenus (%)
CODGEO,LIBGEO,NBMEN16,NBPERS16,NBUC16,PMIMP16,Q116,Q216,Q316,Q3_Q1,D116,D216,D316,D416,D616,D716,D816,D916,RD,S80S2016,GI16,PACT16,PTSA16,PCHO16,PBEN16,PPEN16,PAUT16
0050,Mont-de-Marsan,70329,156562,108990.3,46.2,13988,19744,26458,12470,8454,12574,15300,17572,22074,24782,28464,34946,4.1,5.457,0.305,60.9,52.0,2.8,6.0,34.0,5.1
0051,Alençon,51644,114332,79356.4,45.2,13262,19220,25644,12382,7068,11540,14646,17052,21476,24020,27590,34268,4.8,6.379,0.320,60.4,52.3,2.8,5.2,34.7,4.9
0052,Cosne - Clamecy,34213,69606,50112.2,46.8,13584,19570,26474,12890,7498,12052,14942,17318,21974,24744,28638,35832,4.8,6.452,0.331,54.6,44.1,2.6,8.0,39.9,5.5
0053,Mâcon,62654,143492,98289.5,52.8,14786,20982,28324,13538,9026,13250,16116,18570,23470,26434,30692,38316,4.2,5.612,0.315,65.6,56.5,2.7,6.3,29.4,5.0
0054,Nogent-le-Rotrou,20346,44478,31125.1,47.5,13918,19512,25796,11878,8396,12422,15176,17440,21736,24238,27648,34116,4.1,5.619,0.313,57.7,49.0,3.0,5.6,36.6,5.7
0055,La Vallée de la Bresle - Vimeu,42139,94935,65742.6,44.3,12942,18658,24766,11824,7248,11379,14310,16550,20794,23241,26656,32979,4.6,6.102,0.317,60.3,52.4,3.3,4.7,34.7,5.0
0056,Roissy - Sud Picardie,626244,1721233,1100477.7,55.1,11478,19776,29090,17612,5852,9710,13180,16514,23096,26854,31726,40014,6.8,8.854,0.372,74.6,68.0,3.4,3.3,21.7,3.7
0057,Brive-la-Gaillarde,85464,182855,129085.6,47.1,13910,19914,27144,13234,8640,12492,15192,17612,22394,25330,29360,36452,4.2,5.616,0.316,59.6,50.6,2.8,6.2,35.1,5.3
0059,Avignon,216921,507126,345002.2,46.2,11764,19096,27426,15662,5740,9984,13416,16332,21958,25350,29908,38132,6.6,8.824,0.372,64.4,54.3,3.8,6.3,28.5,7.1
0060,Saint-Étienne,271618,623408,426128.9,45.5,13170,19430,26514,13344,7016,11464,14580,17122,21878,24754,28644,35636,5.1,6.761,0.333,65.0,57.0,3.1,4.8,30.4,4.6
0061,Toulouse,620025,1411033,967105.3,54.8,14578,22336,31582,17004,7744,12718,16284,19356,25546,29284,34374,43336,5.6,7.414,0.351,72.5,64.4,3.1,5.1,22.1,5.4
0201,Le Centre agglomération,62900,141146,97441.1,38.2,8302,17122,28304,20002,1716,6346,10102,13616,20918,25572,31574,41654,24.3,22.010,0.448,73.6,65.3,3.5,4.8,22.8,3.6
0202,Le Sud-Caraibe,25466,58971,40333.0,36.1,8694,17377,28524,19830,2124,6790,10410,13838,21274,25802,31532,41110,19.4,19.267,0.435,74.2,64.9,3.7,5.7,22.0,3.8
0203,Le Sud,20567,49244,33421.2,28.1,6770,14169,23628,16858,1068,5126,8266,11192,17342,21358,26348,35396,33.1,26.581,0.482,70.0,60.1,4.5,5.4,23.5,6.5
