Revenus fiscaux des ménages - Année 2001,,,,,,,,,,,,,,,,,,,,,
"Indicateurs de distribution par Unité de Consommation - Seuil 50 ménages pour médiane, 2000 habitants pour autres indicateurs",,,,,,,,,,,,,,,,,,,,,
Zones d'emploi,,,,,,,,,,,,,,,,,,,,,
"© Insee     Source : Insee-DGI, Revenus fiscaux des ménages",,,,,,,,,,,,,,,,,,,,,
Sommaire,,,,,,,,,,,,,,,,,,,,,
,,,"Nb de ménages
au RP 1999",PSDC99,Nombre d'UC,1er quartile (€),Médiane (€),3ème quartile (€),"Intervalle
inter-quartiles (€)",1er décile (€),2ème décile (€),3ème décile (€),4ème décile (€),6ème décile (€),7ème décile (€),8ème décile (€),9ème décile (€),"Rapport
inter-déciles",Ecart-type (€),Moyenne (€),Indice de Gini
ZE1990,REG,LIBGEO,MEN99,PSDC99,NBUC01,RFUCQ101,RFUCQ201,RFUCQ301,RFUCIQ01,RFUCD101,RFUCD201,RFUCD301,RFUCD401,RFUCD601,RFUCD701,RFUCD801,RFUCD901,RFUCRD01,RFUCET01,RFUCMO01,RFUCGI01
1131,11,Paris,1110912,2125246,1476051.5,10615,20147,32989,22374,4864,8639,12583,16358,24396,29665,37145,50961,10.5,47852.31,27356.37,0.4714
1132,11,Nanterre,682260,1669222,1115606.4,11398,19198,29070,17672,5901,9659,13056,16161,22494,26536,32300,42760,7.2,30060.30,23705.36,0.4055
1133,11,Boulogne-Billancourt,352403,820003,543711.0,13317,20793,30623,17306,7463,11578,14883,17823,24101,28124,33667,43224,5.8,23742.63,24469.46,0.3607
1134,11,Vitry-sur-Seine,115704,287129,182997.5,9302,15702,22630,13328,4910,7900,10653,13238,18199,20979,24608,30746,6.3,15483.25,17390.24,0.3516
1135,11,Créteil,329670,852425,555508.2,11576,18126,25671,14095,6500,10068,13006,15628,20746,23802,27941,35370,5.4,18152.62,20473.58,0.3427
1136,11,Montreuil,379206,964364,633857.8,9643,16610,24354,14711,4899,8126,11118,13904,19344,22454,26650,34051,7.0,16537.44,18935.45,0.3725
1137,11,Saint-Denis,401853,1112453,703993.0,7086,12852,19694,12608,3751,6027,8170,10453,15394,18154,21499,26780,7.1,11172.34,14571.45,0.3727
1138,11,Cergy,103937,302176,185994.5,11174,17314,24215,13041,6324,9692,12500,14976,19734,22540,26233,32482,5.1,14388.05,19125.75,0.3281
1139,11,Poissy,48009,131249,82730.5,12037,18917,27462,15425,7087,10469,13498,16221,21840,25355,30099,38825,5.5,19242.82,22158.83,0.3567
1140,11,Les Mureaux,40089,115070,73185.8,10816,17105,23959,13143,5956,9338,12180,14713,19581,22325,26042,32350,5.4,13441.81,18918.59,0.3331
1141,11,Mantes-la-Jolie,47941,139266,85567.8,9125,14983,21402,12277,5140,7895,10308,12673,17360,19917,23169,28668,5.6,13657.43,16662.37,0.3430
1142,11,Versailles,238323,638265,407327.3,14570,21397,30326,15756,9008,12981,16029,18710,24390,28058,33154,41951,4.7,21085.09,24789.18,0.3331
1143,11,Orsay,45241,125975,77850.8,15148,22312,31212,16064,9356,13493,16665,19494,25376,28979,33884,41958,4.5,17378.23,24993.80,0.3141
1144,11,Orly,167411,446024,284428.9,11558,17848,24812,13254,6463,10009,12947,15480,20283,23114,26820,33080,5.1,14844.13,19502.09,0.3224
1145,11,Dourdan,36942,101378,66429.2,13760,19448,26156,12396,8798,12353,15014,17255,21717,24469,28153,34581,3.9,13519.83,21328.50,0.2935
1146,11,Etampes,17183,45705,29551.2,10729,16454,22591,11862,6041,9450,11925,14250,18569,21137,24394,30117,5.0,12480.08,18021.33,0.3242
1147,11,Evry,97989,271329,175349.5,11254,17774,24820,13566,6129,9734,12706,15333,20252,23093,26919,33636,5.5,14845.68,19633.29,0.3356
1148,11,Melun,85347,237525,150066.0,10969,16712,23157,12188,6564,9660,12196,14523,18989,21590,25039,31047,4.7,14049.74,18537.64,0.3232
1149,11,Fontainebleau,32875,82567,52777.8,12529,18319,25585,13056,8134,11203,13765,16088,20703,23684,27946,35640,4.4,21942.43,21215.95,0.3296
1150,11,Nemours,17737,47044,29809.0,10442,15533,21203,10761,6424,9289,11527,13535,17496,19836,22901,28512,4.4,13900.64,17259.23,0.3202
1151,11,Montereau-Fault-Yonne,15899,42961,26823.1,8625,13987,19576,10951,4823,7490,9792,11876,15937,18243,21081,26221,5.4,15473.29,15336.91,0.3404
1152,11,Provins,16576,43670,28235.7,9857,14567,20007,10150,6138,8904,10824,12740,16457,18646,21641,27137,4.4,13364.54,16414.49,0.3270
1153,11,Coulommiers,22084,59073,38416.4,10535,15392,21357,10822,6718,9474,11522,13473,17449,19871,23061,28920,4.3,13461.29,17437.60,0.3213
1154,11,Lagny-sur-Marne,31251,85755,58387.3,13753,19744,26832,13079,8793,12261,15060,17445,22171,25145,29007,36325,4.1,16621.07,22198.18,0.3108
1155,11,Meaux,56784,156557,99957.2,10534,16212,22356,11822,5985,9206,11786,14027,18386,20884,24189,30069,5.0,16626.88,17963.76,0.3324
1156,11,Roissy-en-France,16743,49580,31427.4,13721,18902,24692,10971,9347,12441,14891,16984,20956,23286,26307,32155,3.4,11934.61,20477.48,0.2711
2101,21,Vallée de la Meuse,100417,256707,163995.0,8063,12451,17828,9765,4646,7091,8971,10693,14372,16569,19381,24260,5.2,11122.55,14121.92,0.3454
