Revenus fiscaux localisés des ménages - Année 2007,,,,,,,,,,,,,,,,,,,
"Indicateurs de distribution par Unité de Consommation - Seuil 50 ménages pour médiane, 2 000 habitants pour autres indicateurs",,,,,,,,,,,,,,,,,,,
Zones d'emploi,,,,,,,,,,,,,,,,,,,
© Insee     Source : Insee-DGFip Revenus fiscaux localisés des ménages ,,,,,,,,,,,,,,,,,,,
Sommaire,,,,,,,,,,,,,,,,,,,
,,,Nombre d'UC,1er quartile (€),Médiane (€),3ème quartile (€),Intervalle inter-quartiles (€),1er décile (€),2ème décile (€),3ème décile (€),4ème décile (€),6ème décile (€),7ème décile (€),8ème décile (€),9ème décile (€),Rapport inter-déciles,Ecart-type (€),Moyenne (€),Indice de Gini
ZE1990,REG,LIBGEO,NBUC07,RFUCQ107,RFUCQ207,RFUCQ307,RFUCIQ07,RFUCD107,RFUCD207,RFUCD307,RFUCD407,RFUCD607,RFUCD707,RFUCD807,RFUCD907,RFUCRD07,RFUCET07,RFUCMO07,RFUCGI07
1131,11,Paris,1527003.7,12023,23408,39228,27205,5539,9806,14304,18823,28599,35093,44456,63156,11.4,68783.54,34018.21,0.5037
1132,11,Nanterre,1182444.6,13146,22160,34239,21093,6980,11215,14998,18579,26109,31084,38141,51514,7.4,43170.52,28562.56,0.4257
1133,11,Boulogne-Billancourt,579274.2,15128,24133,36108,20980,8408,13126,16971,20525,28188,33091,39819,51897,6.2,30262.70,29193.80,0.3803
1134,11,Vitry-sur-Seine,200377.5,9951,17276,25541,15590,5207,8489,11472,14418,20269,23584,27851,35107,6.7,15132.21,19436.69,0.3653
1135,11,Créteil,591696.6,13004,20633,29562,16558,7254,11235,14669,17720,23713,27329,32253,41113,5.7,20848.13,23728.36,0.3571
1136,11,Montreuil,678519.3,10788,18772,28049,17261,5470,9113,12455,15644,22015,25790,30771,39664,7.3,21811.97,21969.60,0.3883
1137,11,Saint-Denis,756427.3,7991,14178,21925,13934,4116,6842,9151,11583,16974,20126,23992,30187,7.3,13523.00,16334.37,0.3793
1138,11,Cergy,200080.8,13031,20070,27889,14858,7471,11353,14571,17370,22838,25962,30198,37460,5.0,17902.05,22330.21,0.3315
1139,11,Poissy,87736.0,14342,22406,32769,18427,8454,12564,15993,19218,25952,30221,35961,46307,5.5,41974.08,26896.54,0.3689
1140,11,Les Mureaux,77231.1,12750,19787,27876,15126,7164,11040,14283,17119,22626,25882,30215,37892,5.3,16242.29,22191.85,0.3363
1141,11,Mantes-la-Jolie,91400.9,11127,17878,25198,14071,6274,9660,12538,15261,20503,23464,27244,33643,5.4,15966.09,19832.02,0.3400
1142,11,Versailles,426699.3,16859,24981,35573,18714,10338,15042,18554,21746,28579,32893,38897,49790,4.8,30843.45,29533.14,0.3478
1143,11,Orsay,81220.6,17533,25698,35953,18420,10725,15594,19243,22429,29277,33426,39030,48817,4.6,21602.87,29137.08,0.3222
1144,11,Orly,304492.3,12683,20104,28277,15594,7014,11001,14326,17308,22993,26297,30583,37814,5.4,20430.24,22206.54,0.3355
1145,11,Dourdan,71133.7,15946,22596,30255,14309,9977,14345,17339,19985,25266,28417,32533,39997,4.0,18071.20,24803.75,0.2990
1146,11,Étampes,31546.7,12461,18843,26162,13701,6951,10839,13840,16474,21500,24491,28329,35271,5.1,15722.31,21060.56,0.3333
1147,11,Évry,190322.0,12662,20056,28101,15439,6969,10896,14322,17279,22917,26170,30486,38158,5.5,17487.83,22337.75,0.3414
1148,11,Melun,163173.6,12618,19343,26751,14133,7400,11046,14087,16771,21944,24933,28907,36084,4.9,18578.56,21616.89,0.3334
1149,11,Fontainebleau,56034.9,14870,21553,30027,15157,9503,13351,16300,18905,24290,27808,32838,42353,4.5,36696.39,25390.32,0.3419
1150,11,Nemours,31737.1,12229,17986,24656,12427,7562,10891,13531,15778,20292,22959,26589,32918,4.4,17209.12,20160.21,0.3225
1151,11,Montereau-Fault-Yonne,28455.4,10385,16390,22999,12614,5514,9039,11654,14155,18900,21385,24897,30934,5.6,12814.11,18052.10,0.3380
1152,11,Provins,30363.0,11719,17318,23715,11996,7159,10431,12968,15148,19541,22117,25721,32123,4.5,14524.90,19411.51,0.3275
1153,11,Coulommiers,42044.9,13187,18679,25312,12125,8341,11798,14436,16621,20883,23623,27436,34110,4.1,15561.41,21066.88,0.3146
1154,11,Lagny-sur-Marne,75100.2,15701,22846,31272,15571,9797,14082,17297,20123,25747,29209,33860,42244,4.3,23576.30,25924.65,0.3221
1155,11,Meaux,108727.4,12561,19135,26066,13505,7081,10904,14058,16690,21574,24410,28215,34934,4.9,18187.48,21162.26,0.3323
