Fichier Localisé Social et Fiscal (FiLoSoFi) - Année 2012,,,,,,,,,,,,,,,,,,,,,,,,,
Distribution des revenus déclarés par unité de consommation et composition du revenu déclaré - Ensemble,,,,,,,,,,,,,,,,,,,,,,,,,
Zones d'emplois 2010,,Découpage géographique au 01/01/2013,,,,,Sommaire,,Documentation,,,,,,,,,,,,,,,,
©Insee,"Sources : Insee-DGFIP-Cnaf-Cnav-CCMSA, Fichier localisé social et fiscal.",,,,,,Date de première mise ligne le 02/06/2015,,,,,,,,,,,,,,,,,,
Code géographique,Libellé géographique,nombre de ménages fiscaux,nombre de personnes dans les ménages fiscaux,nbre d'unités de consommation dans les ménages fiscaux,Part des ménages fiscaux imposés,1er quartile,médiane,3e quartile,Ecart interquartile,1er décile,2e décile,3e décile ,4e décile ,6e décile,7e décile,8e décile ,9e décille,rapport interdécile D9/D1,S80/S20,indice de Gini,Part des salaires et traitements hors chômage,Part des indemnités chômage,Part des revenus d'activités non salariées,"Part des pensions, retraites et rentes",Part des autres revenus
CODGEO,LIBGEO,NBMEN12,NBPERS12,NBUC12,PMIMP12,Q112,Q212,Q312,Q3_Q1,D112,D212,D312,D412,D612,D712,D812,D912,RD,S80S2012,GI12,PTSA12,PCHO12,PBEN12,PPEN12,PAUT12
0050,Mont-de-Marsan,68633.0,156030.0,107630.4,60.2,13208.0,18804.0,25310.0,12102.0,8212.0,11788.0,14438.0,16674.0,21072.0,23674.0,27340.0,33996.0,4.1,5.6,0.3,52.8,2.7,7.5,31.0,6.0
0051,Alençon,51506.0,116252.5,79984.1,58.5,12610.0,18100.0,24424.0,11814.0,7136.0,11180.0,13822.0,16036.0,20264.0,22866.0,26450.0,32984.0,4.6,6.2,0.3,53.0,3.1,6.6,31.6,5.7
0052,Cosne - Clamecy,34761.0,72261.0,51547.3,59.9,12848.0,18434.0,25140.0,12292.0,7636.0,11478.0,14106.0,16304.0,20716.0,23406.0,27184.0,33994.0,4.5,6.2,0.3,44.2,2.7,9.0,38.0,6.1
0053,Mâcon,61015.0,141825.0,96526.7,65.5,13916.0,19680.0,26750.0,12834.0,8900.0,12524.0,15172.0,17460.0,22140.0,25006.0,28926.0,36344.0,4.1,5.5,0.3,57.4,2.7,6.3,27.4,6.2
0054,Nogent-le-Rotrou,20543.0,46146.0,31878.9,61.3,13194.0,18560.0,24706.0,11512.0,8130.0,11822.0,14350.0,16512.0,20702.0,23212.0,26674.0,33130.0,4.1,5.6,0.3,49.8,3.2,8.0,32.7,6.3
0055,Vallée de la Bresle - Vimeu,42267.0,98160.5,67114.5,59.9,12260.0,17574.0,23616.0,11356.0,7374.0,10876.0,13470.0,15614.0,19674.0,22084.0,25432.0,31720.0,4.3,6.0,0.3,53.2,3.5,6.3,31.2,5.8
0056,Roissy - Sud Picardie,608896.0,1692975.0,1077778.8,67.7,11216.0,19136.0,28100.0,16884.0,5872.0,9538.0,12830.0,16014.0,22360.0,25970.0,30662.0,38606.0,6.6,8.6,0.4,68.0,3.3,3.7,20.6,4.4
0057,Brive-la-Gaillarde,84567.0,184167.0,129003.9,59.8,12968.0,18660.0,25560.0,12592.0,8172.0,11604.0,14172.0,16456.0,21012.0,23820.0,27736.0,34684.0,4.2,5.7,0.3,51.0,2.8,6.4,33.2,6.6
0059,Avignon,210706.0,501153.5,338759.9,58.6,11146.0,17988.0,25958.0,14812.0,5654.0,9544.0,12644.0,15372.0,20760.0,23986.0,28354.0,36226.0,6.4,8.7,0.4,54.5,3.8,6.6,26.7,8.4
0060,Saint-Étienne,267735.0,620521.0,422411.7,59.5,12550.0,18418.0,25222.0,12672.0,7226.0,11044.0,13854.0,16208.0,20762.0,23522.0,27296.0,34132.0,4.7,6.5,0.3,57.2,3.1,5.2,28.6,5.9
0061,Toulouse,584870.0,1346196.5,918639.2,66.2,14008.0,21272.0,30068.0,16060.0,7896.0,12270.0,15588.0,18452.0,24292.0,27878.0,32714.0,41246.0,5.2,7.1,0.3,63.9,3.0,5.6,21.1,6.4
1101,Paris,2549677.0,5819835.5,3973238.3,74.0,13094.0,23940.0,38618.0,25524.0,6460.0,10934.0,15258.0,19558.0,28806.0,34832.0,43318.0,59450.0,9.2,13.5,0.5,65.7,2.8,5.5,17.3,8.7
1102,Marne-la-Vallée,124841.0,333235.0,215053.8,75.3,14398.0,22754.0,32082.0,17684.0,8048.0,12496.0,16206.0,19570.0,26132.0,29850.0,34716.0,43190.0,5.4,6.8,0.3,74.2,2.9,3.5,15.4,4.0
1103,Coulommiers,25705.0,65854.0,43214.5,68.4,14464.0,20694.0,27620.0,13156.0,8914.0,12910.0,15834.0,18302.0,23098.0,25958.0,29712.0,36776.0,4.1,5.5,0.3,62.5,2.9,6.3,22.8,5.5
1104,Meaux,56333.0,149249.0,96521.9,69.3,13246.0,20498.0,28118.0,14872.0,7308.0,11502.0,14850.0,17826.0,23226.0,26280.0,30306.0,37316.0,5.1,6.7,0.3,68.3,3.1,4.2,19.7,4.7
1105,Melun,148795.0,385793.5,252024.7,72.8,14660.0,22219.0,30678.0,16018.0,8400.0,12874.0,16314.0,19308.0,25176.0,28614.0,33288.0,41713.0,5.0,6.6,0.3,66.5,2.7,4.2,21.2,5.4
1106,Montereau-Fault-Yonne,16380.0,42546.5,27726.5,62.2,11028.0,17936.0,25388.0,14360.0,5746.0,9458.0,12490.0,15326.0,20556.0,23620.0,27484.0,33674.0,5.9,7.6,0.3,62.4,3.2,3.6,26.5,4.3
1107,Nemours,19668.0,49121.5,32575.8,68.1,13600.0,20100.0,27424.0,13824.0,7794.0,12006.0,15056.0,17568.0,22750.0,25760.0,29554.0,36476.0,4.7,6.2,0.3,60.0,3.3,5.5,25.6,5.6
1108,Provins,17129.0,42647.5,28289.5,64.4,12996.0,19276.0,26354.0,13358.0,7666.0,11426.0,14370.0,16906.0,21766.0,24580.0,28532.0,35772.0,4.7,6.5,0.3,58.6,2.9,7.2,25.1,6.2
1109,Houdan,14218.0,37303.5,24464.8,82.9,21076.0,29438.0,40808.0,19732.0,14470.0,19138.0,22690.0,25998.0,33116.0,37872.0,44438.0,56960.0,3.9,5.7,0.3,61.7,2.1,5.1,20.0,11.1
1110,Mantes-la-Jolie,62978.0,172584.0,110518.4,69.7,12636.0,20308.0,28448.0,15812.0,6982.0,10872.0,14328.0,17372.0,23204.0,26460.0,30694.0,37816.0,5.4,7.0,0.3,66.9,3.4,3.5,21.9,4.3
1111,Poissy,93848.0,251673.0,162274.2,75.3,14316.0,23010.0,33592.0,19276.0,8054.0,12376.0,16184.0,19596.0,26596.0,30980.0,36752.0,46598.0,5.8,7.5,0.4,69.8,2.9,3.1,19.8,4.4
1112,Rambouillet,28661.0,72695.5,48088.8,81.3,19308.0,27148.0,37298.0,17990.0,12978.0,17520.0,21010.0,24050.0,30552.0,34782.0,40453.0,50436.0,3.9,5.2,0.3,65.0,2.1,4.2,22.2,6.5
1113,Plaisir,20363.0,54809.0,35363.9,81.1,17756.0,26152.0,35698.0,17942.0,10472.0,15628.0,19630.0,22988.0,29512.0,33370.0,38428.0,47748.0,4.6,5.7,0.3,71.4,2.4,3.1,18.7,4.4
1114,Étampes,24043.0,61378.5,40279.6,71.4,14462.0,21452.0,29424.0,14962.0,8268.0,12680.0,16066.0,18788.0,24256.0,27436.0,31808.0,39044.0,4.7,6.1,0.3,65.2,2.6,4.5,22.5,5.2
1115,Évry,124238.0,338959.0,216532.4,70.7,12288.0,20774.0,29676.0,17388.0,6446.0,10412.0,14088.0,17556.0,23988.0,27562.0,32248.0,40086.0,6.2,7.9,0.4,70.2,3.0,2.9,20.0,3.9
1116,Saclay,453840.0,1162939.0,763403.9,80.0,17436.0,26482.0,37766.0,20330.0,10186.0,15352.0,19372.0,22930.0,30328.0,34924.0,41252.0,52716.0,5.2,6.8,0.4,68.4,2.3,3.3,20.5,5.5
1117,Créteil,209689.0,556649.5,360850.2,75.4,14666.0,22916.0,32026.0,17360.0,8176.0,12720.0,16466.0,19828.0,26078.0,29816.0,34730.0,43106.0,5.3,6.7,0.3,68.4,2.6,3.6,20.8,4.6
1118,Orly,193068.0,493523.5,323055.2,68.2,11066.0,18934.0,28032.0,16966.0,5804.0,9438.0,12660.0,15798.0,22200.0,25882.0,30590.0,38324.0,6.6,8.4,0.4,70.6,3.2,2.6,20.0,3.6
1119,Cergy,145106.0,392855.0,252569.6,74.7,14344.0,22534.0,31384.0,17040.0,7978.0,12474.0,16124.0,19446.0,25650.0,29248.0,33912.0,41870.0,5.2,6.6,0.3,71.9,3.0,3.1,18.2,3.8
2101,Charleville-Mézières,96778.0,224635.5,153076.7,55.8,10818.0,17012.0,23890.0,13072.0,5364.0,9320.0,12210.0,14666.0,19424.0,22242.0,25874.0,32204.0,6.0,8.2,0.4,57.4,3.5,5.5,28.4,5.2
2102,Troyes,133132.0,302863.0,207551.0,61.9,12400.0,18558.0,25686.0,13286.0,6646.0,10810.0,13826.0,16326.0,20928.0,23856.0,27982.0,36208.0,5.4,7.6,0.4,53.3,3.2,9.6,27.2,6.7
2103,Châlons-en-Champagne,43996.0,102017.0,69344.6,65.1,13338.0,19598.0,26808.0,13470.0,7954.0,11776.0,14730.0,17226.0,22036.0,25000.0,29110.0,36996.0,4.7,6.3,0.3,57.1,2.5,8.9,25.6,5.9
2104,Épernay,47362.0,108503.0,74387.8,68.0,14190.0,20594.0,29170.0,14980.0,8706.0,12682.0,15606.0,18118.0,23380.0,26888.0,32130.0,44020.0,5.1,7.1,0.4,47.6,2.3,17.2,23.2,9.7
2105,Reims,144644.0,330517.5,225909.1,64.4,12808.0,19722.0,28006.0,15198.0,6844.0,11120.0,14324.0,17092.0,22564.0,25920.0,30698.0,40112.0,5.9,8.3,0.4,58.0,2.9,9.0,23.5,6.6
2106,Chaumont - Langres,49410.0,109245.0,76052.7,60.3,13090.0,18488.0,24934.0,11844.0,8174.0,11734.0,14230.0,16370.0,20706.0,23340.0,26850.0,33226.0,4.1,5.5,0.3,53.6,2.7,7.2,30.9,5.6
2107,Vitry-le-François - Saint-Dizier,49495.0,113647.5,77850.3,57.5,11500.0,17218.0,23626.0,12126.0,6512.0,10088.0,12802.0,15068.0,19414.0,22040.0,25512.0,31870.0,4.9,6.7,0.3,53.4,3.8,7.0,30.5,5.3
