Fichier Localisé Social et Fiscal (FiLoSoFi) - Année 2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Distribution des niveaux de vie et composition du revenu disponible - Ensemble,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zones d'emplois 2010,,Découpage géographique au 01/01/2013,,,,,Sommaire,,Documentation,,,,,,,,,,,,,,,,,,,
©Insee,"Sources : Insee-DGFIP-Cnaf-Cnav-CCMSA, Fichier localisé social et fiscal.",,,,,,Date de première mise ligne le 02/06/2015,,,,,,,,,,,,,,,,,,,,,
Code géographique,Libellé géographique,nombre de ménages fiscaux,nombre de personnes dans les ménages fiscaux,nbre d'unités de consommation dans les ménages fiscaux,1er quartile,médiane,3e quartile,Ecart interquartile,1er décile,2e décile,3e décile,4e décile,6e décile,7e décile,8e décile,9e décile,rapport inter-décile 9e décile/1er decile,S80/20,indice de gini,"Part des salaires, traitements ou chômage",Part des revenus d'activités non salariées,"Part des pensions, retraites et rentes",Part des revenus du patrimoine,Part de l'ensemble des prestations sociales ,dont part des prestations familiales,dont part des minimas sociaux,dont part des prestations logement,Part des impôts
CODGEO,LIBGEO,NBMEN12,NBPERS12,NBUC12,Q112,Q212,Q312,Q3_Q1,D112,D212,D312,D412,D612,D712,D812,D912,RD,S80S2012,GI12,PTSAC12,PBEN12,PPEN12,PPAT12,PPSOC12,PPFAM12,PPMINI12,PPLOGT12,PIMPOT12
0050,Mont-de-Marsan,68633.0,156030.0,107630.4,14642.8,19162.0,24749.1,10106.3,11017.3,13637.0,15590.0,17377.3,21063.0,23379.0,26553.3,32688.0,3.0,3.7,0.3,57.9,7.9,31.5,12.6,4.7,2.0,1.5,1.3,-14.6
0051,Alençon,51506.0,116252.5,79984.1,14164.3,18501.1,23901.6,9737.3,10446.3,13141.3,15104.0,16822.4,20294.0,22547.1,25658.0,31505.0,3.0,3.7,0.3,58.5,6.9,32.1,10.8,5.6,2.5,1.5,1.5,-13.9
0052,Cosne - Clamecy,34761.0,72261.0,51547.3,14280.0,18684.7,24492.4,10212.4,10517.0,13229.0,15195.0,16930.0,20632.7,23004.0,26328.7,32602.7,3.1,3.9,0.3,49.2,9.5,38.9,12.5,4.7,1.8,1.7,1.2,-14.8
0053,Mâcon,61015.0,141825.0,96526.7,15264.0,19826.0,25954.0,10690.0,11680.0,14216.9,16191.0,17987.3,21863.3,24393.3,27878.9,34551.0,3.0,3.7,0.3,63.9,6.8,28.4,12.0,4.6,2.4,1.0,1.1,-15.7
0054,Nogent-le-Rotrou,20543.0,46146.0,31878.9,14595.0,18881.1,24217.9,9622.9,10955.4,13562.0,15532.8,17246.7,20723.0,22861.4,25927.0,31963.6,2.9,3.7,0.3,55.7,8.5,33.5,12.3,4.6,2.2,1.2,1.2,-14.6
0055,Vallée de la Bresle - Vimeu,42267.0,98160.5,67114.5,13869.3,17942.5,22981.0,9111.6,10458.0,12893.9,14749.6,16360.0,19641.9,21677.3,24592.8,30140.7,2.9,3.6,0.3,59.3,6.6,31.8,10.8,5.5,2.3,1.7,1.4,-14.0
0056,Roissy - Sud Picardie,608896.0,1692975.0,1077778.8,13470.8,19299.0,26716.4,13245.5,9423.1,12239.5,14648.7,16942.4,21881.0,24894.7,28883.6,35714.4,3.8,4.6,0.3,76.4,4.0,21.6,8.9,6.1,3.1,1.5,1.5,-17.0
0057,Brive-la-Gaillarde,84567.0,184167.0,129003.9,14311.3,18873.8,24835.3,10524.0,10729.6,13300.0,15285.0,17051.3,20842.8,23302.0,26736.5,33135.0,3.1,3.8,0.3,57.0,6.8,34.2,12.5,4.3,1.9,1.2,1.2,-14.8
0059,Avignon,210706.0,501153.5,338759.9,13097.0,18199.0,24841.5,11744.5,9272.4,11996.5,14164.1,16174.0,20478.0,23167.2,26946.7,33821.0,3.6,4.6,0.3,62.0,7.1,27.6,13.3,6.0,2.4,1.7,1.8,-16.0
0060,Saint-Étienne,267735.0,620521.0,422411.7,14364.3,18921.0,24762.5,10398.2,10723.6,13343.0,15318.0,17123.0,20897.9,23282.0,26606.0,32818.0,3.1,3.8,0.3,62.5,5.5,28.9,12.1,5.9,2.7,1.6,1.7,-14.9
0061,Toulouse,584870.0,1346196.5,918639.2,15439.3,21259.5,29041.9,13602.6,11103.1,14171.0,16611.0,18912.0,23891.0,27081.5,31388.4,38886.1,3.5,4.4,0.3,71.4,6.0,22.0,13.1,4.7,2.0,1.3,1.4,-17.2
1101,Paris,2549677.0,5819835.5,3973238.3,14716.4,23144.8,35896.0,21179.6,9630.0,13141.3,16290.0,19513.3,27364.7,32592.9,39851.0,53252.0,5.5,7.5,0.4,77.9,6.3,19.3,17.0,3.5,1.5,1.0,1.0,-24.0
1102,Marne-la-Vallée,124841.0,333235.0,215053.8,15737.0,22223.5,30090.7,14353.7,11014.7,14334.4,17041.5,19604.0,25026.2,28223.3,32409.6,39363.5,3.6,4.3,0.3,84.9,3.9,16.6,8.7,4.4,2.4,1.0,1.1,-18.5
1103,Coulommiers,25705.0,65854.0,43214.5,15644.0,20637.2,26489.2,10845.2,11622.4,14488.5,16763.3,18682.4,22648.0,25013.5,28291.2,34181.0,2.9,3.6,0.3,70.9,6.8,24.1,9.5,4.7,2.7,1.1,1.0,-16.0
1104,Meaux,56333.0,149249.0,96521.9,14953.3,20402.0,26750.0,11796.7,10667.1,13713.1,16118.3,18301.0,22628.8,25201.4,28596.0,34444.3,3.2,4.0,0.3,77.1,4.6,20.8,8.2,5.5,2.9,1.3,1.3,-16.2
1105,Melun,148795.0,385793.5,252024.7,15915.2,21782.8,29045.3,13130.1,11539.7,14633.0,17121.0,19446.1,24302.7,27260.3,31243.3,38306.7,3.3,4.1,0.3,75.9,4.7,22.8,10.1,4.5,2.4,1.0,1.1,-18.0
1106,Montereau-Fault-Yonne,16380.0,42546.5,27726.5,13366.7,18304.4,24476.7,11110.0,9756.7,12313.9,14425.4,16373.7,20451.9,22915.0,26149.3,31385.2,3.2,3.8,0.3,68.6,3.9,27.0,7.7,7.2,3.4,2.0,1.9,-14.4
1107,Nemours,19668.0,49121.5,32575.8,15032.5,20038.7,26240.0,11207.5,10855.0,13845.7,16044.8,18046.7,22194.7,24773.0,28084.4,33970.7,3.1,3.8,0.3,68.1,6.0,26.9,9.8,5.1,2.6,1.3,1.1,-15.9
1108,Provins,17129.0,42647.5,28289.5,14700.0,19493.0,25402.0,10702.0,10784.3,13528.0,15727.9,17592.0,21430.5,23938.1,27182.0,33370.7,3.1,3.9,0.3,65.9,7.8,26.2,10.5,5.5,2.8,1.4,1.3,-15.9
1109,Houdan,14218.0,37303.5,24464.8,20861.4,28156.9,37762.3,16900.9,15562.0,19330.8,22360.0,25209.3,31321.1,35290.0,40563.3,50553.6,3.2,4.4,0.3,74.4,6.0,22.8,17.8,2.0,1.4,0.3,0.3,-23.0
1110,Mantes-la-Jolie,62978.0,172584.0,110518.4,14572.0,20294.8,27096.7,12524.7,10294.8,13302.1,15742.7,18036.5,22691.1,25424.7,28995.2,35066.7,3.4,4.1,0.3,75.6,3.8,23.1,8.4,5.6,3.1,1.2,1.4,-16.5
1111,Poissy,93848.0,251673.0,162274.2,15716.2,22490.7,31525.5,15809.3,11103.2,14324.3,17002.0,19662.9,25500.6,29230.7,34314.5,42313.6,3.8,4.7,0.3,80.4,3.5,21.5,9.8,4.2,2.4,0.8,1.0,-19.4
1112,Rambouillet,28661.0,72695.5,48088.8,19354.3,25996.7,34589.5,15235.2,14447.3,17888.1,20712.0,23375.7,28930.0,32442.9,37118.4,45092.0,3.1,3.9,0.3,76.9,4.8,24.9,11.7,2.6,1.7,0.4,0.5,-20.9
1113,Plaisir,20363.0,54809.0,35363.9,18209.0,25301.7,33552.2,15343.2,12928.7,16628.1,19770.7,22497.8,28198.6,31437.7,35834.8,43362.4,3.4,4.0,0.3,82.4,3.5,20.5,9.8,3.3,2.1,0.5,0.7,-19.5
1114,Étampes,24043.0,61378.5,40279.6,15687.0,21184.0,27733.1,12046.2,11170.0,14385.0,16834.8,18981.2,23487.8,26110.0,29742.0,36031.3,3.2,3.9,0.3,74.2,4.9,24.1,9.4,4.6,2.6,1.0,1.0,-17.2
1115,Évry,124238.0,338959.0,216532.4,14272.0,20586.0,28105.6,13833.6,9780.0,12910.0,15556.3,18074.3,23230.0,26286.5,30258.9,36940.0,3.8,4.6,0.3,79.2,3.1,21.2,8.7,5.4,2.9,1.2,1.4,-17.6
1116,Saclay,453840.0,1162939.0,763403.9,17931.4,25449.5,35282.7,17351.2,12646.4,16366.0,19446.0,22400.7,28815.0,32829.2,38185.2,47620.8,3.8,4.7,0.3,79.6,3.8,22.6,12.2,3.1,1.8,0.6,0.7,-21.3
1117,Créteil,209689.0,556649.5,360850.2,15900.4,22279.3,30017.3,14117.0,11201.1,14504.4,17212.7,19756.4,24952.8,28119.6,32351.3,39406.7,3.5,4.3,0.3,78.2,4.0,22.4,10.1,4.3,2.3,0.9,1.0,-19.0
1118,Orly,193068.0,493523.5,323055.2,13312.7,19040.0,26569.5,13256.8,9295.0,12119.6,14487.3,16711.1,21622.2,24689.2,28772.0,35421.7,3.8,4.6,0.3,78.8,2.8,20.9,8.3,6.1,2.8,1.6,1.7,-16.9
1119,Cergy,145106.0,392855.0,252569.6,15761.0,22059.1,29602.4,13841.4,11068.5,14374.6,17037.2,19545.6,24696.2,27788.5,31783.7,38459.5,3.5,4.1,0.3,81.8,3.4,19.5,8.6,4.6,2.5,0.9,1.1,-17.9
2101,Charleville-Mézières,96778.0,224635.5,153076.7,12847.6,17416.0,23128.3,10280.6,9426.3,11862.0,13805.3,15614.0,19373.3,21725.0,24833.3,30312.0,3.2,3.9,0.3,63.2,5.8,28.7,9.3,7.2,2.7,2.4,2.1,-14.2
2102,Troyes,133132.0,302863.0,207551.0,14139.3,18721.0,24816.0,10676.7,10373.3,13056.3,15134.7,16955.6,20692.8,23241.0,26837.0,33962.7,3.3,4.1,0.3,59.9,10.2,28.1,12.0,5.8,2.5,1.6,1.7,-16.0
2103,Châlons-en-Champagne,43996.0,102017.0,69344.6,14721.3,19554.8,25678.0,10956.7,11016.9,13642.0,15712.7,17656.4,21587.5,24109.3,27667.3,34576.7,3.1,3.9,0.3,63.9,9.6,26.6,11.1,5.1,2.5,1.3,1.3,-16.3
2104,Épernay,47362.0,108503.0,74387.8,15228.0,20352.9,27707.3,12479.3,11331.0,14074.8,16303.3,18289.3,22695.0,25736.1,30293.3,40053.3,3.5,4.6,0.3,55.3,19.2,24.9,16.5,3.8,1.9,0.9,1.0,-19.7
2105,Reims,144644.0,330517.5,225909.1,14364.4,19630.6,26714.7,12350.2,10439.2,13242.0,15439.2,17500.0,21971.5,24892.7,29070.7,37193.5,3.6,4.5,0.3,65.7,9.8,24.7,11.8,5.5,2.3,1.5,1.7,-17.5
2106,Chaumont - Langres,49410.0,109245.0,76052.7,14360.3,18689.0,24138.9,9778.6,10848.5,13397.5,15242.3,16939.0,20568.0,22789.3,25827.5,31411.1,2.9,3.6,0.3,59.6,7.7,31.8,10.3,4.9,2.2,1.4,1.3,-14.3
2107,Vitry-le-François - Saint-Dizier,49495.0,113647.5,77850.3,13369.6,17676.7,23049.3,9679.7,10039.3,12410.0,14258.3,15967.3,19467.0,21649.0,24644.4,30315.5,3.0,3.7,0.3,59.4,7.4,30.8,9.8,6.4,2.6,2.0,1.7,-13.8
2201,Château-Thierry,27223.0,66566.0,44459.9,14498.8,19209.5,25165.0,10666.3,10756.0,13395.8,15484.4,17368.7,21229.4,23627.9,27063.3,33627.3,3.1,3.9,0.3,63.7,10.3,25.8,11.4,5.1,2.6,1.2,1.3,-16.3
2202,Tergnier,23593.0,55596.0,37562.6,12659.7,17090.0,22516.7,9857.0,9259.5,11708.1,13596.0,15334.0,19028.0,21188.0,24120.0,29234.4,3.2,3.7,0.3,61.6,5.1,30.5,8.1,7.9,3.2,2.5,2.2,-13.2
2203,Thiérache,24581.0,58079.5,39212.5,12026.0,16258.7,21459.5,9433.5,8948.0,11111.4,12875.7,14570.7,18082.0,20244.4,22953.3,27975.3,3.1,3.8,0.3,56.2,7.5,29.7,10.1,8.9,3.4,3.1,2.4,-12.4
2204,Laon,40932.0,98545.0,66062.0,13350.6,17987.6,23900.8,10550.2,9837.9,12317.7,14271.9,16141.0,20020.0,22412.0,25649.3,31842.7,3.2,4.0,0.3,63.2,8.1,26.6,10.0,6.6,2.9,1.9,1.7,-14.5
2205,Saint-Quentin,57588.0,136529.0,92090.3,12725.0,17320.8,23163.3,10438.3,9278.0,11726.7,13671.0,15487.0,19340.4,21693.3,25003.3,31188.0,3.4,4.2,0.3,60.4,7.8,28.9,9.7,7.7,3.1,2.5,2.1,-14.5
2206,Soissons,38652.0,92729.0,62385.6,13599.5,18163.2,23945.3,10345.8,10109.0,12600.0,14540.4,16361.0,20120.0,22519.3,25808.3,31947.0,3.2,3.9,0.3,63.2,6.9,28.3,10.0,6.3,2.8,1.8,1.7,-14.7
