Fichier Localisé Social et Fiscal (FiLoSoFi) - Année 2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Distribution des revenus disponibles par unité de consommation et composition du revenu disponible - Ensemble,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mise en ligne le 26/07/2019       Géographie au 01/01/2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"©Insee       Source(s) : Insee-DGFIP-Cnaf-Cnav-CCMSA, Fichier localisé social et fiscal.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Code géographique,Libellé géographique,Nbre de ménages fiscaux,Nbre de personnes dans les ménages fiscaux,Nbre d'unités de consommation dans les ménages fiscaux,1er quartile (€),Médiane (€),3e quartile (€),Écart interquartile (€),1er décile (€),2e décile (€),3e décile (€),4e décile (€),6e décile (€),7e décile (€),8e décile (€),9e décile (€),Rapport interdécile 9e décile/1er decile,S80/20,Indice de Gini,Part des revenus d’activité (%),dont part des salaires et traitements(%),dont part des indemnités chômage (%),dont part des revenus des activités non salariées (%),"Part des pensions, retraites et rentes (%)",Part des revenus du patrimoine et autres revenus (%),Part de l'ensemble des prestations sociales (%),dont part des prestations familiales (%),dont part des minima sociaux (%),dont part des prestations logement (%),Part des impôts (%)
CODGEO,LIBGEO,NBMEN16,NBPERS16,NBUC16,Q116,Q216,Q316,Q3_Q1,D116,D216,D316,D416,D616,D716,D816,D916,RD,S80S2016,GI16,PACT16,PTSA16,PCHO16,PBEN16,PPEN16,PPAT16,PPSOC16,PPFAM16,PPMINI16,PPLOGT16,PIMPOT16
0050,Mont-de-Marsan,70326,156584,108997.6,15298,19900,25380,10082,11498,14208,16271,18143,21823,24039,27049,32600,2.8,3.450,0.242,64.8,55.4,2.8,6.5,35.3,9.3,5.2,1.9,2.0,1.3,-14.6
0051,Alençon,51661,114412,79400.0,14784,19599,24846,10061,10724,13623,15859,17727,21414,23562,26471,32103,3.0,3.611,0.249,63.4,55.0,2.8,5.5,35.6,9.0,6.1,2.4,2.1,1.6,-14.1
0052,Cosne - Clamecy,34204,69614,50110.0,14933,19779,25379,10447,11019,13826,15967,17923,21706,23967,27213,33418,3.0,3.816,0.262,58.2,47.0,2.6,8.6,41.5,10.1,5.2,1.7,2.3,1.2,-15.0
0053,Mâcon,62637,143498,98280.8,15968,20986,27009,11041,12054,14845,17009,19021,23025,25434,28963,35460,2.9,3.602,0.253,70.7,61.1,2.8,6.9,31.0,9.5,4.8,2.2,1.4,1.1,-16.0
0054,Nogent-le-Rotrou,20343,44503,31132.6,15148,19798,24907,9759,11321,14118,16179,18081,21601,23645,26423,32017,2.8,3.539,0.248,61.4,52.3,3.1,6.1,38.1,10.1,5.0,2.1,1.7,1.2,-14.6
0055,La Vallée de la Bresle - Vimeu,42138,94961,65753.3,14503,18957,23945,9442,10818,13446,15457,17269,20699,22737,25541,30828,2.8,3.459,0.244,63.4,55.2,3.3,5.0,35.6,8.9,6.1,2.2,2.5,1.4,-14.0
0056,Roissy - Sud Picardie,625824,1720661,1099983.0,13873,19968,27299,13426,9829,12616,15073,17495,22564,25525,29443,36071,3.7,4.440,0.288,80.6,73.5,3.5,3.6,22.9,6.9,6.8,3.1,2.1,1.7,-17.2
0057,Brive-la-Gaillarde,85443,182851,129069.3,15177,20067,26013,10836,11448,14123,16198,18146,22127,24534,27898,33909,3.0,3.629,0.254,63.7,54.2,2.8,6.7,36.6,10.1,4.7,1.8,1.7,1.2,-15.1
0059,Avignon,216882,507129,344977.2,13833,19423,26123,12289,9924,12666,14982,17182,21718,24468,28209,35012,3.5,4.398,0.289,68.6,57.9,3.9,6.8,29.6,11.7,6.5,2.3,2.3,1.9,-16.4
0060,Saint-Étienne,271578,623460,426123.3,14925,19927,25738,10814,11052,13817,15991,18005,21936,24294,27542,33473,3.0,3.722,0.258,67.9,59.7,3.1,5.1,31.1,9.8,6.4,2.6,2.1,1.7,-15.2
0061,Toulouse,619760,1410791,966841.8,15941,22025,29583,13641,11481,14617,17226,19644,24633,27711,31867,39038,3.4,4.199,0.280,79.3,70.5,3.2,5.6,23.6,9.5,5.4,1.9,1.9,1.5,-17.8
0201,Le Centre agglomération,62841,141103,97388.3,12147,18227,27252,15104,8658,10959,13269,15656,21265,24976,30017,38274,4.4,5.551,0.332,75.4,67.0,3.4,5.0,22.8,5.5,10.5,2.5,5.7,2.3,-14.2
0202,Le Sud-Caraibe,25436,58936,40299.7,12117,18361,27346,15229,8591,10907,13283,15700,21476,25239,30124,38255,4.5,5.479,0.327,76.1,66.6,3.6,5.9,22.1,5.6,9.8,2.5,5.4,1.9,-13.6
0203,Le Sud,20537,49209,33388.7,10783,15945,23460,12677,7830,9940,11797,13786,18462,21546,25738,33436,4.3,5.662,0.345,69.9,60.2,4.3,5.5,22.9,8.2,12.7,2.9,7.6,2.1,-13.7
0204,Le Centre-Atlantique,23851,54928,37740.6,10757,15574,23102,12345,7854,9900,11646,13521,18007,21146,25455,32919,4.2,5.191,0.323,69.7,60.3,4.0,5.4,24.0,4.6,13.6,3.2,8.1,2.3,-11.9
0205,Le Nord-Caraibe,9173,21571,14698.8,11238,16488,24384,13145,8157,10263,12221,14197,19087,22321,26812,34689,4.3,5.614,0.338,70.2,59.8,3.9,6.5,25.1,5.8,11.7,2.8,6.5,2.4,-12.8
0206,Le Nord-Atlantique,7122,16120,11180.7,10042,13969,19320,9278,7604,9572,10760,12331,15729,17955,20902,26067,3.4,4.309,0.286,61.1,51.8,4.9,4.4,27.5,3.7,17.3,3.5,10.8,3.0,-9.6
0401,L'Est,43695,127984,79620.2,9607,13117,19752,10145,7269,8924,10210,11499,15183,17992,22008,29162,4.0,5.079,0.328,70.6,57.4,5.4,7.8,12.9,4.8,21.7,6.1,10.8,4.7,-10.0
0402,Le Nord,77034,202294,130980.0,10892,16231,26279,15388,8186,10055,11761,13780,19352,23640,29461,39007,4.8,6.026,0.360,78.4,67.1,4.0,7.2,15.2,7.1,13.5,3.8,6.3,3.4,-14.2
0403,L'Ouest,74806,214467,135422.9,10580,15533,24632,14052,7948,9770,11436,13319,18360,22233,27768,37341,4.7,5.836,0.355,78.6,65.4,5.2,7.9,13.8,6.9,14.1,4.0,7.5,2.6,-13.4
0404,Le Sud,111671,305336,195409.7,9910,14078,21705,11795,7404,9218,10581,12169,16458,19623,24253,32583,4.4,5.462,0.341,70.8,57.5,5.5,7.8,17.0,6.9,17.2,4.5,9.1,3.6,-11.9
1101,Paris,2570746,5830219,3991406.7,15223,23994,36555,21333,10120,13595,16894,20310,28203,33371,40521,54042,5.3,7.244,0.386,87.4,78.0,3.1,6.3,20.3,13.3,3.8,1.4,1.3,1.1,-24.8
1102,Marne-la-Vallée,131243,342659,222862.8,16352,23140,30941,14589,11460,14866,17741,20482,25873,29062,33171,39982,3.5,4.229,0.277,88.4,81.8,3.2,3.5,18.3,7.6,4.7,2.2,1.3,1.1,-19.0
1103,Coulommiers,26490,66810,44170.0,16361,21553,27283,10922,12049,15145,17534,19615,23555,25902,28969,34749,2.9,3.518,0.242,76.3,68.5,3.2,4.6,26.0,8.4,5.1,2.5,1.5,1.0,-15.8
1104,Meaux,58159,149960,97895.2,15732,21434,27825,12093,11210,14377,16987,19261,23705,26253,29706,35496,3.2,3.795,0.256,81.1,74.1,3.3,3.6,22.3,7.1,5.8,2.7,1.7,1.4,-16.3
1105,Melun,152269,387048,254715.7,16512,22625,29725,13213,11813,15110,17821,20251,25090,27991,31840,38755,3.3,4.025,0.270,80.0,73.3,2.9,3.9,24.9,8.5,4.9,2.4,1.4,1.2,-18.3
1106,Montereau-Fault-Yonne,16975,43724,28587.3,13690,19195,25191,11501,9852,12506,14782,17023,21384,23848,26977,32117,3.3,3.811,0.257,70.9,64.8,3.3,2.9,28.6,6.7,8.2,3.5,2.7,2.0,-14.4
1107,Nemours,19760,48134,32269.6,15565,20899,26960,11395,11305,14288,16736,18872,23074,25525,28777,34575,3.1,3.712,0.254,72.6,64.9,3.1,4.6,29.5,8.5,5.4,2.4,1.8,1.2,-16.0
