Département - commune,Libellé de la commune,Région,Département,Code de la zone d'emploi 90,Libellé de la zone d'emploi 90
CODGEO,LIBGEO,REG,DEP,ZE1990,LIBZE1990
01001,L'Abergement-Clémenciat,82,01,8203,Bourg-en-Bresse
01002,L'Abergement-de-Varey,82,01,8210,Ambérieu
01004,Ambérieu-en-Bugey,82,01,8210,Ambérieu
01005,Ambérieux-en-Dombes,82,01,8203,Bourg-en-Bresse
01006,Ambléon,82,01,8209,Belley
01007,Ambronay,82,01,8210,Ambérieu
01008,Ambutrix,82,01,8210,Ambérieu
01009,Andert-et-Condon,82,01,8209,Belley
01010,Anglefort,82,01,8209,Belley
01011,Apremont,82,01,8204,Oyonnax
01012,Aranc,82,01,8209,Belley
01013,Arandas,82,01,8210,Ambérieu
01014,Arbent,82,01,8204,Oyonnax
01015,Arbignieu,82,01,8209,Belley
01016,Arbigny,82,01,8203,Bourg-en-Bresse
01017,Argis,82,01,8210,Ambérieu
01019,Armix,82,01,8209,Belley
01021,Ars-sur-Formans,82,01,8202,Beaujolais-Val-de-Saône
01022,Artemare,82,01,8209,Belley
01023,Asnières-sur-Saône,82,01,8203,Bourg-en-Bresse
01024,Attignat,82,01,8203,Bourg-en-Bresse
01025,Bâgé-la-Ville,82,01,8203,Bourg-en-Bresse
01026,Bâgé-le-Châtel,82,01,8203,Bourg-en-Bresse
01027,Balan,82,01,8211,Lyon
01028,Baneins,82,01,8203,Bourg-en-Bresse
01029,Beaupont,82,01,8203,Bourg-en-Bresse
01030,Beauregard,82,01,8202,Beaujolais-Val-de-Saône
01031,Bellignat,82,01,8204,Oyonnax
01032,Béligneux,82,01,8211,Lyon
01033,Bellegarde-sur-Valserine,82,01,8205,Genevois-Français
01034,Belley,82,01,8209,Belley
01035,Belleydoux,82,01,8204,Oyonnax
01036,Belmont-Luthézieu,82,01,8209,Belley
01037,Bénonces,82,01,8210,Ambérieu
01038,Bény,82,01,8203,Bourg-en-Bresse
01039,Béon,82,01,8209,Belley
01040,Béréziat,82,01,8203,Bourg-en-Bresse
01041,Bettant,82,01,8210,Ambérieu
01042,Bey,82,01,8203,Bourg-en-Bresse
01043,Beynost,82,01,8211,Lyon
01044,Billiat,82,01,8205,Genevois-Français
01045,Birieux,82,01,8203,Bourg-en-Bresse
01046,Biziat,82,01,8203,Bourg-en-Bresse
01047,Blyes,82,01,8210,Ambérieu
01049,La Boisse,82,01,8211,Lyon
01050,Boissey,82,01,8203,Bourg-en-Bresse
01051,Bolozon,82,01,8204,Oyonnax
01052,Bouligneux,82,01,8203,Bourg-en-Bresse
01053,Bourg-en-Bresse,82,01,8203,Bourg-en-Bresse
01054,Bourg-Saint-Christophe,82,01,8210,Ambérieu
01056,Boyeux-Saint-Jérôme,82,01,8210,Ambérieu
01057,Boz,82,01,8203,Bourg-en-Bresse
01058,Brégnier-Cordon,82,01,8209,Belley
01059,Brénaz,82,01,8209,Belley
01060,Brénod,82,01,8204,Oyonnax
01061,Brens,82,01,8209,Belley
01062,Bressolles,82,01,8211,Lyon
01063,Brion,82,01,8204,Oyonnax
01064,Briord,82,01,8210,Ambérieu
01065,Buellas,82,01,8203,Bourg-en-Bresse
01066,La Burbanche,82,01,8209,Belley
01067,Ceignes,82,01,8204,Oyonnax
01068,Cerdon,82,01,8210,Ambérieu
01069,Certines,82,01,8210,Ambérieu
01071,Cessy,82,01,8205,Genevois-Français
01072,Ceyzériat,82,01,8203,Bourg-en-Bresse
01073,Ceyzérieu,82,01,8209,Belley
01074,Chalamont,82,01,8203,Bourg-en-Bresse
01075,Chaleins,82,01,8202,Beaujolais-Val-de-Saône
01076,Chaley,82,01,8210,Ambérieu
01077,Challes-la-Montagne,82,01,8210,Ambérieu
01078,Challex,82,01,8205,Genevois-Français
01079,Champagne-en-Valromey,82,01,8209,Belley
01080,Champdor,82,01,8204,Oyonnax
01081,Champfromier,82,01,8205,Genevois-Français
01082,Chanay,82,01,8209,Belley
01083,Chaneins,82,01,8202,Beaujolais-Val-de-Saône
