Revenus fiscaux des ménages - Année 2002,,,,,,,,,,,,,,,,,,,,,
"Indicateurs de distribution par Unité de Consommation - Seuil 50 ménages pour médiane, 2000 habitants pour autres indicateurs",,,,,,,,,,,,,,,,,,,,,
Zones d'emploi,,,,,,,,,,,,,,,,,,,,,
"© Insee     Source : Insee-DGI, Revenus fiscaux des ménages",,,,,,,,,,,,,,,,,,,,,
Sommaire,,,,,,,,,,,,,,,,,,,,,
,,,"Nb de ménages
au RP 1999",PSDC99,Nombre d'UC,1er quartile (€),Médiane (€),3ème quartile (€),"Intervalle
inter-quartiles (€)",1er décile (€),2ème décile (€),3ème décile (€),4ème décile (€),6ème décile (€),7ème décile (€),8ème décile (€),9ème décile (€),"Rapport
inter-déciles",Ecart-type (€),Moyenne (€),Indice de Gini
ZE1990,REG,LIBGEO,MEN99,PSDC99,NBUC02,RFUCQ102,RFUCQ202,RFUCQ302,RFUCIQ02,RFUCD102,RFUCD202,RFUCD302,RFUCD402,RFUCD602,RFUCD702,RFUCD802,RFUCD902,RFUCRD02,RFUCET02,RFUCMO02,RFUCGI02
1131,11,Paris,1110912,2125246,1487176.1,10800,20601,33791,22991,4920,8765,12822,16682,24968,30375,38004,52261,10.6,47240.16,27888.44,0.4708
1132,11,Nanterre,682260,1669222,1127827.5,11670,19666,29803,18133,6047,9874,13351,16538,23034,27204,33040,43713,7.2,31459.12,24282.19,0.4057
1133,11,Boulogne-Billancourt,352403,820003,549819.9,13649,21395,31471,17822,7591,11885,15295,18352,24815,28929,34593,44281,5.8,23427.73,25134.59,0.3605
1134,11,Vitry-sur-Seine,115704,287129,186020.4,9351,15934,23058,13707,4886,7936,10752,13383,18529,21397,25090,31417,6.4,13095.03,17634.86,0.3533
1135,11,Créteil,329670,852425,561158.5,11812,18525,26327,14515,6585,10255,13284,15966,21223,24373,28667,36238,5.5,16449.20,20915.83,0.3430
1136,11,Montreuil,379206,964364,641250.9,9795,16951,24882,15087,5000,8246,11310,14156,19757,22949,27225,34766,7.0,17126.80,19345.34,0.3738
1137,11,Saint-Denis,401853,1112453,714132.2,7129,12981,19981,12852,3795,6077,8226,10534,15557,18406,21825,27224,7.2,11288.13,14763.24,0.3744
1138,11,Cergy,103937,302176,187988.4,11362,17675,24775,13414,6384,9857,12751,15292,20183,23058,26794,33292,5.2,15646.31,19556.23,0.3304
1139,11,Poissy,48009,131249,83217.5,12391,19429,28381,15990,7319,10827,13838,16675,22481,26100,31051,39893,5.5,20470.83,22862.89,0.3582
1140,11,Les Mureaux,40089,115070,73507.3,11114,17609,24651,13537,6184,9576,12523,15106,20127,22946,26653,33089,5.4,14191.09,19440.10,0.3329
1141,11,Mantes-la-Jolie,47941,139266,86225.7,9417,15464,21931,12514,5323,8135,10682,13113,17855,20405,23736,29379,5.5,12764.99,17101.86,0.3398
1142,11,Versailles,238323,638265,410350.9,15013,22030,31179,16166,9270,13378,16501,19260,25131,28863,34005,43013,4.6,21846.03,25485.67,0.3324
1143,11,Orsay,45241,125975,78441.2,15575,22835,31880,16305,9536,13835,17059,19913,25981,29660,34561,42820,4.5,17252.14,25467.76,0.3125
1144,11,Orly,167411,446024,287872.6,11768,18198,25301,13533,6544,10200,13171,15757,20717,23581,27382,33739,5.2,13747.35,19870.37,0.3224
1145,11,Dourdan,36942,101378,66984.9,14084,19949,26739,12655,8952,12610,15326,17741,22287,25065,28893,35450,4.0,14261.04,21809.49,0.2942
1146,11,Etampes,17183,45705,29657.4,11023,16847,23073,12050,6302,9582,12329,14633,18967,21482,24900,30714,4.9,13196.30,18403.80,0.3238
1147,11,Evry,97989,271329,177330.2,11450,18111,25275,13825,6153,9816,12897,15593,20643,23539,27430,34239,5.6,14992.56,19988.91,0.3370
1148,11,Melun,85347,237525,152634.0,11272,17163,23806,12534,6636,9908,12540,14916,19505,22179,25723,31817,4.8,14896.13,19055.21,0.3245
1149,11,Fontainebleau,32875,82567,53024.0,12945,18794,26318,13374,8403,11614,14199,16484,21292,24326,28668,36494,4.3,21617.86,21705.22,0.3265
1150,11,Nemours,17737,47044,30091.8,10688,15877,21642,10954,6661,9437,11815,13903,17977,20265,23342,28824,4.3,13144.12,17640.14,0.3177
1151,11,Montereau-Fault-Yonne,15899,42961,27121.2,8969,14371,20195,11226,4850,7689,10109,12311,16437,18787,21838,27000,5.6,14969.38,15740.51,0.3385
1152,11,Provins,16576,43670,28286.9,10234,15023,20599,10366,6379,9053,11242,13179,16954,19120,22260,27812,4.4,14044.85,16914.46,0.3249
1153,11,Coulommiers,22084,59073,39085.3,10870,15893,21891,11021,6911,9754,11872,13941,17950,20373,23695,29492,4.3,13603.41,17836.58,0.3184
1154,11,Lagny-sur-Marne,31251,85755,61149.8,14147,20321,27610,13463,9015,12732,15490,17988,22717,25769,29749,37156,4.1,16887.78,22761.55,0.3093
1155,11,Meaux,56784,156557,101182.0,10823,16662,22959,12136,6059,9430,12109,14473,18876,21396,24797,30701,5.1,14424.07,18336.10,0.3301
1156,11,Roissy-en-France,16743,49580,31751.5,14068,19359,25247,11179,9646,12778,15341,17416,21404,23825,26964,32691,3.4,12569.65,20924.56,0.2687
2101,21,Vallée de la Meuse,100417,256707,164365.1,8298,12836,18322,10024,4703,7238,9240,11051,14795,17039,19896,24898,5.3,11759.12,14545.38,0.3475
2102,21,Reims,132260,321417,199601.1,9944,15311,21854,11910,5662,8674,11140,13240,17577,20230,23883,30638,5.4,14701.55,17761.28,0.3565
2103,21,Châlons-en-Champagne,41573,107983,68505.5,10291,14993,20704,10413,6500,9198,11286,13171,16973,19272,22392,27832,4.3,12333.45,16827.24,0.3178
2104,21,Epernay,37085,92137,60078.9,11087,16111,22781,11694,6965,9899,12128,14120,18294,21111,25027,33763,4.8,17490.35,19564.81,0.3593
2105,21,Marne moyenne,48519,123845,78593.1,8712,13171,18263,9552,5281,7680,9668,11458,14982,17042,19820,24659,4.7,11340.90,14726.98,0.3311
2106,21,Sud-ouest Champenois,29301,73210,47813.6,9814,14145,19248,9434,5993,8719,10770,12523,15967,18029,20863,26057,4.3,12231.25,15964.34,0.3221
2107,21,Troyes,102561,250158,163344.9,9721,14464,20083,10362,5588,8494,10801,12689,16355,18632,21853,28025,5.0,14550.50,16611.51,0.3470
2108,21,Haute vallée de la Marne,48308,116906,76445.7,9575,13795,18888,9313,6247,8637,10459,12142,15569,17601,20393,25412,4.1,11751.19,15471.75,0.3129
2202,22,Amiens,132778,342110,212943.7,9079,14199,20222,11143,5010,7896,10196,12223,16286,18754,22012,27875,5.6,13664.50,16201.15,0.3546
2205,22,Château-Thierry,26210,68570,44263.4,9837,14645,20319,10482,6250,8774,10811,12689,16580,18851,22070,27994,4.5,13213.47,16739.41,0.3328
2206,22,Sud Oise,133957,371611,235099.3,10803,16429,22955,12152,6350,9510,12007,14236,18677,21346,24936,31415,4.9,15944.91,18641.47,0.3391
2207,22,Soissons,38191,100627,64494.9,9000,13705,19373,10373,5349,7887,10010,11889,15707,17981,21048,26541,5.0,12636.98,15698.94,0.3424
2208,22,Beauvais,68419,185405,118208.7,10061,15243,20975,10914,5927,8838,11196,13239,17281,19589,22666,28049,4.7,12181.86,16885.46,0.3278
2209,22,Compiègne,65121,173943,110141.6,10214,15405,21632,11418,6199,9045,11326,13372,17597,20108,23466,29596,4.8,13580.68,17503.97,0.3340
2210,22,Santerre-Oise,12759,35482,23117.6,9140,13558,18749,9609,5745,8103,10078,11904,15422,17530,20261,24737,4.3,11398.38,15095.01,0.3156
2211,22,Abbeville-Ponthieu,24534,62804,40451.5,8271,12900,18442,10171,4628,7174,9279,11099,14833,17112,20141,26044,5.6,12899.99,14990.71,0.3618
2212,22,Vimeu,23828,61360,40280.1,9164,13419,18109,8945,5816,8177,10100,11777,14994,16922,19501,24252,4.2,12788.10,15041.01,0.3214
2219,22,Santerre-Somme,33633,89277,57078.6,8875,13139,18238,9363,5402,7845,9777,11529,14937,17007,19810,24871,4.6,13342.38,15018.80,0.3367
2231,22,Saint-Quentin,52365,134597,85547.0,8093,13147,18738,10645,4400,7030,9232,11237,15103,17338,20404,25900,5.9,12730.71,15011.35,0.3644
2232,22,Chauny-Tergnier-La Fère,25614,65968,42076.8,8347,12880,18171,9824,4834,7365,9326,11118,14686,16979,19684,24423,5.1,12293.50,14381.43,0.3366
2241,22,Thiérache,26691,68822,43528.7,7434,11669,16572,9138,4119,6510,8323,10015,13404,15448,18049,22623,5.5,10066.69,13106.54,0.3472
2242,22,Laonnois,36871,96905,60841.1,8944,13647,19243,10299,5300,7862,9941,11793,15599,17851,20972,26354,5.0,11756.14,15482.83,0.3397
2307,23,Pays-de-Bray,14001,35025,22904.5,9196,13598,18693,9497,5750,8229,10143,11812,15381,17484,20180,25085,4.4,11655.75,15152.82,0.3238
2308,23,Vallée-de-la-Bresle,18646,47672,31225.1,9373,13461,18529,9156,5989,8378,10272,11890,15262,17274,20081,25180,4.2,13707.68,15446.03,0.3267
2311,23,Fécamp,15715,40081,26147.4,9098,13428,18915,9817,5701,8107,10016,11760,15275,17575,20497,25666,4.5,12605.39,15444.51,0.3334
2313,23,Pont-Audemer,16073,40450,26900.2,9488,13807,19281,9793,6124,8491,10387,12027,15730,17924,20913,26689,4.4,13489.62,15984.65,0.3334
2314,23,Bernay,24552,62183,40643.0,9713,14225,19695,9982,6116,8704,10657,12501,16088,18333,21449,26890,4.4,16162.83,16289.74,0.3310
2316,23,Verneuil-sur-Avre,11024,27318,17634.4,9801,14046,19160,9360,6091,8640,10820,12453,15839,17890,20844,26389,4.3,11702.84,15854.62,0.3196
