Revenus fiscaux localisés des ménages - Année 2011,,,,,,,,,,,,,,,,,,,
"Indicateurs de distribution par Unité de Consommation - Seuil 50 ménages fiscaux pour médiane, 2 000 personnes pour autres indicateurs",,,,,,,,,,,,,,,,,,,
Zones d'emploi 2010,,,,,,,,,,,,,,,,,,,
© Insee     Source : Insee-DGFiP Revenus fiscaux localisés des ménages ,,,,,,,,,,,,,,,,,,,
Sommaire,,,,,,,,,,,,,,,,,,,
,,,Nombre d'UC,1er quartile (€),Médiane (€),3ème quartile (€),Écart interquartile (€),1er décile (€),2ème décile (€),3ème décile (€),4ème décile (€),6ème décile (€),7ème décile (€),8ème décile (€),9ème décile (€),Rapport interdécile,Ecart-type (€),Moyenne (€),Indice de Gini
ZE2010,REG,LIBGEO,NBUC11,RFUCQ111,RFUCQ211,RFUCQ311,RFUCIQ11,RFUCD111,RFUCD211,RFUCD311,RFUCD411,RFUCD611,RFUCD711,RFUCD811,RFUCD911,RFUCRD11,RFUCET11,RFUCMO11,RFUCGI11
0050,73,Mont-de-Marsan,108584.2,12810,18384,24816,12006,7887,11462,14014,16267,20625,23248,26699,33225,4.2,15727.55,20386.25,0.3156
0051,52,Alençon,81810.5,12152,17632,23858,11706,6766,10707,13383,15563,19816,22297,25840,32331,4.8,15883.16,19562.68,0.3283
0052,24,Cosne - Clamecy,52347.2,12414,17931,24469,12055,7288,11061,13625,15788,20211,22834,26543,33001,4.5,15462.43,20118.71,0.3286
0053,82,Mâcon,96988.8,13565,19265,26223,12658,8538,12189,14834,17125,21631,24464,28416,35578,4.2,31680.41,21961.36,0.3226
0054,24,Nogent-le-Rotrou,32643.1,12846,18096,24225,11379,7940,11579,14029,16131,20203,22675,26054,32363,4.1,15828.82,20322.02,0.3174
0055,23,Vallée de la Bresle - Vimeu,67958.2,11946,17192,23188,11242,7083,10616,13117,15259,19313,21669,24957,30947,4.4,18382.59,19290.30,0.3268
0056,22,Roissy - Sud Picardie,1091012.9,11015,18816,27615,16600,5743,9382,12617,15751,21963,25522,30132,37936,6.6,20418.68,21492.92,0.3725
0057,74,Brive-la-Gaillarde,129423.7,12605,18301,25133,12528,8037,11287,13826,16126,20610,23395,27210,34131,4.2,19738.08,20864.23,0.3281
0059,93,Avignon,340522.5,10832,17554,25387,14555,5382,9232,12281,14977,20281,23461,27776,35564,6.6,20041.71,20338.73,0.3767
0060,82,Saint-Étienne,426298.4,12217,17989,24721,12504,6982,10753,13487,15797,20316,23039,26727,33463,4.8,19026.83,20316.49,0.3371
