Fichier Localisé Social et Fiscal (FiLoSoFi) - Année 2015,,,,,,,,,,,,,,,,,,,,,,,,,,
Distribution des revenus déclarés par unité de consommation et composition du revenu déclaré - Ensemble,,,,,,,,,,,,,,,,,,,,,,,,,,
Mise en ligne le 25/04/2019       Géographie au 01/01/2016,,,,,,,,,,,,,,,,,,,,,,,,,,
"©Insee       Source(s) : Insee-DGFIP-Cnaf-Cnav-CCMSA, Fichier localisé social et fiscal.",,,,,,,,,,,,,,,,,,,,,,,,,,
Code géographique,Libellé géographique,Nbre de ménages fiscaux,Nbre de personnes dans les ménages fiscaux,Nbre d'unités de consommation dans les ménages fiscaux,Part des ménages fiscaux imposés (%),1er quartile (€),Médiane (€),3e quartile (€),Écart interquartile (€),1er décile (€),2e décile (€),3e décile  (€),4e décile (€) ,6e décile (€),7e décile (€),8e décile (€) ,9e décile (€),Rapport interdécile D9/D1,S80/S20,Indice de Gini,Part des revenus d’activité (%),dont part des salaires et traitements hors chômage (%),dont part des indemnités chômage (%),dont part des revenus des activités non salariées (%),"Part des pensions, retraites et rentes (%)",Part des autres revenus (%)
CODGEO,LIBGEO,NBMEN15,NBPERS15,NBUC15,PMIMP15,Q115,Q215,Q315,Q3_Q1,D115,D215,D315,D415,D615,D715,D815,D915,RD,S80S2015,GI15,PACT15,PTSA15,PCHO15,PBEN15,PPEN15,PAUT15
0050,Mont-de-Marsan,70117.0,157666.5,109254.2,50.4,13828.0,19498.0,26200.0,12372.0,8286.0,12376.0,15098.0,17366.0,21806.0,24540.0,28190.0,34628.0,4.2,5.5,0.3,61.1,52.2,2.7,6.2,33.6,5.3
0051,Alençon,51803.0,115661.0,79963.2,49.8,13038.0,18898.0,25322.0,12284.0,6796.0,11372.0,14374.0,16714.0,21144.0,23750.0,27346.0,33900.0,5.0,6.5,0.3,60.5,52.1,3.1,5.3,34.4,5.1
0052,Cosne - Clamecy,34435.0,70485.5,50589.3,51.3,13430.0,19406.0,26294.0,12864.0,7486.0,11876.0,14770.0,17062.0,21784.0,24562.0,28406.0,35556.0,4.7,6.4,0.3,54.6,43.8,2.6,8.2,39.8,5.6
0053,Mâcon,62197.0,143091.0,97794.3,57.3,14576.0,20702.0,27996.0,13420.0,8916.0,13052.0,15902.0,18340.0,23176.0,26142.0,30256.0,37882.0,4.2,5.6,0.3,65.6,56.6,2.7,6.2,29.2,5.2
0054,Nogent-le-Rotrou,20391.0,45101.5,31391.2,52.7,13692.0,19322.0,25690.0,11998.0,8130.0,12166.0,14984.0,17214.0,21482.0,24028.0,27458.0,33844.0,4.2,5.7,0.3,58.5,49.2,3.1,6.2,35.8,5.7
0055,La Vallée de la Bresle - Vimeu,42110.0,95797.5,66056.3,49.0,12804.0,18500.0,24620.0,11816.0,7396.0,11280.0,14188.0,16414.0,20658.0,23074.0,26432.0,32636.0,4.4,6.0,0.3,60.8,52.2,3.3,5.3,34.1,5.1
0056,Roissy - Sud Picardie,624886.0,1735412.0,1104732.2,58.0,11198.0,19500.0,28778.0,17580.0,5712.0,9496.0,12902.0,16236.0,22844.0,26558.0,31404.0,39542.0,6.9,9.0,0.4,74.6,67.8,3.4,3.4,21.7,3.7
0057,Brive-la-Gaillarde,85120.0,183243.0,128968.9,51.3,13754.0,19664.0,26792.0,13038.0,8524.0,12340.0,15010.0,17356.0,22132.0,24980.0,28978.0,36170.0,4.2,5.6,0.3,59.7,50.7,2.8,6.3,34.9,5.4
0059,Avignon,215536.0,508461.5,344597.2,49.6,11468.0,18706.0,26984.0,15516.0,5526.0,9694.0,13070.0,15980.0,21580.0,24936.0,29470.0,37600.0,6.8,9.0,0.4,64.4,54.2,3.9,6.4,28.5,7.1
0060,Saint-Étienne,271102.0,625499.0,426457.5,49.9,12950.0,19212.0,26236.0,13286.0,6976.0,11282.0,14384.0,16884.0,21628.0,24460.0,28354.0,35222.0,5.0,6.8,0.3,65.1,57.0,3.1,4.9,30.3,4.6
0061,Toulouse,611049.0,1401173.0,957087.6,58.0,14404.0,22044.0,31230.0,16826.0,7664.0,12538.0,16072.0,19140.0,25206.0,28938.0,33976.0,42806.0,5.6,7.4,0.4,72.5,64.2,3.2,5.1,22.1,5.4
0201,Le Centre agglomération,62974.0,143328.0,98310.1,40.5,8038.0,16718.0,27654.0,19616.0,1384.0,6042.0,9776.0,13240.0,20438.0,24902.0,30940.0,40912.0,29.6,23.5,0.5,73.9,65.6,3.4,4.9,22.4,3.7
0202,Le Sud-Caraibe,25391.0,60689.0,40996.2,37.9,8264.0,16916.0,27744.0,19480.0,1928.0,6436.0,10054.0,13392.0,20590.0,25214.0,30824.0,40376.0,20.9,20.1,0.4,74.6,65.0,3.7,5.9,21.7,3.7
0203,Le Sud,20795.0,51007.5,34271.4,29.8,6222.0,13510.0,22870.0,16648.0,686.0,4656.0,7754.0,10630.0,16678.0,20492.0,25446.0,34256.0,49.9,30.5,0.5,70.2,60.0,4.5,5.7,23.2,6.6
0204,Le Centre-Atlantique,24273.0,57202.0,38920.8,29.1,6042.0,13214.0,22596.0,16554.0,490.0,4578.0,7474.0,10238.0,16308.0,20226.0,25368.0,34226.0,69.8,28.4,0.5,72.4,62.3,4.3,5.8,24.6,3.0
0205,Le Nord-Caraibe,9166.0,22090.5,14919.6,32.1,7000.0,14496.0,23684.0,16684.0,1896.0,5598.0,8410.0,11310.0,17660.0,21362.0,26766.0,35924.0,18.9,20.9,0.5,70.3,59.6,3.8,7.0,25.5,4.2
0206,Le Nord-Atlantique,7271.0,16784.0,11553.2,19.1,5796.0,11401.0,18186.0,12390.0,754.0,4498.0,6946.0,9048.0,13852.0,16458.0,20270.0,26336.0,34.9,21.7,0.4,67.4,57.2,5.3,4.9,30.0,2.6
0401,L'Est,42801.0,127562.5,78850.4,21.5,2974.0,9574.0,18510.0,15536.0,0.0,1446.0,4322.0,6910.0,12610.0,16266.0,21172.0,29654.0,,242.7,0.5,80.8,65.4,6.2,9.2,14.9,4.3
0402,Le Nord,76270.0,203231.0,130742.8,36.2,5460.0,13978.0,26392.0,20932.0,0.0,3704.0,7098.0,10398.0,18050.0,23228.0,30268.0,41882.0,,61.0,0.5,78.8,67.1,4.2,7.5,15.4,5.8
0403,L'Ouest,73095.0,213089.0,133611.7,32.8,5518.0,12712.0,24060.0,18542.0,190.0,4016.0,6910.0,9684.0,16340.0,21094.0,27876.0,39534.0,208.1,41.1,0.5,80.0,66.3,5.4,8.4,14.4,5.6
0404,Le Sud,109386.0,303521.0,193040.4,26.2,4190.0,10932.0,20660.0,16470.0,0.0,2822.0,5566.0,8148.0,14170.0,18112.0,23744.0,33768.0,,68.5,0.5,75.2,60.7,5.8,8.7,18.6,6.2
1101,Paris,2571205.0,5874596.5,4007830.8,67.5,13306.0,24634.0,40004.0,26698.0,6420.0,11060.0,15542.0,20056.0,29754.0,36060.0,44914.0,61608.0,9.6,13.9,0.5,74.6,66.3,2.8,5.4,17.9,7.5
1102,Marne-la-Vallée,130314.0,345063.0,223188.8,67.4,14686.0,23488.0,33152.0,18466.0,8002.0,12706.0,16604.0,20134.0,26854.0,30796.0,35880.0,44584.0,5.6,7.0,0.3,80.0,73.6,3.1,3.3,16.6,3.4
1103,Coulommiers,26287.0,66792.5,43998.4,58.7,14914.0,21358.0,28450.0,13536.0,8810.0,13284.0,16362.0,18980.0,23870.0,26776.0,30476.0,37422.0,4.2,5.6,0.3,70.7,63.1,3.0,4.5,24.3,5.0
1104,Meaux,57806.0,151186.5,98159.3,60.7,13714.0,21270.0,29098.0,15384.0,7318.0,11898.0,15428.0,18460.0,24142.0,27266.0,31314.0,38444.0,5.3,6.7,0.3,75.0,68.2,3.2,3.6,20.9,4.1
1105,Melun,152016.0,390125.5,255675.4,64.7,14964.0,22920.0,31692.0,16728.0,8196.0,13004.0,16762.0,19936.0,26010.0,29540.0,34308.0,42876.0,5.2,6.9,0.3,72.6,66.0,2.8,3.7,22.8,4.6
1106,Montereau-Fault-Yonne,16952.0,43570.0,28497.5,52.1,11086.0,18644.0,26098.0,15012.0,4718.0,9358.0,12704.0,15684.0,21362.0,24334.0,28170.0,34528.0,7.3,8.7,0.3,68.6,62.1,3.4,3.0,28.0,3.4
1107,Nemours,19888.0,48757.5,32556.8,57.9,13848.0,20754.0,28388.0,14540.0,7798.0,12042.0,15376.0,18198.0,23414.0,26550.0,30484.0,37704.0,4.8,6.4,0.3,67.8,60.1,3.1,4.7,27.6,4.6
1108,Provins,17324.0,42726.0,28468.2,55.0,13360.0,19752.0,27336.0,13976.0,7448.0,11734.0,14768.0,17378.0,22420.0,25396.0,29586.0,36778.0,4.9,6.6,0.3,67.5,58.6,3.0,5.8,27.2,5.3
1109,Houdan,14632.0,37838.0,24960.8,77.5,21525.0,30496.0,42037.0,20512.0,14962.0,19652.0,23416.0,26932.0,34046.0,38864.0,45788.0,58846.0,3.9,5.3,0.3,71.2,64.7,2.1,4.4,22.0,6.8
1110,Mantes-la-Jolie,64529.0,175421.5,112509.2,60.0,12626.0,20708.0,29160.0,16534.0,6640.0,10804.0,14384.0,17592.0,23790.0,27186.0,31504.0,38776.0,5.8,7.3,0.3,72.8,66.6,3.4,2.8,23.7,3.5
1111,Poissy,95369.0,252947.5,163486.2,66.7,14582.0,23692.0,34658.0,20076.0,7936.0,12536.0,16522.0,20122.0,27478.0,31968.0,37950.0,48368.0,6.1,7.8,0.4,75.2,69.2,3.0,3.0,21.1,3.7
1112,Rambouillet,29446.0,73978.0,49142.3,75.3,19992.0,28152.0,38278.0,18286.0,13282.0,18138.0,21702.0,24840.0,31598.0,35736.0,41494.0,51878.0,3.9,5.2,0.3,70.6,64.9,2.2,3.5,24.0,5.4
1113,Plaisir,20867.0,55347.5,35883.0,74.6,18248.0,27004.0,36970.0,18722.0,10816.0,16040.0,20172.0,23642.0,30578.0,34644.0,39871.0,49370.0,4.6,5.7,0.3,76.0,70.7,2.4,2.9,20.1,3.9
1114,Étampes,24423.0,61782.0,40692.3,63.1,14814.0,22107.0,30170.0,15356.0,8356.0,12976.0,16466.0,19388.0,24974.0,28256.0,32452.0,39896.0,4.8,6.1,0.3,71.2,64.7,2.8,3.7,24.3,4.5
1115,Évry,127640.0,344778.5,220920.2,62.1,12236.0,21220.0,30458.0,18222.0,6262.0,10296.0,14150.0,17790.0,24544.0,28288.0,33046.0,41162.0,6.6,8.3,0.4,75.8,69.9,3.1,2.7,21.1,3.1
1116,Saclay,464528.0,1182955.0,777832.7,73.0,17630.0,27106.0,38870.0,21240.0,10010.0,15412.0,19652.0,23414.0,31114.0,35926.0,42434.0,54328.0,5.4,7.1,0.4,73.8,68.4,2.3,3.1,21.5,4.7
1117,Créteil,214410.0,564635.0,366913.7,67.4,14866.0,23534.0,33034.0,18168.0,8108.0,12830.0,16764.0,20312.0,26890.0,30722.0,35794.0,44430.0,5.5,7.0,0.3,74.2,68.1,2.8,3.3,22.0,3.8
