Fichier Localisé Social et Fiscal (FiLoSoFi) - Année 2017,,,,,,,,,,,,,,,,,,,,,,,,,,
Distribution des revenus déclarés par unité de consommation et composition du revenu déclaré - Ensemble,,,,,,,,,,,,,,,,,,,,,,,,,,
Mise en ligne le 23/01/2020       Géographie au 01/01/2018,,,,,,,,,,,,,,,,,,,,,,,,,,
"©Insee       Source(s) : Insee-DGFIP-Cnaf-Cnav-CCMSA, Fichier localisé social et fiscal.",,,,,,,,,,,,,,,,,,,,,,,,,,
Code géographique,Libellé géographique,Nbre de ménages fiscaux,Nbre de personnes dans les ménages fiscaux,Nbre d'unités de consommation dans les ménages fiscaux,Part des ménages fiscaux imposés (%),1er quartile (€),Médiane (€),3e quartile (€),Écart interquartile (€),1er décile (€),2e décile (€),3e décile  (€),4e décile (€) ,6e décile (€),7e décile (€),8e décile (€) ,9e décile (€),Rapport interdécile D9/D1,S80/S20,Indice de Gini,Part des revenus d’activité (%),dont part des salaires et traitements (%),dont part des indemnités de chômage (%),dont part des revenus des activités non salariées (%),"Part des pensions, retraites et rentes (%)",Part des autres revenus (%)
CODGEO,LIBGEO,NBMEN17,NBPERS17,NBUC17,PMIMP17,Q117,Q217,Q317,Q3_Q1,D117,D217,D317,D417,D617,D717,D817,D917,RD,S80S2017,GI17,PACT17,PTSA17,PCHO17,PBEN17,PPEN17,PAUT17
0050,Mont-de-Marsan,70775,156853,109301.2,46.0,14260,20120,26820,12560,8600,12750,15580,17930,22410,25150,28870,35440,4.1,5.502,0.306,60.7,51.9,2.9,6.0,34.0,5.3
0051,Alençon,51663,113698,79087.6,45.0,13510,19430,25920,12410,7240,11820,14870,17200,21680,24290,27940,34540,4.8,6.246,0.318,60.2,52.3,2.7,5.1,35.0,4.8
0052,Cosne - Clamecy,33805,68530,49398.4,47.5,13840,19900,26860,13020,7810,12220,15130,17550,22310,25110,28950,36160,4.6,6.350,0.328,54.4,44.0,2.7,7.7,40.3,5.3
0053,Mâcon,62923,143432,98378.0,53.1,15050,21250,28710,13660,9130,13520,16380,18860,23790,26790,31080,39000,4.3,5.630,0.317,65.4,56.3,2.7,6.5,29.5,5.1
0054,Nogent-le-Rotrou,20307,44114,30941.0,46.9,14140,19840,26260,12120,8290,12610,15410,17690,22080,24630,28180,34650,4.2,5.727,0.315,57.6,48.4,3.1,6.2,36.6,5.8
0055,La Vallée de la Bresle - Vimeu,42039,93975,65283.5,44.5,13190,18950,25190,12000,7550,11720,14590,16860,21160,23610,27040,33250,4.4,5.968,0.316,60.0,52.3,3.0,4.7,34.9,5.1
0056,Roissy - Sud Picardie,630618,1731785,1106752.6,55.1,11570,19890,29340,17770,5880,9800,13290,16620,23280,27090,32020,40400,6.9,8.925,0.373,74.7,68.0,3.4,3.2,21.6,3.7
0057,Brive-la-Gaillarde,85798,182125,128907.4,47.2,14160,20250,27550,13390,8810,12720,15470,17940,22750,25740,29670,36940,4.2,5.584,0.315,59.4,50.6,2.7,6.1,35.3,5.3
0059,Avignon,220851,512865,349494.5,46.2,11840,19280,27720,15880,5710,9990,13530,16500,22200,25640,30250,38690,6.8,9.040,0.375,64.5,54.4,3.9,6.3,28.4,7.1
0060,Saint-Étienne,272465,621898,425803.5,45.6,13450,19800,26980,13530,7130,11700,14900,17420,22280,25200,29160,36250,5.1,6.748,0.332,65.2,57.4,3.0,4.8,30.4,4.4
0061,Toulouse,632048,1430895,981753.9,54.7,14770,22640,32040,17270,7720,12840,16500,19620,25880,29700,34900,44080,5.7,7.528,0.352,72.6,64.5,3.1,5.0,22.0,5.4
0201,Le Centre agglomération,63057,138796,96491.2,38.9,8400,17410,28840,20440,1700,6450,10270,13820,21300,26050,32130,42340,24.9,22.121,0.448,73.5,64.9,3.7,4.9,23.0,3.5
0202,Le Sud-Caraibe,25516,58145,40028.7,36.8,9100,17930,28960,19860,2580,7170,10930,14310,21810,26390,32130,41470,16.1,17.652,0.430,73.6,64.1,3.9,5.5,22.5,3.9
0203,Le Sud,20652,48539,33178.9,29.1,6990,14580,24050,17050,1320,5410,8420,11450,17800,21630,26730,35770,27.0,24.123,0.470,70.5,60.3,4.7,5.4,24.5,5.0
0204,Le Centre-Atlantique,23989,54361,37573.3,28.5,6430,13990,23770,17340,1030,4890,8020,10900,17370,21350,26680,35950,34.8,25.528,0.461,71.3,61.2,4.5,5.7,25.7,3.0
0205,Le Nord-Caraibe,9171,21407,14630.0,30.5,7610,15320,25040,17430,2190,5920,9010,12090,18570,22610,28280,37450,17.1,20.146,0.459,68.9,58.6,4.1,6.2,26.4,4.7
0206,Le Nord-Atlantique,7101,15746,11021.7,18.0,5950,11750,18890,12940,1210,4800,7110,9330,14350,17170,20810,27240,22.4,18.849,0.432,66.3,55.6,5.8,4.9,31.3,2.4
0401,L'Est,44788,130593,81398.1,19.6,2980,9700,19050,16080,0,1440,4340,6950,12900,16730,21770,30560,,235.520,0.536,80.4,64.9,6.6,8.8,15.3,4.3
0402,Le Nord,79361,207254,134411.2,34.3,5780,14540,27260,21490,0,3970,7380,10750,18710,24000,31330,42870,,53.513,0.511,78.8,67.0,4.5,7.3,15.6,5.6
0403,L'Ouest,76863,218509,138366.6,31.7,5810,13470,25190,19380,270,4250,7270,10220,17270,22110,29150,40600,152.8,39.793,0.504,80.0,66.2,5.7,8.0,14.5,5.5
0404,Le Sud,115819,316036,202354.2,24.8,4730,11730,21820,17090,0,3280,6070,8800,15120,19260,25040,35030,,52.959,0.509,75.6,60.9,6.5,8.3,18.3,6.1
1101,Paris,2583683,5824244,3995367.6,65.9,13950,25590,41590,27640,6730,11610,16240,20850,30920,37460,46690,64250,9.5,13.941,0.462,75.2,67.0,2.8,5.4,17.5,7.3
1102,Marne-la-Vallée,132717,342817,223700.3,65.1,15270,24210,34120,18850,8270,13220,17270,20790,27720,31760,36930,45880,5.5,6.992,0.339,79.4,73.3,2.9,3.2,17.0,3.6
1103,Coulommiers,26834,67568,44713.3,55.5,15260,21870,28970,13710,9000,13530,16720,19410,24380,27190,31120,38190,4.2,5.498,0.304,70.6,63.4,3.1,4.1,24.7,4.7
1104,Meaux,59437,152128,99456.8,57.4,14060,21680,29720,15670,7520,12110,15800,18890,24610,27800,31980,39270,5.2,6.772,0.330,75.1,68.6,3.2,3.3,20.9,4.0
1105,Melun,154935,393199,258750.4,61.5,15310,23260,32250,16950,8350,13320,17050,20250,26400,30050,34930,43610,5.2,6.842,0.339,72.6,66.4,2.8,3.5,22.9,4.5
1106,Montereau-Fault-Yonne,17345,44676,29193.9,48.0,10790,18650,26240,15440,4350,8960,12560,15710,21370,24370,28390,34890,8.0,9.453,0.354,68.4,62.4,3.5,2.6,28.4,3.2
1107,Nemours,19902,48355,32440.7,54.0,14210,21080,28590,14380,7790,12440,15690,18480,23790,26840,30780,38130,4.9,6.310,0.323,67.2,60.1,3.0,4.1,28.2,4.6
1108,Provins,17562,42926,28707.9,51.5,13630,20270,27650,14020,7450,11790,15100,17710,22770,25840,29850,36910,5.0,6.610,0.332,67.0,59.1,3.0,4.9,27.7,5.3
1109,Houdan,15066,38534,25506.2,75.6,22450,31190,42910,20460,15530,20430,24270,27730,35010,39870,46700,60300,3.9,5.166,0.319,71.1,64.5,2.3,4.3,22.3,6.6
